date,entry_time,entry,stop,target,pnl_points,rr,outcome,year
2018-01-04,2018-01-04 08:40:00,6596.5,6604.5,6576.5,-8.0,-1.0,loss,2018
2018-01-04,2018-01-04 09:01:00,6594.25,6603.5,6571.12,-9.25,-1.0,loss,2018
2018-01-04,2018-01-04 10:09:00,6601.25,6606.5,6588.12,5.5,1.05,win,2018
2018-01-05,2018-01-05 08:33:00,6625.25,6633.75,6604.0,-8.5,-1.0,loss,2018
2018-01-05,2018-01-05 08:34:00,6619.75,6627.75,6599.75,-8.0,-1.0,loss,2018
2018-01-09,2018-01-09 08:36:00,6690.25,6697.5,6672.12,18.12,2.5,win,2018
2018-01-09,2018-01-09 08:40:00,6684.5,6691.25,6667.62,16.88,2.5,win,2018
2018-01-09,2018-01-09 08:51:00,6675.75,6685.5,6651.38,-9.75,-1.0,loss,2018
2018-01-09,2018-01-09 08:52:00,6668.75,6677.75,6646.25,-9.0,-1.0,loss,2018
2018-01-09,2018-01-09 09:50:00,6672.25,6680.0,6652.88,-7.75,-1.0,loss,2018
2018-01-10,2018-01-10 08:52:00,6639.0,6649.5,6612.75,-10.5,-1.0,loss,2018
2018-01-10,2018-01-10 09:51:00,6639.5,6645.75,6623.88,-6.25,-1.0,loss,2018
2018-01-11,2018-01-11 09:34:00,6674.0,6684.75,6647.12,-10.75,-1.0,loss,2018
2018-01-11,2018-01-11 09:36:00,6674.75,6680.75,6659.75,-6.0,-1.0,loss,2018
2018-01-16,2018-01-16 09:35:00,6816.5,6824.75,6795.88,-8.25,-1.0,loss,2018
2018-01-16,2018-01-16 09:37:00,6807.25,6819.5,6776.62,-12.25,-1.0,loss,2018
2018-01-16,2018-01-16 10:00:00,6806.75,6816.0,6783.62,-9.25,-1.0,loss,2018
2018-01-16,2018-01-16 10:14:00,6794.75,6807.0,6764.12,-12.25,-1.0,loss,2018
2018-01-16,2018-01-16 10:44:00,6798.0,6807.25,6774.88,23.12,2.5,win,2018
2018-01-17,2018-01-17 08:32:00,6772.5,6783.0,6746.25,-10.5,-1.0,loss,2018
2018-01-17,2018-01-17 08:34:00,6767.0,6775.25,6746.38,-8.25,-1.0,loss,2018
2018-01-17,2018-01-17 08:35:00,6762.25,6770.0,6742.88,-7.75,-1.0,loss,2018
2018-01-17,2018-01-17 08:40:00,6758.5,6771.75,6725.38,-13.25,-1.0,loss,2018
2018-01-17,2018-01-17 08:45:00,6753.25,6765.75,6722.0,-12.5,-1.0,loss,2018
2018-01-18,2018-01-18 10:45:00,6805.0,6814.0,6782.5,-9.0,-1.0,loss,2018
2018-01-19,2018-01-19 09:04:00,6821.5,6829.0,6802.75,-7.5,-1.0,loss,2018
2018-01-19,2018-01-19 09:15:00,6821.25,6829.0,6801.88,-7.75,-1.0,loss,2018
2018-01-19,2018-01-19 11:12:00,6825.0,6829.5,6813.75,-4.5,-1.0,loss,2018
2018-01-22,2018-01-22 08:39:00,6839.75,6846.75,6822.25,-7.0,-1.0,loss,2018
2018-01-24,2018-01-24 08:36:00,6978.25,6986.0,6958.88,-7.75,-1.0,loss,2018
2018-01-24,2018-01-24 08:47:00,6975.25,6984.5,6952.12,-9.25,-1.0,loss,2018
2018-01-24,2018-01-24 09:56:00,6982.75,6990.0,6964.62,18.12,2.5,win,2018
2018-01-24,2018-01-24 10:13:00,6959.5,6970.25,6932.62,26.88,2.5,win,2018
2018-01-24,2018-01-24 10:14:00,6951.25,6963.75,6920.0,31.25,2.5,win,2018
2018-01-24,2018-01-24 10:31:00,6936.5,6949.0,6905.25,31.25,2.5,win,2018
2018-01-24,2018-01-24 10:37:00,6919.0,6933.0,6884.0,-14.0,-1.0,loss,2018
2018-01-25,2018-01-25 08:31:00,6969.75,6978.0,6949.12,20.62,2.5,win,2018
2018-01-25,2018-01-25 08:38:00,6966.25,6978.0,6936.88,29.38,2.5,win,2018
2018-01-25,2018-01-25 08:39:00,6959.75,6968.5,6937.88,-8.75,-1.0,loss,2018
2018-01-25,2018-01-25 08:55:00,6933.0,6947.75,6896.12,-14.75,-1.0,loss,2018
2018-01-26,2018-01-26 09:17:00,6954.75,6964.75,6929.75,-10.0,-1.0,loss,2018
2018-01-29,2018-01-29 09:15:00,6999.25,7008.25,6976.75,-9.0,-1.0,loss,2018
2018-01-29,2018-01-29 09:37:00,6994.5,7003.25,6972.62,-8.75,-1.0,loss,2018
2018-01-29,2018-01-29 09:43:00,6982.5,6991.5,6960.0,-9.0,-1.0,loss,2018
2018-01-30,2018-01-30 09:05:00,6908.25,6920.0,6878.88,-11.75,-1.0,loss,2018
2018-02-02,2018-02-02 08:50:00,6850.75,6865.5,6813.88,36.88,2.5,win,2018
2018-02-02,2018-02-02 10:59:00,6828.5,6837.5,6806.0,-9.0,-1.0,loss,2018
2018-02-05,2018-02-05 11:15:00,6729.75,6740.75,6702.25,-11.0,-1.0,loss,2018
2018-02-07,2018-02-07 11:20:00,6669.5,6680.5,6642.0,-11.0,-1.0,loss,2018
2018-02-08,2018-02-08 08:33:00,6582.25,6601.5,6534.12,48.12,2.5,win,2018
2018-02-08,2018-02-08 08:42:00,6572.75,6588.25,6534.0,-15.5,-1.0,loss,2018
2018-02-08,2018-02-08 10:13:00,6488.75,6508.5,6439.38,-19.75,-1.0,loss,2018
2018-02-09,2018-02-09 10:15:00,6328.75,6351.0,6273.12,55.62,2.5,win,2018
2018-02-13,2018-02-13 08:30:00,6480.0,6491.25,6451.88,-11.25,-1.0,loss,2018
2018-02-15,2018-02-15 08:35:00,6704.25,6719.75,6665.5,-15.5,-1.0,loss,2018
2018-02-15,2018-02-15 09:41:00,6719.5,6730.25,6692.62,26.88,2.5,win,2018
2018-02-15,2018-02-15 09:43:00,6706.0,6718.75,6674.12,31.88,2.5,win,2018
2018-02-15,2018-02-15 09:55:00,6698.25,6712.25,6663.25,-14.0,-1.0,loss,2018
2018-02-19,2018-02-19 09:02:00,6786.25,6792.25,6771.25,15.0,2.5,win,2018
