feature,mean,median,min,max
open,18393.0326,17947.5,7199.25,25758.5
high,18416.9783,17972.25,7230.5,25781.5
low,18389.8261,17946.0,7196.75,25755.75
close,18411.5,17966.75,7228.75,25779.0
body,18.4674,15.25,5.0,43.75
body_abs,18.4674,15.25,5.0,43.75
body_pct,0.8511,0.8796,0.6614,0.9765
upper_wick,5.4783,2.75,1.0,23.5
lower_wick,3.2065,2.0,0.0,16.75
upper_wick_pct,0.2017,0.1408,0.0213,0.5588
lower_wick_pct,0.0613,0.0556,0.0104,0.1125
bar_range,27.1522,23.0,16.75,63.5
range_expansion_20,2.1214,1.8551,1.5006,3.4649
rel_vol_20,2.4057,1.6994,1.1097,5.731
dist_pdh,-230.7609,-201.5,-507.5,-79.75
dist_pdl,80.8587,43.25,-254.25,372.25
dist_dol,-74.9891,-81.75,-346.0,66.0
dist_vwap,-78.6952,-66.4593,-203.3597,-24.8166
liquidity_sweep_reclaim_count_last_30m,1.8696,2.0,1.0,4.0
