date,entry_time,entry,stop,target,exit_price,outcome,risk_points,pnl_points,rr,mfe,mae
2018-01-04,2018-01-04 08:41:00,6596.75,6603.5,6583.25,6603.5,loss,6.75,-6.75,-1.0,10.25,-7.75
2018-01-04,2018-01-04 09:02:00,6594.5,6602.5,6578.5,6602.5,loss,8.0,-8.0,-1.0,2.25,-9.75
2018-01-04,2018-01-04 09:23:00,6594.5,6599.25,6585.0,6599.25,loss,4.75,-4.75,-1.0,0.5,-5.0
2018-01-04,2018-01-04 09:31:00,6601.25,6607.0,6589.75,6607.0,loss,5.75,-5.75,-1.0,0.0,-6.25
2018-01-04,2018-01-04 10:17:00,6597.0,6601.5,6588.0,6601.5,loss,4.5,-4.5,-1.0,5.5,-4.5
2018-01-04,2018-01-04 10:19:00,6594.25,6598.0,6586.75,6598.0,loss,3.75,-3.75,-1.0,2.75,-5.25
2018-01-04,2018-01-04 10:45:00,6596.25,6599.5,6589.75,6599.5,loss,3.25,-3.25,-1.0,0.5,-3.75
2018-01-04,2018-01-04 10:52:00,6597.5,6601.0,6590.5,6601.0,loss,3.5,-3.5,-1.0,3.0,-3.5
2018-01-04,2018-01-04 10:56:00,6597.75,6601.0,6591.25,6601.0,loss,3.25,-3.25,-1.0,3.25,-3.25
2018-01-05,2018-01-05 08:43:00,6618.25,6624.0,6606.75,6624.0,loss,5.75,-5.75,-1.0,1.75,-9.25
2018-01-08,2018-01-08 08:32:00,6660.5,6668.25,6645.0,6668.25,loss,7.75,-7.75,-1.0,0.5,-8.75
2018-01-08,2018-01-08 08:38:00,6663.25,6670.5,6648.75,6670.5,loss,7.25,-7.25,-1.0,3.25,-10.25
2018-01-08,2018-01-08 09:09:00,6661.25,6669.0,6645.75,6669.0,loss,7.75,-7.75,-1.0,1.5,-8.25
2018-01-09,2018-01-09 08:37:00,6690.0,6696.5,6677.0,6677.0,win,6.5,13.0,2.0,15.0,-2.5
2018-01-09,2018-01-09 08:39:00,6689.25,6693.25,6681.25,6681.25,win,4.0,8.0,2.0,9.25,-1.0
2018-01-09,2018-01-09 08:41:00,6684.75,6690.25,6673.75,6673.75,win,5.5,11.0,2.0,16.75,-2.0
2018-01-09,2018-01-09 08:44:00,6678.75,6684.5,6667.25,6684.5,loss,5.75,-5.75,-1.0,3.75,-6.75
2018-01-10,2018-01-10 08:31:00,6649.5,6663.5,6621.5,6663.5,loss,14.0,-14.0,-1.0,0.5,-17.0
2018-01-10,2018-01-10 08:34:00,6659.0,6667.0,6643.0,6667.0,loss,8.0,-8.0,-1.0,1.0,-10.0
2018-01-10,2018-01-10 08:36:00,6659.25,6666.5,6644.75,6666.5,loss,7.25,-7.25,-1.0,0.5,-9.75
