date,entry_time,entry,stop,target,exit_price,outcome,risk_points,pnl_points,rr,mfe,mae
2018-01-23,2018-01-23 08:58:00,6943.55,6949.5,6931.65,6949.5,loss,5.95,-5.95,-1.0,2.8,-10.45
2018-02-15,2018-02-15 10:01:00,6686.35,6694.25,6670.55,6670.55,win,7.9,15.8,2.0,16.6,-1.15
2018-05-09,2018-05-09 08:34:00,6824.5,6828.5,6816.5,6828.5,loss,4.0,-4.0,-1.0,2.5,-6.75
2018-07-11,2018-07-11 10:00:00,7256.95,7262.0,7246.85,7246.85,win,5.05,10.1,2.0,13.45,-2.55
2019-01-23,2019-01-23 09:41:00,6682.45,6688.25,6670.85,6670.85,win,5.8,11.6,2.0,12.45,-0.55
2019-02-11,2019-02-11 08:41:00,6940.7,6948.75,6924.6,6924.6,win,8.05,16.1,2.0,16.2,-5.3
2019-02-11,2019-02-11 09:26:00,6929.9,6939.75,6910.2,6939.75,loss,9.85,-9.85,-1.0,8.65,-10.1
2019-03-01,2019-03-01 09:02:00,7140.85,7148.75,7125.05,7148.75,loss,7.9,-7.9,-1.0,5.1,-9.15
2019-03-04,2019-03-04 08:53:00,7199.6,7203.75,7191.3,7203.75,loss,4.15,-4.15,-1.0,2.85,-4.4
2019-03-29,2019-03-29 08:51:00,7368.65,7374.0,7357.95,7357.95,win,5.35,10.7,2.0,12.15,-0.1
2019-04-02,2019-04-02 09:05:00,7503.1,7508.0,7493.3,7493.3,win,4.9,9.8,2.0,10.1,-1.15
2019-04-17,2019-04-17 08:53:00,7702.05,7705.75,7694.65,7694.65,win,3.7,7.4,2.0,7.55,-1.7
2019-08-06,2019-08-06 09:35:00,7451.0,7458.75,7435.5,7458.75,loss,7.75,-7.75,-1.0,14.0,-12.25
2020-04-07,2020-04-07 08:50:00,8090.65,8101.25,8069.45,8101.25,loss,10.6,-10.6,-1.0,19.4,-17.85
2020-06-17,2020-06-17 09:16:00,9989.3,9996.0,9975.9,9996.0,loss,6.7,-6.7,-1.0,4.05,-9.2
2020-07-27,2020-07-27 09:29:00,10539.45,10546.0,10526.35,10546.0,loss,6.55,-6.55,-1.0,9.7,-8.55
2020-08-05,2020-08-05 10:51:00,11095.65,11099.5,11087.95,11099.5,loss,3.85,-3.85,-1.0,2.4,-4.6
2020-10-08,2020-10-08 09:35:00,11509.35,11515.75,11496.55,11515.75,loss,6.4,-6.4,-1.0,7.85,-9.65
2020-11-03,2020-11-03 08:36:00,11123.85,11134.0,11103.55,11134.0,loss,10.15,-10.15,-1.0,12.85,-10.15
2020-11-13,2020-11-13 09:02:00,11876.75,11888.25,11853.75,11853.75,win,11.5,23.0,2.0,30.5,-3.0
2020-11-25,2020-11-25 08:58:00,12119.9,12129.0,12101.7,12101.7,win,9.1,18.2,2.0,28.65,-8.35
2020-12-11,2020-12-11 09:32:00,12328.8,12336.25,12313.9,12336.25,loss,7.45,-7.45,-1.0,9.05,-9.45
2021-01-22,2021-01-22 09:30:00,13352.9,13359.0,13340.7,13359.0,loss,6.1,-6.1,-1.0,8.65,-8.1
2021-03-10,2021-03-10 09:22:00,12860.3,12873.75,12833.4,12833.4,win,13.45,26.9,2.0,37.55,-1.95
2021-03-23,2021-03-23 10:09:00,13101.4,13125.5,13053.2,13125.5,loss,24.1,-24.1,-1.0,23.65,-24.1
