signal_time,entry_time,year,entry,stop,target,risk,result_points,bars_held,exit_reason,stage1_lower_wick_pct,stage1_range_expansion,stage2_body_pct,stage2_lower_wick_pct,dist_pdh,dist_vwap,hour,minute
2018-01-25T13:49:00.000000,2018-01-25T13:50:00.000000,2018,6922.0,6925.75,6914.5,3.75,7.5,2,target,0.5161290322580645,1.901840490797546,0.8275862068965517,0.034482758620689655,-82.25,-25.027417917806815,13,50
2018-01-25T13:53:00.000000,2018-01-25T13:54:00.000000,2018,6910.5,6920.0,6891.5,9.5,-9.5,2,stop,0.32142857142857145,1.4177215189873418,0.46153846153846156,0.07692307692307693,-93.5,-35.84846788852519,13,54
2018-01-29T21:59:00.000000,2018-01-29T22:00:00.000000,2018,6957.0,6964.5,6942.0,7.5,-7.5,3,stop,0.5666666666666667,2.0202020202020203,0.8125,0.125,-90.75,-26.56385233455694,22,0
2018-01-29T22:16:00.000000,2018-01-29T22:17:00.000000,2018,6935.25,6945.5,6914.75,10.25,-10.25,2,stop,0.5454545454545454,1.981981981981982,0.7714285714285715,0.14285714285714285,-112.25,-37.779140886978894,22,17
2018-01-29T23:38:00.000000,2018-01-29T23:39:00.000000,2018,6943.5,6948.0,6934.5,4.5,-4.5,22,stop,0.23076923076923078,1.8181818181818181,0.46153846153846156,0.0,-103.75,-21.99934392265186,23,39
2018-01-29T23:55:00.000000,2018-01-29T23:56:00.000000,2018,6943.5,6946.5,6937.5,3.0,-3.0,5,stop,0.25,1.3008130081300813,0.5,0.0,-104.25,-22.105758479314318,23,56
2018-02-01T08:11:00.000000,2018-02-01T08:12:00.000000,2018,6908.0,6913.5,6897.0,5.5,-5.5,16,stop,0.5142857142857142,1.8766756032171583,0.5,0.0,-82.5,-39.2500802063978,8,12
2018-02-01T15:06:00.000000,2018-02-01T15:07:00.000000,2018,6906.25,6918.0,6882.75,11.75,-11.75,11,stop,0.2191780821917808,2.3856209150326797,0.8,0.08888888888888889,-85.0,-34.27287191598316,15,7
2018-02-02T03:16:00.000000,2018-02-02T03:17:00.000000,2018,6891.0,6898.75,6875.5,7.75,15.5,5,target,0.21052631578947367,1.4022140221402213,0.6363636363636364,0.09090909090909091,-96.5,-33.0876570028131,3,17
2018-02-02T03:46:00.000000,2018-02-02T03:47:00.000000,2018,6877.25,6881.0,6869.75,3.75,7.5,8,target,0.68,1.9455252918287937,0.6,0.0,-110.25,-41.03018566483479,3,47
