stop_model,target_model,be_model,entry_model,trades,winrate,profit_factor,avg_trade,net_points,max_drawdown,sharpe,expectancy_score
tight,1R,none,10pt_pullback,484,0.9917,120.0,11.8,5712.0,12.0,86.22,6854.4
tight,1R,0_5R,10pt_pullback,484,0.9917,120.0,11.8,5712.0,12.0,86.22,6854.4
tight,1R,1R,10pt_pullback,484,0.9917,120.0,11.8,5712.0,12.0,86.22,6854.4
tight,2R,none,10pt_pullback,484,0.9008,18.1667,20.43,9888.0,48.0,30.14,1796.32
tight,2R,0_5R,10pt_pullback,484,0.9008,18.1667,20.43,9888.0,48.0,30.14,1796.32
tight,2R,1R,10pt_pullback,484,0.9008,18.1667,20.43,9888.0,48.0,30.14,1796.32
tight,3R,none,10pt_pullback,484,0.814,13.1333,27.07,13104.0,84.0,23.01,1720.99
tight,3R,0_5R,10pt_pullback,484,0.814,13.1333,27.07,13104.0,84.0,23.01,1720.99
tight,3R,1R,10pt_pullback,484,0.814,13.1333,27.07,13104.0,84.0,23.01,1720.99
tight,1_5R,none,10pt_pullback,484,0.936,21.9194,16.08,7782.0,48.0,34.75,1705.76
tight,1_5R,0_5R,10pt_pullback,484,0.936,21.9194,16.08,7782.0,48.0,34.75,1705.76
tight,1_5R,1R,10pt_pullback,484,0.936,21.9194,16.08,7782.0,48.0,34.75,1705.76
tight,2R,none,5pt_pullback,484,0.8719,13.6129,19.39,9384.0,48.0,25.58,1277.43
tight,2R,0_5R,5pt_pullback,484,0.8719,13.6129,19.39,9384.0,48.0,25.58,1277.43
tight,2R,1R,5pt_pullback,484,0.8719,13.6129,19.39,9384.0,48.0,25.58,1277.43
tight,3R,none,5pt_pullback,484,0.7665,9.8496,24.79,12000.0,84.0,19.38,1181.95
tight,3R,0_5R,5pt_pullback,484,0.7665,9.8496,24.79,12000.0,84.0,19.38,1181.95
tight,3R,1R,5pt_pullback,484,0.7665,9.8496,24.79,12000.0,84.0,19.38,1181.95
medium,1R,none,10pt_pullback,484,0.9318,13.6667,17.27,8360.0,80.0,27.2,1142.53
medium,1R,0_5R,10pt_pullback,484,0.9318,13.6667,17.27,8360.0,80.0,27.2,1142.53
medium,1R,1R,10pt_pullback,484,0.9318,13.6667,17.27,8360.0,80.0,27.2,1142.53
medium,1_5R,none,10pt_pullback,484,0.8678,9.8438,23.39,11320.0,80.0,21.92,1114.31
medium,1_5R,0_5R,10pt_pullback,484,0.8678,9.8438,23.39,11320.0,80.0,21.92,1114.31
medium,1_5R,1R,10pt_pullback,484,0.8678,9.8438,23.39,11320.0,80.0,21.92,1114.31
tight,1_5R,none,5pt_pullback,484,0.907,14.6333,15.21,7362.0,48.0,27.72,1077.31
tight,1_5R,0_5R,5pt_pullback,484,0.907,14.6333,15.21,7362.0,48.0,27.72,1077.31
