model,year,trades,wins,winrate,net_points,avg_trade
10ct_elite,2020,3,2,66.67,29.56,9.85
10ct_elite,2021,3,2,66.67,28.19,9.4
10ct_elite,2022,4,2,50.0,25.18,6.3
10ct_elite,2024,5,3,60.0,36.75,7.35
10ct_elite,2025,10,7,70.0,120.5,12.05
10ct_elite,2026,3,3,100.0,57.63,19.21
10ct_fill2,2020,3,2,66.67,29.56,9.85
10ct_fill2,2021,3,2,66.67,28.19,9.4
10ct_fill2,2022,4,2,50.0,25.18,6.3
10ct_fill2,2024,5,3,60.0,36.75,7.35
10ct_fill2,2025,10,7,70.0,120.5,12.05
10ct_fill2,2026,3,3,100.0,57.63,19.21
8_10_fill2,2019,1,1,100.0,22.12,22.12
8_10_fill2,2020,8,6,75.0,99.25,12.41
8_10_fill2,2021,9,8,88.89,177.2,19.69
8_10_fill2,2022,8,4,50.0,45.75,5.72
8_10_fill2,2023,1,1,100.0,23.5,23.5
8_10_fill2,2024,9,4,44.44,25.37,2.82
8_10_fill2,2025,30,16,53.33,226.95,7.56
8_10_fill2,2026,9,7,77.78,141.0,15.67
risk_6_20,2019,1,1,100.0,22.12,22.12
risk_6_20,2020,12,8,66.67,122.39,10.2
risk_6_20,2021,9,8,88.89,177.2,19.69
risk_6_20,2022,11,7,63.64,104.37,9.49
risk_6_20,2023,3,2,66.67,31.0,10.33
risk_6_20,2024,16,7,43.75,56.69,3.54
risk_6_20,2025,33,18,54.55,264.08,8.0
risk_6_20,2026,13,10,76.92,208.38,16.03
10ct_low_mae,2020,1,1,100.0,17.0,17.0
10ct_low_mae,2021,2,2,100.0,39.38,19.69
10ct_low_mae,2022,2,2,100.0,43.25,21.62
10ct_low_mae,2024,3,3,100.0,53.75,17.92
10ct_low_mae,2025,6,6,100.0,121.51,20.25
10ct_low_mae,2026,3,3,100.0,57.63,19.21
10ct_high_mfe,2020,1,1,100.0,21.25,21.25
10ct_high_mfe,2021,2,1,50.0,10.19,5.1
10ct_high_mfe,2022,1,1,100.0,24.25,24.25
10ct_high_mfe,2024,2,2,100.0,37.25,18.62
10ct_high_mfe,2025,7,4,57.14,68.74,9.82
10ct_high_mfe,2026,2,2,100.0,41.63,20.82
10ct_combo,2020,2,2,100.0,38.25,19.12
10ct_combo,2021,2,2,100.0,39.38,19.69
10ct_combo,2022,4,2,50.0,25.18,6.3
10ct_combo,2024,3,3,100.0,53.75,17.92
10ct_combo,2025,6,6,100.0,121.51,20.25
10ct_combo,2026,3,3,100.0,57.63,19.21
