label,trades,wins,losses,winrate,net_points,avg_trade,profit_factor,max_dd,first_trade,last_trade
lower_wick_gt_q20_0.02857,38,38,0,100.0,843.78,22.2,,0.0,2019-08-29 08:38:00,2026-02-18 08:35:00
q20_only,38,38,0,100.0,843.78,22.2,,0.0,2019-08-29 08:38:00,2026-02-18 08:35:00
lower_wick_gt_q25_0.03509,35,35,0,100.0,773.53,22.1,,0.0,2019-08-29 08:38:00,2026-02-18 08:35:00
q25_only,35,35,0,100.0,773.53,22.1,,0.0,2019-08-29 08:38:00,2026-02-18 08:35:00
lower_wick_gt_q30_0.04124,33,33,0,100.0,737.15,22.34,,0.0,2019-08-29 08:38:00,2026-02-18 08:35:00
q30_only,33,33,0,100.0,737.15,22.34,,0.0,2019-08-29 08:38:00,2026-02-18 08:35:00
lower_wick_gt_q35_0.04545,31,31,0,100.0,693.15,22.36,,0.0,2019-08-29 08:38:00,2026-02-18 08:35:00
q25_plus_relvol_gt_q25,29,29,0,100.0,660.27,22.77,,0.0,2019-08-29 08:38:00,2026-02-18 08:35:00
lower_wick_gt_q40_0.07759,28,28,0,100.0,630.9,22.53,,0.0,2019-08-29 08:38:00,2026-02-18 08:35:00
q25_plus_body_lt_q75,28,28,0,100.0,626.65,22.38,,0.0,2020-03-04 08:38:00,2026-02-18 08:35:00
q25_plus_range_gt_q25,27,27,0,100.0,609.14,22.56,,0.0,2019-08-29 08:38:00,2026-02-18 08:35:00
q25_plus_deep_vwap,26,26,0,100.0,603.39,23.21,,0.0,2020-03-20 10:10:00,2026-02-18 08:35:00
lower_wick_gt_q45_0.08257,26,26,0,100.0,587.28,22.59,,0.0,2019-08-29 08:38:00,2026-02-18 08:35:00
lower_wick_gt_q50_0.1068,23,23,0,100.0,528.77,22.99,,0.0,2019-08-29 08:38:00,2026-02-18 08:35:00
lower_wick_gt_q5_0.0,43,41,2,95.35,887.03,20.63,50.95,-9.38,2019-08-29 08:38:00,2026-03-16 08:48:00
lower_wick_gt_q10_0.0137,42,40,2,95.24,870.15,20.72,49.99,-9.38,2019-08-29 08:38:00,2026-03-16 08:48:00
lower_wick_gt_q15_0.02521,40,38,2,95.0,826.02,20.65,47.51,-9.38,2019-08-29 08:38:00,2026-02-18 08:35:00
lower_wick_lte_q75_0.23729,36,32,4,88.89,630.89,17.52,18.7,-18.07,2019-08-29 08:38:00,2026-03-18 10:36:00
lower_wick_lte_q50_0.1068,25,21,4,84.0,391.38,15.66,11.98,-18.07,2020-02-21 08:50:00,2026-03-18 10:36:00
lower_wick_lte_q25_0.03509,13,9,4,69.23,146.62,11.28,5.11,-26.26,2020-02-21 08:50:00,2026-03-18 10:36:00
