tier,suggested_size,conditions,entry_model,stop_model,target_model,be_model,trades,trades_per_year,trades_per_week,wins,losses,breakevens,winrate,profit_factor,avg_trade,median_trade,net_points,max_drawdown,sharpe,profitable_years_pct,profitable_years,years_tested,first_year,last_year,tier_rank
A+,full,green_bar,15pt_pullback,25pt_stop,20pt_target,no_be,352,39.11,0.75,256,96,0,0.7273,4.2826,22.01,20.0,7748.5,315.0,7.83,1.0,8,8,2018,2026,4
A+,full,green_bar,15pt_pullback,25pt_stop,20pt_target,be_after_20,352,39.11,0.75,256,96,0,0.7273,4.2826,22.01,20.0,7748.5,315.0,7.83,1.0,8,8,2018,2026,4
A+,full,large_premarket & green_bar,15pt_pullback,25pt_stop,20pt_target,be_after_20,256,28.44,0.55,186,70,0,0.7266,4.4806,23.26,20.0,5953.5,240.0,7.76,0.875,7,8,2018,2026,4
A+,full,large_premarket & green_bar,15pt_pullback,25pt_stop,20pt_target,no_be,256,28.44,0.55,186,70,0,0.7266,4.4806,23.26,20.0,5953.5,240.0,7.76,0.875,7,8,2018,2026,4
A+,full,large_premarket,15pt_pullback,25pt_stop,20pt_target,be_after_20,358,39.78,0.76,260,98,0,0.7263,4.412,22.9,20.0,8197.25,407.0,7.71,0.875,7,8,2018,2026,4
A+,full,large_premarket,15pt_pullback,25pt_stop,20pt_target,no_be,358,39.78,0.76,260,98,0,0.7263,4.412,22.9,20.0,8197.25,407.0,7.71,0.875,7,8,2018,2026,4
A+,full,below_vwap & green_bar,15pt_pullback,25pt_stop,20pt_target,no_be,234,26.0,0.5,169,65,0,0.7222,4.1862,21.82,20.0,5106.75,315.0,7.59,1.0,8,8,2018,2026,4
A+,full,below_vwap & green_bar,15pt_pullback,25pt_stop,20pt_target,be_after_20,234,26.0,0.5,169,65,0,0.7222,4.1862,21.82,20.0,5106.75,315.0,7.59,1.0,8,8,2018,2026,4
A+,full,CORE_ONLY,15pt_pullback,25pt_stop,20pt_target,no_be,484,53.78,1.03,348,136,0,0.719,4.0911,21.41,20.0,10363.0,482.0,7.62,0.875,7,8,2018,2026,4
A+,full,CORE_ONLY,15pt_pullback,25pt_stop,20pt_target,be_after_20,484,53.78,1.03,348,136,0,0.719,4.0911,21.41,20.0,10363.0,482.0,7.62,0.875,7,8,2018,2026,4
A+,full,below_vwap,15pt_pullback,25pt_stop,20pt_target,no_be,344,38.22,0.74,245,99,0,0.7122,4.0033,21.34,20.0,7342.25,482.0,7.4,0.875,7,8,2018,2026,4
A+,full,below_vwap,15pt_pullback,25pt_stop,20pt_target,be_after_20,344,38.22,0.74,245,99,0,0.7122,4.0033,21.34,20.0,7342.25,482.0,7.4,0.875,7,8,2018,2026,4
A+,full,below_vwap & large_premarket,15pt_pullback,25pt_stop,20pt_target,no_be,258,28.67,0.55,182,76,0,0.7054,3.9809,21.6,20.0,5573.5,407.0,7.1,0.875,7,8,2018,2026,4
A+,full,below_vwap & large_premarket,15pt_pullback,25pt_stop,20pt_target,be_after_20,258,28.67,0.55,182,76,0,0.7054,3.9809,21.6,20.0,5573.5,407.0,7.1,0.875,7,8,2018,2026,4
