signal_time,entry_time,trade_date,year,month,day_of_week,hour,minute,side,entry_price,stop_price,target_price,risk_points,result_points,result_rr,exit_reason,bars_held,fill_bars,mfe_points,mae_points,lower_wick_pct,body_pct,range_expansion_20,rel_vol_20
2018-12-06T08:33:00.000000,2018-12-06T08:34:00.000000,2018-12-06,2018,2018-12,4,8,34,short,6657.81,6664.5,6644.44,6.69,-6.69,-1.0,stop,1,1,12.56,-21.19,0.13333333333333333,0.6666666666666666,2.245508982035928,2.897962252800962
2018-12-21T08:31:00.000000,2018-12-21T08:32:00.000000,2018-12-21,2018,2018-12,5,8,32,short,6293.38,6300.0,6280.12,6.62,-6.62,-1.0,stop_same_bar,1,1,14.88,-9.62,0.12162162162162163,0.6756756756756757,1.9096774193548387,2.5951693357836705
2018-12-27T08:35:00.000000,2018-12-27T08:36:00.000000,2018-12-27,2018,2018-12,4,8,36,short,6194.81,6202.0,6180.44,7.19,-7.19,-1.0,stop,1,1,12.56,-7.44,0.1566265060240964,0.6506024096385542,1.9506462984723856,2.7180159290251034
2020-02-27T08:32:00.000000,2020-02-27T08:33:00.000000,2020-02-27,2020,2020-02,4,8,33,short,8654.12,8662.0,8638.38,7.88,-7.88,-1.0,stop_same_bar,1,1,18.38,-15.62,0.14893617021276595,0.8404255319148937,1.5918712955122778,3.008181578252837
2020-04-03T10:32:00.000000,2020-04-03T10:33:00.000000,2020-04-03,2020,2020-04,5,10,33,short,7486.0,7492.0,7474.0,6.0,-6.0,-1.0,stop,3,1,10.25,-8.0,0.1875,0.71875,1.7728531855955678,1.3129221071589374
2020-06-26T08:50:00.000000,2020-06-26T08:51:00.000000,2020-06-26,2020,2020-06,5,8,51,short,9869.56,9877.75,9853.19,8.19,-8.19,-1.0,stop_same_bar,1,1,16.81,-14.44,0.06060606060606061,0.8080808080808081,1.5068493150684932,1.6703399279176498
2020-08-27T10:53:00.000000,2020-08-27T10:54:00.000000,2020-08-27,2020,2020-08,4,10,54,short,11854.81,11863.5,11837.44,8.69,-8.69,-1.0,stop_same_bar,1,1,17.56,-11.94,0.09345794392523364,0.8317757009345794,1.671875,1.610952380952381
2020-11-18T08:33:00.000000,2020-11-18T08:34:00.000000,2020-11-18,2020,2020-11,3,8,34,short,11958.94,11966.25,11944.31,7.31,-7.31,-1.0,stop,2,1,13.19,-19.06,0.15294117647058825,0.8352941176470589,3.0357142857142856,3.308317698561601
2020-12-15T10:07:00.000000,2020-12-15T10:08:00.000000,2020-12-15,2020,2020-12,2,10,8,short,12485.5,12492.0,12472.5,6.5,-6.5,-1.0,stop,4,1,12.75,-8.5,0.08333333333333333,0.7916666666666666,1.8556701030927836,1.917561255428993
2021-02-17T10:25:00.000000,2021-02-17T10:26:00.000000,2021-02-17,2021,2021-02,3,10,26,short,13562.5,13569.25,13549.0,6.75,-6.75,-1.0,stop,1,1,10.0,-13.5,0.23684210526315788,0.6710526315789473,1.5291750503018107,1.2325443786982249
