month,trades,wins,losses,net_points,avg_trade,winrate
2018-10,1,1,0,13.62,13.62,100.0
2018-12,3,0,3,-20.5,-6.83,0.0
2019-08,1,1,0,22.12,22.12,100.0
2020-02,2,1,1,9.24,4.62,50.0
2020-03,2,2,0,39.63,19.81,100.0
2020-04,4,3,1,36.5,9.12,75.0
2020-06,2,1,1,5.81,2.9,50.0
2020-08,2,1,1,6.43,3.22,50.0
2020-11,2,1,1,15.19,7.6,50.0
2020-12,2,1,1,13.38,6.69,50.0
2021-01,1,1,0,37.88,37.88,100.0
2021-02,4,2,2,28.68,7.17,50.0
2021-04,1,1,0,13.12,13.12,100.0
2021-09,1,0,1,-7.44,-7.44,0.0
2021-11,2,2,0,34.88,17.44,100.0
2021-12,4,4,0,72.88,18.22,100.0
2022-01,1,0,1,-12.62,-12.62,0.0
2022-02,2,2,0,41.38,20.69,100.0
2022-03,1,1,0,24.25,24.25,100.0
2022-09,5,2,3,9.37,1.87,40.0
2022-10,1,0,1,-7.38,-7.38,0.0
2022-11,3,2,1,19.12,6.37,66.67
2022-12,1,0,1,-8.19,-8.19,0.0
2023-01,1,1,0,15.75,15.75,100.0
2023-02,1,1,0,23.5,23.5,100.0
2023-05,1,1,0,12.0,12.0,100.0
2023-06,1,1,0,12.38,12.38,100.0
2023-09,1,1,0,14.5,14.5,100.0
2023-10,1,1,0,15.62,15.62,100.0
2023-11,2,1,1,8.06,4.03,50.0
2023-12,2,1,1,6.88,3.44,50.0
2024-01,1,1,0,13.12,13.12,100.0
2024-02,3,2,1,23.81,7.94,66.67
2024-04,1,0,1,-6.56,-6.56,0.0
2024-05,1,1,0,15.25,15.25,100.0
2024-06,1,1,0,12.5,12.5,100.0
2024-07,1,0,1,-8.69,-8.69,0.0
2024-08,2,1,1,5.5,2.75,50.0
2024-09,3,2,1,23.44,7.81,66.67
2024-10,1,0,1,-8.44,-8.44,0.0
2024-11,4,2,2,16.5,4.13,50.0
2024-12,1,0,1,-6.88,-6.88,0.0
2025-01,7,4,3,44.57,6.37,57.14
2025-02,4,3,1,54.2,13.55,75.0
2025-03,1,0,1,-11.31,-11.31,0.0
2025-04,2,1,1,4.81,2.41,50.0
2025-05,3,2,1,32.74,10.91,66.67
2025-06,2,1,1,11.56,5.78,50.0
2025-07,3,1,2,-6.62,-2.21,33.33
2025-08,4,2,2,10.18,2.54,50.0
2025-09,1,1,0,16.88,16.88,100.0
2025-10,1,0,1,-7.5,-7.5,0.0
2025-11,6,3,3,44.01,7.34,50.0
2025-12,2,2,0,62.12,31.06,100.0
2026-01,3,1,2,4.62,1.54,33.33
2026-02,3,3,0,77.88,25.96,100.0
2026-03,2,2,0,38.75,19.38,100.0
2026-05,1,0,1,-6.5,-6.5,0.0
