timeframe,month,trades,wins,losses,avg_r,net_r,win_rate
1h,1,4,2,2,1.5,6.0,50.0
1h,2,1,1,0,2.0,2.0,100.0
1h,3,3,1,2,0.6666666666666666,2.0,33.33333333333333
1h,4,3,3,0,4.0,12.0,100.0
1h,5,2,1,1,1.5,3.0,50.0
30m,1,9,1,8,-0.4444444444444444,-4.0,11.11111111111111
30m,2,3,0,3,-1.0,-3.0,0.0
30m,3,5,2,3,1.0,5.0,40.0
30m,4,8,4,4,1.5,12.0,50.0
30m,5,3,2,1,2.3333333333333335,7.0,66.66666666666666
4h,1,2,1,1,1.5,3.0,50.0
4h,2,2,1,1,1.5,3.0,50.0
4h,3,3,2,1,2.3333333333333335,7.0,66.66666666666666
4h,4,4,3,1,2.75,11.0,75.0
