timeframe,fvg_ts,entry_ts,year,month,symbol,gap_low,gap_high,gap_width,entry_price,stop,risk,tp1,tp2,max_high,min_low,result,pnl_r
30m,2026-01-02T08:30:00.000000,2026-01-02T14:13:00.000000,2026,1,NQH6,25643.75,25676.0,32.25,25676.0,25638.75,37.25,25750.5,25825.0,25996.25,25265.25,stop,-1.0
30m,2026-01-21T15:00:00.000000,2026-01-21T15:10:00.000000,2026,1,NQH6,25258.0,25294.75,36.75,25302.0,25253.0,49.0,25400.0,25498.0,26349.0,25142.0,stop,-1.0
30m,2026-01-21T15:30:00.000000,2026-01-21T16:37:00.000000,2026,1,NQH6,25339.25,25378.0,38.75,25361.0,25334.25,26.75,25414.5,25468.0,26349.0,25142.0,stop,-1.0
30m,2026-01-21T19:30:00.000000,2026-01-21T19:33:00.000000,2026,1,NQH6,25294.75,25421.0,126.25,25433.75,25289.75,144.0,25721.75,26009.75,26349.0,25365.25,tp2,4.0
30m,2026-01-21T20:00:00.000000,2026-01-21T20:29:00.000000,2026,1,NQH6,25457.0,25485.0,28.0,25486.5,25452.0,34.5,25555.5,25624.5,26349.0,25365.25,stop,-1.0
30m,2026-01-22T08:00:00.000000,2026-01-22T14:48:00.000000,2026,1,NQH6,25550.25,25583.0,32.75,25576.25,25545.25,31.0,25638.25,25700.25,26349.0,25365.25,stop,-1.0
30m,2026-01-23T11:30:00.000000,2026-01-23T11:59:00.000000,2026,1,NQH6,25574.75,25596.25,21.5,25606.75,25569.75,37.0,25680.75,25754.75,26349.0,25180.25,stop,-1.0
30m,2026-01-23T15:00:00.000000,2026-01-26T01:05:00.000000,2026,1,NQH6,25612.25,25661.5,49.25,25638.75,25607.25,31.5,25701.75,25764.75,26349.0,25180.25,stop,-1.0
30m,2026-01-23T15:30:00.000000,2026-01-23T17:42:00.000000,2026,1,NQH6,25668.0,25745.0,77.0,25734.5,25663.0,71.5,25877.5,26020.5,26349.0,25180.25,stop,-1.0
30m,2026-02-02T15:00:00.000000,2026-02-03T14:43:00.000000,2026,2,NQH6,25547.25,25733.0,185.75,25746.75,25542.25,204.5,26155.75,26564.75,25811.75,24239.75,stop,-1.0
30m,2026-02-18T15:00:00.000000,2026-02-18T19:36:00.000000,2026,2,NQH6,24848.25,24937.5,89.25,24937.75,24843.25,94.5,25126.75,25315.75,25494.75,24668.0,stop,-1.0
30m,2026-02-20T15:00:00.000000,2026-02-20T15:06:00.000000,2026,2,NQH6,24784.0,24858.25,74.25,24869.0,24779.0,90.0,25049.0,25229.0,25494.75,24477.0,stop,-1.0
30m,2026-03-11T10:30:00.000000,2026-03-11T11:28:00.000000,2026,3,NQH6,24948.0,24971.25,23.25,24972.25,24943.0,29.25,25030.75,25089.25,25210.5,23971.25,stop,-1.0
30m,2026-03-17T13:30:00.000000,2026-03-17T15:36:00.000000,2026,3,NQM6,24940.25,24964.0,23.75,24954.75,24935.25,19.5,24993.75,25032.75,25210.5,23574.0,tp2,4.0
