timeframe,fvg_ts,entry_ts,year,month,symbol,gap_low,gap_high,gap_width,entry_price,stop,risk,tp1,tp2,max_high,min_low,result,pnl_r
4h,2026-01-09T16:00:00.000000,2026-01-12T00:39:00.000000,2026,1,NQH6,25767.25,25810.75,43.5,25789.25,25762.25,27.0,25843.25,25897.25,26045.5,25236.5,stop,-1.0
4h,2026-01-15T08:00:00.000000,2026-01-15T08:04:00.000000,2026,1,NQH6,25643.0,25673.75,30.75,25680.0,25638.0,42.0,25764.0,25848.0,25952.75,25025.0,tp2,4.0
4h,2026-02-02T12:00:00.000000,2026-02-03T17:13:00.000000,2026,2,NQH6,25376.0,25450.0,74.0,25423.5,25371.0,52.5,25528.5,25633.5,25514.25,24239.75,stop,-1.0
4h,2026-02-25T12:00:00.000000,2026-02-25T12:13:00.000000,2026,2,NQH6,25067.75,25105.0,37.25,25107.25,25062.75,44.5,25196.25,25285.25,25494.75,24352.0,tp2,4.0
4h,2026-03-02T16:00:00.000000,2026-03-02T16:28:00.000000,2026,3,NQH6,24729.0,24852.0,123.0,24862.75,24724.0,138.75,25140.25,25417.75,25250.0,24000.0,stop,-1.0
4h,2026-03-04T12:00:00.000000,2026-03-04T12:31:00.000000,2026,3,NQH6,24677.75,24720.5,42.75,24736.75,24672.75,64.0,24864.75,24992.75,25250.0,24000.0,tp2,4.0
4h,2026-03-09T16:00:00.000000,2026-03-09T17:43:00.000000,2026,3,NQH6,24495.75,24575.75,80.0,24577.5,24490.75,86.75,24751.0,24924.5,25217.5,24278.0,tp2,4.0
4h,2026-04-13T16:00:00.000000,2026-04-13T16:05:00.000000,2026,4,NQM6,25194.75,25282.5,87.75,25288.0,25189.75,98.25,25484.5,25681.0,27155.75,25287.25,tp2,4.0
4h,2026-04-15T16:00:00.000000,2026-04-15T16:56:00.000000,2026,4,NQM6,26048.0,26102.25,54.25,26120.25,26043.0,77.25,26274.75,26429.25,27462.5,26120.0,tp2,4.0
4h,2026-04-17T12:00:00.000000,2026-04-19T22:00:00.000000,2026,4,NQM6,26492.25,26561.5,69.25,26548.5,26487.25,61.25,26671.0,26793.5,27542.5,26540.0,tp2,4.0
4h,2026-04-30T00:00:00.000000,2026-04-30T02:31:00.000000,2026,4,NQM6,27340.25,27386.5,46.25,27410.75,27335.25,75.5,27561.75,27712.75,28944.75,27163.25,stop,-1.0
