timeframe,fvg_ts,year,month,symbol,direction,displacement,gap_width,gap_low,gap_high,gap_mid,touched_10d,touch_ts,reclaimed_after_touch,reclaim_ts,width_ge_5,width_ge_10,width_ge_20,width_ge_30,width_ge_50
1h,2026-01-02T00:00:00.000000,2026,1,NQH6,bull,false,2.25,25471.5,25473.75,25472.625,true,2026-01-02T00:09:00.000000,true,2026-01-02T00:09:00.000000,false,false,false,false,false
1h,2026-01-02T01:00:00.000000,2026,1,NQH6,bull,false,6.25,25504.0,25510.25,25507.125,true,2026-01-02T15:22:00.000000,true,2026-01-02T15:32:00.000000,true,false,false,false,false
1h,2026-01-02T02:00:00.000000,2026,1,NQH6,bull,false,41.0,25514.0,25555.0,25534.5,true,2026-01-02T15:18:00.000000,true,2026-01-02T15:18:00.000000,true,true,true,true,false
1h,2026-01-02T03:00:00.000000,2026,1,NQH6,bull,false,39.75,25556.25,25596.0,25576.125,true,2026-01-02T03:06:00.000000,true,2026-01-02T03:06:00.000000,true,true,true,true,false
1h,2026-01-02T04:00:00.000000,2026,1,NQH6,bull,false,9.75,25607.5,25617.25,25612.375,true,2026-01-02T04:36:00.000000,true,2026-01-02T04:36:00.000000,true,false,false,false,false
1h,2026-01-02T09:00:00.000000,2026,1,NQH6,bull,false,57.75,25647.5,25705.25,25676.375,true,2026-01-02T12:02:00.000000,true,2026-01-02T12:02:00.000000,true,true,true,true,true
1h,2026-01-02T13:00:00.000000,2026,1,NQH6,bear,false,5.0,25709.0,25714.0,25711.5,true,2026-01-02T13:18:00.000000,true,2026-01-02T13:18:00.000000,true,false,false,false,false
1h,2026-01-02T16:00:00.000000,2026,1,NQH6,bear,false,211.0,25427.25,25638.25,25532.75,true,2026-01-02T16:34:00.000000,true,2026-01-02T16:34:00.000000,true,true,true,true,true
1h,2026-01-05T00:00:00.000000,2026,1,NQH6,bull,false,19.75,25415.0,25434.75,25424.875,true,2026-01-05T00:38:00.000000,true,2026-01-05T00:38:00.000000,true,true,false,false,false
1h,2026-01-05T11:00:00.000000,2026,1,NQH6,bull,false,11.75,25532.25,25544.0,25538.125,true,2026-01-05T11:09:00.000000,true,2026-01-05T11:09:00.000000,true,true,false,false,false
1h,2026-01-05T18:00:00.000000,2026,1,NQH6,bear,false,19.0,25632.25,25651.25,25641.75,true,2026-01-05T18:03:00.000000,true,2026-01-05T18:03:00.000000,true,true,false,false,false
1h,2026-01-06T02:00:00.000000,2026,1,NQH6,bull,false,10.0,25582.25,25592.25,25587.25,true,2026-01-06T02:16:00.000000,true,2026-01-06T02:16:00.000000,true,true,false,false,false
1h,2026-01-06T03:00:00.000000,2026,1,NQH6,bull,false,13.25,25602.75,25616.0,25609.375,true,2026-01-06T03:50:00.000000,true,2026-01-06T03:50:00.000000,true,true,false,false,false
1h,2026-01-06T05:00:00.000000,2026,1,NQH6,bull,false,9.25,25629.25,25638.5,25633.875,true,2026-01-06T05:46:00.000000,true,2026-01-06T05:46:00.000000,true,false,false,false,false
