timeframe,fvg_ts,year,month,symbol,direction,displacement,gap_width,gap_low,gap_high,gap_mid,touched_10d,touch_ts,reclaimed_after_touch,reclaim_ts,width_ge_5,width_ge_10,width_ge_20,width_ge_30,width_ge_50
30m,2026-01-01T23:30:00.000000,2026,1,NQH6,bull,false,32.75,25445.5,25478.25,25461.875,true,2026-01-02T00:08:00.000000,true,2026-01-02T00:08:00.000000,true,true,true,true,false
30m,2026-01-02T01:00:00.000000,2026,1,NQH6,bull,false,1.75,25508.5,25510.25,25509.375,true,2026-01-02T15:22:00.000000,true,2026-01-02T15:32:00.000000,false,false,false,false,false
30m,2026-01-02T01:30:00.000000,2026,1,NQH6,bull,false,17.5,25514.0,25531.5,25522.75,true,2026-01-02T15:20:00.000000,true,2026-01-02T15:20:00.000000,true,true,false,false,false
30m,2026-01-02T02:00:00.000000,2026,1,NQH6,bull,false,19.0,25536.0,25555.0,25545.5,true,2026-01-02T15:18:00.000000,true,2026-01-02T15:18:00.000000,true,true,false,false,false
30m,2026-01-02T02:30:00.000000,2026,1,NQH6,bull,false,27.25,25556.25,25583.5,25569.875,true,2026-01-02T15:15:00.000000,true,2026-01-02T15:15:00.000000,true,true,true,false,false
30m,2026-01-02T03:00:00.000000,2026,1,NQH6,bull,false,0.75,25595.25,25596.0,25595.625,true,2026-01-02T03:06:00.000000,true,2026-01-02T03:06:00.000000,false,false,false,false,false
30m,2026-01-02T04:00:00.000000,2026,1,NQH6,bull,false,10.75,25608.75,25619.5,25614.125,true,2026-01-02T04:03:00.000000,true,2026-01-02T04:03:00.000000,true,true,false,false,false
30m,2026-01-02T06:00:00.000000,2026,1,NQH6,bull,false,0.75,25633.25,25634.0,25633.625,true,2026-01-02T06:03:00.000000,true,2026-01-02T06:03:00.000000,false,false,false,false,false
30m,2026-01-02T08:30:00.000000,2026,1,NQH6,bull,true,32.25,25643.75,25676.0,25659.875,true,2026-01-02T14:13:00.000000,true,2026-01-02T14:13:00.000000,true,true,true,true,false
30m,2026-01-02T09:00:00.000000,2026,1,NQH6,bull,true,4.25,25701.0,25705.25,25703.125,true,2026-01-02T12:02:00.000000,true,2026-01-02T12:03:00.000000,false,false,false,false,false
