timeframe,month,direction,total_fvgs,touched_10d,reclaimed_after_touch,displacement_count,displacement_reclaimed,width_ge_20
1h,1,bear,53,53,53,13,13,30
1h,1,bull,64,64,64,7,7,25
1h,2,bear,46,44,44,13,12,26
1h,2,bull,50,50,50,4,4,17
1h,3,bear,64,63,63,13,12,42
1h,3,bull,56,56,55,4,4,36
1h,4,bear,44,44,44,2,2,18
1h,4,bull,78,74,74,8,7,34
1h,5,bear,5,5,5,0,0,4
1h,5,bull,18,16,16,5,3,8
30m,1,bear,94,94,94,19,19,39
30m,1,bull,126,126,126,15,15,39
30m,2,bear,84,81,81,21,18,42
30m,2,bull,93,93,93,9,9,33
30m,3,bear,114,113,112,19,18,49
30m,3,bull,109,109,109,12,12,42
30m,4,bear,82,82,82,13,13,32
30m,4,bull,151,142,142,22,18,56
30m,5,bear,13,12,12,3,2,6
30m,5,bull,26,26,26,7,7,10
4h,1,bear,22,22,22,3,3,17
4h,1,bull,21,21,21,3,3,14
4h,2,bear,11,10,10,1,0,11
4h,2,bull,13,13,13,2,2,10
4h,3,bear,20,19,19,5,4,15
4h,3,bull,18,17,17,4,3,17
4h,4,bear,11,11,11,2,2,9
4h,4,bull,26,24,24,6,5,18
4h,5,bull,7,6,6,1,1,6
