fvg_id,direction,h1_idx,fvg_time,fvg_low,fvg_high,fvg_size,fvg_mid,touched,touch_time,time_bucket,touch_depth_pct,max_favorable_points,max_adverse_points,hit_25,hit_50,hit_75,hit_100,minutes_to_25,minutes_to_50,minutes_to_75,minutes_to_100,bounce_gt_15m_before_25,bounce_gt_30m_before_25,bounce_gt_60m_before_25,bounce_gt_15m_before_50,bounce_gt_30m_before_50,bounce_gt_60m_before_50
0,bullish,2,2026-01-01T19:00:00.000000,25504.0,25510.25,6.25,25507.125,true,2026-01-02T09:22:00.000000,NY_MORNING_0830_1130,100.0,106.5,245.0,false,false,false,false,11,14,19,4242,false,false,false,false,false,false
1,bullish,3,2026-01-01T20:00:00.000000,25514.0,25555.0,41.0,25534.5,true,2026-01-02T09:18:00.000000,NY_MORNING_0830_1130,5.49,117.5,289.75,false,false,false,false,23,4245,4267,4272,false,false,false,false,false,false
2,bullish,4,2026-01-01T21:00:00.000000,25556.25,25596.0,39.75,25576.125,true,2026-01-01T21:06:00.000000,OTHER,0.0,102.0,0.0,true,true,true,true,37,214,306,314,true,true,false,true,true,true
3,bullish,5,2026-01-01T22:00:00.000000,25607.5,25617.25,9.75,25612.375,true,2026-01-01T22:36:00.000000,OTHER,0.0,101.25,4.75,true,true,true,true,80,216,218,256,true,true,true,true,true,true
4,bullish,10,2026-01-02T03:00:00.000000,25647.5,25705.25,57.75,25676.375,true,2026-01-02T06:02:00.000000,OTHER,7.79,100.0,440.0,true,false,false,false,149,165,168,6165,true,true,true,false,false,false
5,bearish,14,2026-01-02T07:00:00.000000,25709.0,25714.0,5.0,25711.5,true,2026-01-02T07:18:00.000000,OTHER,0.0,115.5,94.75,true,false,false,false,36,74,114,116,true,true,false,false,false,false
6,bearish,17,2026-01-02T10:00:00.000000,25427.25,25638.25,211.0,25532.75,true,2026-01-02T10:34:00.000000,NY_MORNING_0830_1130,0.0,106.25,0.0,true,true,true,true,0,6,14,17,false,false,false,false,false,false
7,bullish,24,2026-01-04T18:00:00.000000,25415.0,25434.75,19.75,25424.875,true,2026-01-04T18:38:00.000000,OTHER,0.0,102.75,0.0,true,true,true,true,7,24,454,460,false,false,false,true,false,false
8,bullish,35,2026-01-05T05:00:00.000000,25532.25,25544.0,11.75,25538.125,true,2026-01-05T05:09:00.000000,OTHER,0.0,103.0,23.75,true,false,false,false,28,172,189,200,true,false,false,false,false,false
9,bearish,42,2026-01-05T12:00:00.000000,25632.25,25651.25,19.0,25641.75,true,2026-01-05T12:03:00.000000,NY_PM_1200_1500,0.0,104.75,42.0,true,true,true,false,3,13,16,868,false,false,false,false,false,false
