fvg_id,side,fvg_time,trade_date,entry_time,exit_time,exit_reason,fvg_low,fvg_high,fvg_mid,fvg_size,entry,stop_initial,tp1,tp2,tp3,final_exit_price,initial_risk_points,initial_risk_dollars,tp1_hit,tp2_hit,tp3_hit,tp1_time,tp2_time,tp3_time,gross_points_3_contracts,pnl_dollars,mfe_points_from_entry,mae_points_from_entry,r_multiple,win,loss,breakeven
0,LONG,2026-01-01T19:00:00.000000,2026-01-02,2026-01-02T09:22:00.000000,2026-01-02T09:22:00.000000,STOP,25504.0,25510.25,25507.12,6.25,25510.25,25502.75,25535.25,25560.25,25585.25,25502.75,7.5,45.0,false,false,false,,,,-22.5,-45.0,13.0,25.25,-1.0,false,true,false
1,LONG,2026-01-01T20:00:00.000000,2026-01-02,2026-01-02T09:18:00.000000,2026-01-02T09:22:00.000000,STOP,25514.0,25555.0,25534.5,41.0,25555.0,25512.75,25580.0,25605.0,25630.0,25512.75,42.25,253.5,false,false,false,,,,-126.75,-253.5,23.75,70.0,-1.0,false,true,false
6,SHORT,2026-01-02T10:00:00.000000,2026-01-02,2026-01-02T10:34:00.000000,2026-01-02T10:48:00.000000,TP3,25427.25,25638.25,25532.75,211.0,25427.25,25639.5,25402.25,25377.25,25352.25,25352.25,212.25,1273.5,true,true,true,2026-01-02T10:34:00.000000,2026-01-02T10:40:00.000000,2026-01-02T10:48:00.000000,150.0,300.0,75.75,0.0,0.2356,true,false,false
14,LONG,2026-01-06T09:00:00.000000,2026-01-06,2026-01-06T09:56:00.000000,2026-01-06T10:00:00.000000,STOP,25650.5,25673.0,25661.75,22.5,25673.0,25649.25,25698.0,25723.0,25748.0,25673.0,23.75,142.5,true,false,false,2026-01-06T09:59:00.000000,,,25.0,50.0,27.0,1.75,0.3509,true,false,false
19,LONG,2026-01-07T09:00:00.000000,2026-01-07,2026-01-07T09:39:00.000000,2026-01-07T09:47:00.000000,TP3,25793.75,25810.75,25802.25,17.0,25810.75,25792.5,25835.75,25860.75,25885.75,25885.75,18.25,109.5,true,true,true,2026-01-07T09:39:00.000000,2026-01-07T09:40:00.000000,2026-01-07T09:47:00.000000,150.0,300.0,76.5,0.0,2.7397,true,false,false
27,SHORT,2026-01-08T09:00:00.000000,2026-01-08,2026-01-08T09:28:00.000000,2026-01-08T09:36:00.000000,TP3,25713.5,25758.0,25735.75,44.5,25713.5,25759.25,25688.5,25663.5,25638.5,25638.5,45.75,274.5,true,true,true,2026-01-08T09:28:00.000000,2026-01-08T09:35:00.000000,2026-01-08T09:36:00.000000,150.0,300.0,81.75,0.0,1.0929,true,false,false
30,LONG,2026-01-09T11:00:00.000000,2026-01-09,2026-01-09T11:19:00.000000,2026-01-09T12:02:00.000000,STOP,25879.0,25885.5,25882.25,6.5,25885.5,25877.75,25910.5,25935.5,25960.5,25910.5,7.75,46.5,true,true,false,2026-01-09T11:24:00.000000,2026-01-09T11:58:00.000000,,100.0,200.0,50.5,0.0,4.3011,true,false,false
36,LONG,2026-01-12T09:00:00.000000,2026-01-12,2026-01-12T09:45:00.000000,2026-01-12T10:14:00.000000,TP3,25763.0,25863.75,25813.38,100.75,25863.75,25761.75,25888.75,25913.75,25938.75,25938.75,102.0,612.0,true,true,true,2026-01-12T09:47:00.000000,2026-01-12T09:56:00.000000,2026-01-12T10:14:00.000000,150.0,300.0,83.5,0.0,0.4902,true,false,false
41,LONG,2026-01-13T08:00:00.000000,2026-01-13,2026-01-13T08:30:00.000000,2026-01-13T08:39:00.000000,TP3,25918.75,25930.75,25924.75,12.0,25930.75,25917.5,25955.75,25980.75,26005.75,26005.75,13.25,79.5,true,true,true,2026-01-13T08:30:00.000000,2026-01-13T08:34:00.000000,2026-01-13T08:39:00.000000,150.0,300.0,80.25,0.0,3.7736,true,false,false
46,SHORT,2026-01-14T09:00:00.000000,2026-01-14,2026-01-14T09:18:00.000000,2026-01-14T09:21:00.000000,STOP,25693.5,25732.5,25713.0,39.0,25693.5,25733.75,25668.5,25643.5,25618.5,25668.5,40.25,241.5,true,true,false,2026-01-14T09:18:00.000000,2026-01-14T09:20:00.000000,,100.0,200.0,52.5,0.0,0.8282,true,false,false
