zone_type,month,trades,wins,losses,win_rate,net_dollars,avg_dollars,tp1_pct,tp2_pct,tp3_pct,single_worst_loss_dollars,single_worst_loss_points_3_contracts
1h_FVG,2026-01,29,23,6,79.31,4311.5,148.67,79.31,58.62,34.48,-253.5,-126.75
1h_FVG,2026-02,21,18,3,85.71,4385.0,208.81,85.71,85.71,52.38,-183.0,-91.5
1h_FVG,2026-03,12,10,2,83.33,2087.5,173.96,83.33,75.0,41.67,-249.0,-124.5
1h_FVG,2026-04,15,15,0,100.0,3050.0,203.33,100.0,80.0,33.33,50.0,25.0
1h_FVG,2026-05,5,4,1,80.0,883.0,176.6,80.0,80.0,40.0,-117.0,-58.5
30m_FVG,2026-01,44,34,10,77.27,4850.0,110.23,77.27,45.45,27.27,-271.5,-135.75
30m_FVG,2026-02,29,25,4,86.21,4929.5,169.98,86.21,65.52,41.38,-129.0,-64.5
30m_FVG,2026-03,22,18,4,81.82,3820.0,173.64,81.82,77.27,31.82,-133.5,-66.75
30m_FVG,2026-04,29,26,3,89.66,4962.0,171.1,89.66,68.97,27.59,-63.0,-31.5
30m_FVG,2026-05,6,4,2,66.67,525.5,87.58,66.67,50.0,0.0,-97.5,-48.75
4h_FVG,2026-01,2,2,0,100.0,350.0,175.0,100.0,50.0,50.0,50.0,25.0
4h_FVG,2026-02,1,1,0,100.0,200.0,200.0,100.0,100.0,0.0,200.0,100.0
4h_FVG,2026-03,6,6,0,100.0,1700.0,283.33,100.0,100.0,83.33,200.0,100.0
4h_FVG,2026-04,1,1,0,100.0,50.0,50.0,100.0,0.0,0.0,50.0,25.0
4h_FVG,2026-05,1,1,0,100.0,300.0,300.0,100.0,100.0,100.0,300.0,150.0
