zone_id,zone_type,zone_family,side,zone_time,trade_date,entry_time,exit_time,exit_reason,zone_low,zone_high,zone_mid,zone_size,entry,stop_initial,tp1,tp2,tp3,final_exit_price,initial_risk_points,initial_risk_dollars,tp1_hit,tp2_hit,tp3_hit,tp1_time,tp2_time,tp3_time,gross_points_3_contracts,pnl_dollars,mfe_points_from_entry,mae_points_from_entry,r_multiple,win,loss,breakeven
0,30m_FVG,FVG,LONG,2026-01-01T19:00:00.000000,2026-01-02,2026-01-02T09:22:00.000000,2026-01-02T09:22:00.000000,STOP,25508.5,25510.25,25509.38,1.75,25510.25,25507.25,25535.25,25560.25,25585.25,25507.25,3.0,18.0,false,false,false,,,,-9.0,-18.0,13.0,25.25,-1.0,false,true,false
1,1h_FVG,FVG,LONG,2026-01-01T19:00:00.000000,2026-01-02,2026-01-02T09:22:00.000000,2026-01-02T09:22:00.000000,STOP,25504.0,25510.25,25507.12,6.25,25510.25,25502.75,25535.25,25560.25,25585.25,25502.75,7.5,45.0,false,false,false,,,,-22.5,-45.0,13.0,25.25,-1.0,false,true,false
2,30m_FVG,FVG,LONG,2026-01-01T19:30:00.000000,2026-01-02,2026-01-02T09:20:00.000000,2026-01-02T09:21:00.000000,STOP,25514.0,25531.5,25522.75,17.5,25531.5,25512.75,25556.5,25581.5,25606.5,25531.5,18.75,112.5,true,false,false,2026-01-02T09:20:00.000000,,,25.0,50.0,47.25,11.25,0.4444,true,false,false
3,30m_FVG,FVG,LONG,2026-01-01T20:00:00.000000,2026-01-02,2026-01-02T09:18:00.000000,2026-01-02T09:20:00.000000,STOP,25536.0,25555.0,25545.5,19.0,25555.0,25534.75,25580.0,25605.0,25630.0,25534.75,20.25,121.5,false,false,false,,,,-60.75,-121.5,23.75,25.5,-1.0,false,true,false
4,1h_FVG,FVG,LONG,2026-01-01T20:00:00.000000,2026-01-02,2026-01-02T09:18:00.000000,2026-01-02T09:22:00.000000,STOP,25514.0,25555.0,25534.5,41.0,25555.0,25512.75,25580.0,25605.0,25630.0,25512.75,42.25,253.5,false,false,false,,,,-126.75,-253.5,23.75,70.0,-1.0,false,true,false
5,30m_FVG,FVG,LONG,2026-01-01T20:30:00.000000,2026-01-02,2026-01-02T09:15:00.000000,2026-01-02T09:18:00.000000,STOP,25556.25,25583.5,25569.88,27.25,25583.5,25555.0,25608.5,25633.5,25658.5,25555.0,28.5,171.0,false,false,false,,,,-85.5,-171.0,23.0,30.75,-1.0,false,true,false
19,30m_FVG,FVG,SHORT,2026-01-02T09:30:00.000000,2026-01-02,2026-01-02T09:43:00.000000,2026-01-02T09:49:00.000000,TP3,25604.5,25638.25,25621.38,33.75,25604.5,25639.5,25579.5,25554.5,25529.5,25529.5,35.0,210.0,true,true,true,2026-01-02T09:44:00.000000,2026-01-02T09:48:00.000000,2026-01-02T09:49:00.000000,150.0,300.0,77.5,0.0,1.4286,true,false,false
20,30m_FVG,FVG,SHORT,2026-01-02T10:00:00.000000,2026-01-02,2026-01-02T10:29:00.000000,2026-01-02T10:33:00.000000,STOP,25406.25,25457.25,25431.75,51.0,25406.25,25458.5,25381.25,25356.25,25331.25,25406.25,52.25,313.5,true,false,false,2026-01-02T10:29:00.000000,,,25.0,50.0,41.0,1.75,0.1595,true,false,false
21,1h_FVG,FVG,SHORT,2026-01-02T10:00:00.000000,2026-01-02,2026-01-02T10:34:00.000000,2026-01-02T10:48:00.000000,TP3,25427.25,25638.25,25532.75,211.0,25427.25,25639.5,25402.25,25377.25,25352.25,25352.25,212.25,1273.5,true,true,true,2026-01-02T10:34:00.000000,2026-01-02T10:40:00.000000,2026-01-02T10:48:00.000000,150.0,300.0,75.75,0.0,0.2356,true,false,false
30,30m_FVG,FVG,LONG,2026-01-05T08:00:00.000000,2026-01-05,2026-01-05T08:35:00.000000,2026-01-05T08:36:00.000000,STOP,25572.25,25575.5,25573.88,3.25,25575.5,25571.0,25600.5,25625.5,25650.5,25571.0,4.5,27.0,false,false,false,,,,-13.5,-27.0,21.5,25.0,-1.0,false,true,false
46,30m_FVG,FVG,LONG,2026-01-06T09:00:00.000000,2026-01-06,2026-01-06T09:11:00.000000,2026-01-06T09:32:00.000000,STOP,25638.5,25726.5,25682.5,88.0,25726.5,25637.25,25751.5,25776.5,25801.5,25751.5,89.25,535.5,true,true,false,2026-01-06T09:13:00.000000,2026-01-06T09:25:00.000000,,100.0,200.0,52.5,0.0,0.3735,true,false,false
47,1h_FVG,FVG,LONG,2026-01-06T09:00:00.000000,2026-01-06,2026-01-06T09:56:00.000000,2026-01-06T10:00:00.000000,STOP,25650.5,25673.0,25661.75,22.5,25673.0,25649.25,25698.0,25723.0,25748.0,25673.0,23.75,142.5,true,false,false,2026-01-06T09:59:00.000000,,,25.0,50.0,27.0,1.75,0.3509,true,false,false
48,30m_FVG,FVG,SHORT,2026-01-06T10:00:00.000000,2026-01-06,2026-01-06T10:24:00.000000,2026-01-06T11:06:00.000000,STOP,25707.75,25726.5,25717.12,18.75,25707.75,25727.75,25682.75,25657.75,25632.75,25707.75,20.0,120.0,true,false,false,2026-01-06T10:25:00.000000,,,25.0,50.0,49.0,5.75,0.4167,true,false,false
57,30m_FVG,FVG,SHORT,2026-01-06T22:00:00.000000,2026-01-07,2026-01-07T08:30:00.000000,2026-01-07T08:30:00.000000,STOP,25804.0,25806.0,25805.0,2.0,25804.0,25807.25,25779.0,25754.0,25729.0,25807.25,3.25,19.5,false,false,false,,,,-9.75,-19.5,27.5,6.75,-1.0,false,true,false
65,30m_FVG,FVG,LONG,2026-01-07T09:00:00.000000,2026-01-07,2026-01-07T09:02:00.000000,2026-01-07T09:15:00.000000,STOP,25791.25,25812.25,25801.75,21.0,25812.25,25790.0,25837.25,25862.25,25887.25,25837.25,22.25,133.5,true,true,false,2026-01-07T09:04:00.000000,2026-01-07T09:06:00.000000,,100.0,200.0,58.25,0.0,1.4981,true,false,false
66,1h_FVG,FVG,LONG,2026-01-07T09:00:00.000000,2026-01-07,2026-01-07T09:39:00.000000,2026-01-07T09:47:00.000000,TP3,25793.75,25810.75,25802.25,17.0,25810.75,25792.5,25835.75,25860.75,25885.75,25885.75,18.25,109.5,true,true,true,2026-01-07T09:39:00.000000,2026-01-07T09:40:00.000000,2026-01-07T09:47:00.000000,150.0,300.0,76.5,0.0,2.7397,true,false,false
67,30m_FVG,FVG,LONG,2026-01-07T10:00:00.000000,2026-01-07,2026-01-07T10:29:00.000000,2026-01-07T10:45:00.000000,TP3,25875.75,25879.25,25877.5,3.5,25879.25,25874.5,25904.25,25929.25,25954.25,25954.25,4.75,28.5,true,true,true,2026-01-07T10:32:00.000000,2026-01-07T10:43:00.000000,2026-01-07T10:45:00.000000,150.0,300.0,75.0,0.0,10.5263,true,false,false
68,30m_FVG,FVG,LONG,2026-01-07T11:00:00.000000,2026-01-07,2026-01-07T11:03:00.000000,2026-01-07T11:52:00.000000,STOP,25929.25,25964.25,25946.75,35.0,25964.25,25928.0,25989.25,26014.25,26039.25,25964.25,36.25,217.5,true,false,false,2026-01-07T11:28:00.000000,,,25.0,50.0,32.0,4.25,0.2299,true,false,false
74,30m_FVG,FVG,SHORT,2026-01-07T14:30:00.000000,2026-01-09,2026-01-09T09:31:00.000000,2026-01-09T09:44:00.000000,TP3,25862.25,25891.75,25877.0,29.5,25862.25,25893.0,25837.25,25812.25,25787.25,25787.25,30.75,184.5,true,true,true,2026-01-09T09:40:00.000000,2026-01-09T09:41:00.000000,2026-01-09T09:44:00.000000,150.0,300.0,82.25,16.75,1.626,true,false,false
88,30m_FVG,FVG,SHORT,2026-01-08T09:00:00.000000,2026-01-08,2026-01-08T09:28:00.000000,2026-01-08T09:36:00.000000,TP3,25713.5,25773.75,25743.62,60.25,25713.5,25775.0,25688.5,25663.5,25638.5,25638.5,61.5,369.0,true,true,true,2026-01-08T09:28:00.000000,2026-01-08T09:35:00.000000,2026-01-08T09:36:00.000000,150.0,300.0,81.75,0.0,0.813,true,false,false
89,1h_FVG,FVG,SHORT,2026-01-08T09:00:00.000000,2026-01-08,2026-01-08T09:28:00.000000,2026-01-08T09:36:00.000000,TP3,25713.5,25758.0,25735.75,44.5,25713.5,25759.25,25688.5,25663.5,25638.5,25638.5,45.75,274.5,true,true,true,2026-01-08T09:28:00.000000,2026-01-08T09:35:00.000000,2026-01-08T09:36:00.000000,150.0,300.0,81.75,0.0,1.0929,true,false,false
99,1h_FVG,FVG,LONG,2026-01-09T11:00:00.000000,2026-01-09,2026-01-09T11:19:00.000000,2026-01-09T12:02:00.000000,STOP,25879.0,25885.5,25882.25,6.5,25885.5,25877.75,25910.5,25935.5,25960.5,25910.5,7.75,46.5,true,true,false,2026-01-09T11:24:00.000000,2026-01-09T11:58:00.000000,,100.0,200.0,50.5,0.0,4.3011,true,false,false
107,30m_FVG,FVG,SHORT,2026-01-11T18:30:00.000000,2026-01-12,2026-01-12T08:35:00.000000,2026-01-12T08:49:00.000000,STOP,25862.5,25894.0,25878.25,31.5,25862.5,25895.25,25837.5,25812.5,25787.5,25862.5,32.75,196.5,true,false,false,2026-01-12T08:45:00.000000,,,25.0,50.0,28.5,30.25,0.2545,true,false,false
110,4h_FVG,FVG,SHORT,2026-01-11T20:00:00.000000,2026-01-12,2026-01-12T08:30:00.000000,2026-01-12T08:31:00.000000,STOP,25778.25,25882.0,25830.12,103.75,25778.25,25883.25,25753.25,25728.25,25703.25,25778.25,105.0,630.0,true,false,false,2026-01-12T08:30:00.000000,,,25.0,50.0,34.75,54.5,0.0794,true,false,false
117,30m_FVG,FVG,LONG,2026-01-12T09:00:00.000000,2026-01-12,2026-01-12T09:06:00.000000,2026-01-12T09:32:00.000000,STOP,25754.25,25867.5,25810.88,113.25,25867.5,25753.0,25892.5,25917.5,25942.5,25892.5,114.5,687.0,true,true,false,2026-01-12T09:12:00.000000,2026-01-12T09:24:00.000000,,100.0,200.0,66.0,0.0,0.2911,true,false,false
118,1h_FVG,FVG,LONG,2026-01-12T09:00:00.000000,2026-01-12,2026-01-12T09:45:00.000000,2026-01-12T10:14:00.000000,TP3,25763.0,25863.75,25813.38,100.75,25863.75,25761.75,25888.75,25913.75,25938.75,25938.75,102.0,612.0,true,true,true,2026-01-12T09:47:00.000000,2026-01-12T09:56:00.000000,2026-01-12T10:14:00.000000,150.0,300.0,83.5,0.0,0.4902,true,false,false
134,1h_FVG,FVG,LONG,2026-01-13T08:00:00.000000,2026-01-13,2026-01-13T08:30:00.000000,2026-01-13T08:39:00.000000,TP3,25918.75,25930.75,25924.75,12.0,25930.75,25917.5,25955.75,25980.75,26005.75,26005.75,13.25,79.5,true,true,true,2026-01-13T08:30:00.000000,2026-01-13T08:34:00.000000,2026-01-13T08:39:00.000000,150.0,300.0,80.25,0.0,3.7736,true,false,false
135,30m_FVG,FVG,SHORT,2026-01-13T09:30:00.000000,2026-01-13,2026-01-13T09:56:00.000000,2026-01-13T10:06:00.000000,STOP,25904.75,25930.75,25917.75,26.0,25904.75,25932.0,25879.75,25854.75,25829.75,25904.75,27.25,163.5,true,false,false,2026-01-13T09:57:00.000000,,,25.0,50.0,28.75,1.75,0.3058,true,false,false
136,30m_FVG,FVG,LONG,2026-01-13T11:00:00.000000,2026-01-13,2026-01-13T11:17:00.000000,2026-01-13T11:31:00.000000,STOP,25924.5,25944.0,25934.25,19.5,25944.0,25923.25,25969.0,25994.0,26019.0,25944.0,20.75,124.5,true,false,false,2026-01-13T11:22:00.000000,,,25.0,50.0,41.75,29.5,0.4016,true,false,false
151,4h_FVG,FVG,SHORT,2026-01-14T08:00:00.000000,2026-01-14,2026-01-14T08:35:00.000000,2026-01-14T08:36:00.000000,TP3,25790.25,25835.5,25812.88,45.25,25790.25,25836.75,25765.25,25740.25,25715.25,25715.25,46.5,279.0,true,true,true,2026-01-14T08:35:00.000000,2026-01-14T08:36:00.000000,2026-01-14T08:36:00.000000,150.0,300.0,91.75,0.0,1.0753,true,false,false
152,30m_FVG,FVG,SHORT,2026-01-14T09:00:00.000000,2026-01-14,2026-01-14T09:18:00.000000,2026-01-14T09:21:00.000000,STOP,25693.5,25733.5,25713.5,40.0,25693.5,25734.75,25668.5,25643.5,25618.5,25668.5,41.25,247.5,true,true,false,2026-01-14T09:18:00.000000,2026-01-14T09:20:00.000000,,100.0,200.0,52.5,0.0,0.8081,true,false,false
153,1h_FVG,FVG,SHORT,2026-01-14T09:00:00.000000,2026-01-14,2026-01-14T09:18:00.000000,2026-01-14T09:21:00.000000,STOP,25693.5,25732.5,25713.0,39.0,25693.5,25733.75,25668.5,25643.5,25618.5,25668.5,40.25,241.5,true,true,false,2026-01-14T09:18:00.000000,2026-01-14T09:20:00.000000,,100.0,200.0,52.5,0.0,0.8282,true,false,false
