zone_type,side,trade_date,entry_time,tp1_time,minutes_to_tp1,entry,tp1,exit_reason,tp1_hit,tp2_hit,tp3_hit,pnl_dollars,gross_points_3_contracts,mfe_points_from_entry,mae_points_from_entry
4h_FVG,SHORT,2026-01-12,2026-01-12T08:30:00.000000,2026-01-12T08:30:00.000000,0.0,25778.25,25753.25,STOP,true,false,false,50.0,25.0,34.75,54.5
4h_FVG,SHORT,2026-01-14,2026-01-14T08:35:00.000000,2026-01-14T08:35:00.000000,0.0,25790.25,25765.25,TP3,true,true,true,300.0,150.0,91.75,0.0
4h_FVG,SHORT,2026-02-05,2026-02-05T08:50:00.000000,2026-02-05T08:50:00.000000,0.0,24960.75,24935.75,STOP,true,true,false,200.0,100.0,87.25,0.0
4h_FVG,LONG,2026-03-23,2026-03-23T10:29:00.000000,2026-03-23T10:29:00.000000,0.0,24308.5,24333.5,STOP,true,true,false,200.0,100.0,53.5,0.0
4h_FVG,SHORT,2026-03-27,2026-03-27T09:37:00.000000,2026-03-27T09:37:00.000000,0.0,23610.5,23585.5,TP3,true,true,true,300.0,150.0,78.5,0.0
4h_FVG,LONG,2026-05-01,2026-05-01T08:37:00.000000,2026-05-01T08:37:00.000000,0.0,27751.0,27776.0,TP3,true,true,true,300.0,150.0,78.0,0.0
4h_FVG,LONG,2026-03-04,2026-03-04T08:45:00.000000,2026-03-04T08:46:00.000000,1.0,24826.0,24851.0,TP3,true,true,true,300.0,150.0,93.5,0.0
4h_FVG,LONG,2026-03-17,2026-03-17T10:07:00.000000,2026-03-17T10:08:00.000000,1.0,24946.25,24971.25,TP3,true,true,true,300.0,150.0,80.0,0.0
4h_FVG,SHORT,2026-03-20,2026-03-20T10:20:00.000000,2026-03-20T10:22:00.000000,2.0,24356.75,24331.75,TP3,true,true,true,300.0,150.0,94.25,0.0
4h_FVG,SHORT,2026-04-15,2026-04-15T09:22:00.000000,2026-04-15T09:32:00.000000,10.0,26196.75,26171.75,STOP,true,false,false,50.0,25.0,29.75,5.25
4h_FVG,LONG,2026-03-12,2026-03-12T08:32:00.000000,2026-03-12T08:44:00.000000,12.0,24609.0,24634.0,TP3,true,true,true,300.0,150.0,111.0,36.5
