variant,zone_type,side,trades,wins,losses,win_rate,net_dollars,net_points_3_contracts,avg_dollars,profit_factor,tp1_pct,tp2_pct,tp3_pct,avg_risk_pts,max_risk_pts,worst_loss_dollars,worst_loss_points_3c,avg_mfe,avg_mae,avg_min_to_tp1
MAX_SL_50,1h_FVG,LONG,175,70,105,40.0,788.5,394.25,4.51,1.079,40.0,21.71,8.0,17.79,50.0,-300.0,-150.0,29.62,26.67,1.97
MAX_SL_50,1h_FVG,SHORT,132,50,82,37.88,939.5,469.75,7.12,1.112,37.88,23.48,16.67,20.18,49.25,-283.5,-141.75,32.47,28.01,3.02
MAX_SL_50,30m_FVG,LONG,363,122,241,33.61,-1063.5,-531.75,-2.93,0.944,33.61,16.8,7.16,15.32,50.0,-297.0,-148.5,27.05,24.99,2.06
MAX_SL_50,30m_FVG,SHORT,281,80,201,28.47,-3696.0,-1848.0,-13.15,0.789,28.47,17.08,9.25,16.39,48.5,-283.5,-141.75,26.47,27.32,2.72
MAX_SL_50,4h_FVG,LONG,31,11,20,35.48,-1205.5,-602.75,-38.89,0.509,35.48,12.9,3.23,22.15,46.25,-277.5,-138.75,22.23,29.85,0.36
MAX_SL_50,4h_FVG,SHORT,19,10,9,52.63,-106.5,-53.25,-5.61,0.908,52.63,15.79,5.26,23.58,46.5,-261.0,-130.5,32.59,23.45,1.2
MAX_SL_75,1h_FVG,LONG,193,79,114,40.93,-1095.0,-547.5,-5.67,0.917,40.93,22.28,8.29,21.73,70.5,-423.0,-211.5,29.51,29.34,2.57
MAX_SL_75,1h_FVG,SHORT,161,70,91,43.48,1614.5,807.25,10.03,1.139,43.48,27.95,18.63,27.3,74.25,-424.5,-212.25,34.11,29.71,3.53
MAX_SL_75,30m_FVG,LONG,389,137,252,35.22,-1973.5,-986.75,-5.07,0.913,35.22,18.51,7.97,18.21,73.75,-442.5,-221.25,27.65,25.97,2.1
MAX_SL_75,30m_FVG,SHORT,311,101,210,32.48,-3407.0,-1703.5,-10.95,0.836,32.48,19.29,10.61,20.8,74.5,-447.0,-223.5,28.5,28.4,2.73
MAX_SL_75,4h_FVG,LONG,37,15,22,40.54,-1538.5,-769.25,-41.58,0.525,40.54,13.51,5.41,28.62,74.75,-448.5,-224.25,25.1,30.9,0.6
MAX_SL_75,4h_FVG,SHORT,33,19,14,57.58,-456.5,-228.25,-13.83,0.853,57.58,24.24,15.15,39.61,75.0,-421.5,-210.75,37.35,35.88,3.95
NO_MAX_SL,1h_FVG,LONG,217,100,117,46.08,1525.0,762.5,7.03,1.101,46.08,27.19,11.98,33.53,417.25,-715.5,-357.75,32.52,28.75,2.43
NO_MAX_SL,1h_FVG,SHORT,194,95,99,48.97,-1853.0,-926.5,-9.55,0.906,48.97,31.44,20.1,45.62,316.0,-1896.0,-948.0,36.48,36.28,4.35
NO_MAX_SL,30m_FVG,LONG,417,159,258,38.13,-2050.5,-1025.25,-4.92,0.923,38.13,21.58,7.91,25.55,445.5,-925.5,-462.75,29.09,27.2,2.68
NO_MAX_SL,30m_FVG,SHORT,346,128,218,36.99,-8183.0,-4091.5,-23.65,0.726,36.99,21.39,12.14,33.51,336.75,-2020.5,-1010.25,29.99,32.01,3.27
NO_MAX_SL,4h_FVG,LONG,60,32,28,53.33,-4081.5,-2040.75,-68.03,0.516,53.33,21.67,13.33,81.78,636.5,-1698.0,-849.0,32.65,45.28,5.41
NO_MAX_SL,4h_FVG,SHORT,53,30,23,56.6,-8665.5,-4332.75,-163.5,0.334,56.6,24.53,16.98,90.37,447.75,-2686.5,-1343.25,35.24,60.7,3.9
