variant,zone_type,zone_size_bucket,trades,wins,losses,win_rate,net_dollars,net_points_3_contracts,avg_dollars,profit_factor,tp1_pct,tp2_pct,tp3_pct,avg_risk_pts,max_risk_pts,worst_loss_dollars,worst_loss_points_3c,avg_mfe,avg_mae,avg_min_to_tp1
MAX_SL_50,1h_FVG,00_10,105,27,78,25.71,1515.0,757.5,14.43,1.564,25.71,14.29,5.71,6.17,11.25,-67.5,-33.75,24.92,22.1,1.04
MAX_SL_50,1h_FVG,10_20,100,41,59,41.0,1025.0,512.5,10.25,1.177,41.0,25.0,10.0,16.42,21.25,-127.5,-63.75,30.34,23.9,3.34
MAX_SL_50,1h_FVG,20_35,62,28,34,45.16,-1313.5,-656.75,-21.19,0.775,45.16,22.58,14.52,28.71,36.25,-217.5,-108.75,34.52,39.25,2.0
MAX_SL_50,1h_FVG,35_50,40,24,16,60.0,501.5,250.75,12.54,1.124,60.0,37.5,27.5,42.69,50.0,-300.0,-150.0,41.99,30.51,2.83
MAX_SL_50,30m_FVG,00_10,289,60,229,20.76,1922.5,961.25,6.65,1.262,20.76,11.42,4.5,5.64,11.25,-67.5,-33.75,23.02,18.52,2.4
MAX_SL_50,30m_FVG,10_20,177,61,116,34.46,-1370.5,-685.25,-7.74,0.877,34.46,18.64,10.17,16.44,21.25,-127.5,-63.75,28.82,28.21,1.92
MAX_SL_50,30m_FVG,20_35,126,53,73,42.06,-4431.5,-2215.75,-35.17,0.632,42.06,19.84,9.52,27.72,36.25,-217.5,-108.75,27.26,34.99,2.75
MAX_SL_50,30m_FVG,35_50,52,28,24,53.85,-880.0,-440.0,-16.92,0.85,53.85,34.62,17.31,41.06,50.0,-297.0,-148.5,39.74,38.29,2.21
MAX_SL_50,4h_FVG,00_10,10,2,8,20.0,-24.5,-12.25,-2.45,0.911,20.0,10.0,0.0,5.95,8.5,-51.0,-25.5,24.22,17.65,0.0
MAX_SL_50,4h_FVG,10_20,16,7,9,43.75,-305.5,-152.75,-19.09,0.68,43.75,12.5,0.0,16.98,21.25,-127.5,-63.75,25.98,23.66,1.86
MAX_SL_50,4h_FVG,20_35,13,7,6,53.85,-136.5,-68.25,-10.5,0.846,53.85,15.38,7.69,26.73,35.25,-163.5,-81.75,24.5,32.63,0.29
MAX_SL_50,4h_FVG,35_50,11,5,6,45.45,-845.5,-422.75,-76.86,0.435,45.45,18.18,9.09,41.43,46.5,-277.5,-138.75,30.18,35.59,0.2
MAX_SL_75,1h_FVG,00_10,105,27,78,25.71,1515.0,757.5,14.43,1.564,25.71,14.29,5.71,6.17,11.25,-67.5,-33.75,24.92,22.1,1.04
MAX_SL_75,1h_FVG,10_20,100,41,59,41.0,1025.0,512.5,10.25,1.177,41.0,25.0,10.0,16.42,21.25,-127.5,-63.75,30.34,23.9,3.34
MAX_SL_75,1h_FVG,20_35,62,28,34,45.16,-1313.5,-656.75,-21.19,0.775,45.16,22.58,14.52,28.71,36.25,-217.5,-108.75,34.52,39.25,2.0
MAX_SL_75,1h_FVG,35_50,43,27,16,62.79,1051.5,525.75,24.45,1.26,62.79,39.53,27.91,43.26,51.25,-300.0,-150.0,43.52,28.7,3.04
MAX_SL_75,1h_FVG,50_75,44,26,18,59.09,-1758.5,-879.25,-39.97,0.73,59.09,38.64,20.45,60.45,74.25,-424.5,-212.25,34.65,46.98,5.65
MAX_SL_75,30m_FVG,00_10,289,60,229,20.76,1922.5,961.25,6.65,1.262,20.76,11.42,4.5,5.64,11.25,-67.5,-33.75,23.02,18.52,2.4
MAX_SL_75,30m_FVG,10_20,177,61,116,34.46,-1370.5,-685.25,-7.74,0.877,34.46,18.64,10.17,16.44,21.25,-127.5,-63.75,28.82,28.21,1.92
MAX_SL_75,30m_FVG,20_35,126,53,73,42.06,-4431.5,-2215.75,-35.17,0.632,42.06,19.84,9.52,27.72,36.25,-217.5,-108.75,27.26,34.99,2.75
MAX_SL_75,30m_FVG,35_50,54,28,26,51.85,-1486.0,-743.0,-27.52,0.771,51.85,33.33,16.67,41.41,50.5,-303.0,-151.5,38.66,39.23,2.21
MAX_SL_75,30m_FVG,50_75,54,36,18,66.67,-15.0,-7.5,-0.28,0.998,66.67,42.59,22.22,60.83,74.5,-447.0,-223.5,43.31,38.21,2.64
MAX_SL_75,4h_FVG,00_10,10,2,8,20.0,-24.5,-12.25,-2.45,0.911,20.0,10.0,0.0,5.95,8.5,-51.0,-25.5,24.22,17.65,0.0
MAX_SL_75,4h_FVG,10_20,16,7,9,43.75,-305.5,-152.75,-19.09,0.68,43.75,12.5,0.0,16.98,21.25,-127.5,-63.75,25.98,23.66,1.86
MAX_SL_75,4h_FVG,20_35,13,7,6,53.85,-136.5,-68.25,-10.5,0.846,53.85,15.38,7.69,26.73,35.25,-163.5,-81.75,24.5,32.63,0.29
MAX_SL_75,4h_FVG,35_50,13,7,6,53.85,-245.5,-122.75,-18.88,0.836,53.85,30.77,23.08,42.83,50.5,-277.5,-138.75,38.92,33.87,7.57
MAX_SL_75,4h_FVG,50_75,18,11,7,61.11,-1283.0,-641.5,-71.28,0.531,61.11,22.22,16.67,62.81,75.0,-448.5,-224.25,37.71,50.43,1.45
NO_MAX_SL,1h_FVG,00_10,105,27,78,25.71,1515.0,757.5,14.43,1.564,25.71,14.29,5.71,6.17,11.25,-67.5,-33.75,24.92,22.1,1.04
NO_MAX_SL,1h_FVG,10_20,100,41,59,41.0,1025.0,512.5,10.25,1.177,41.0,25.0,10.0,16.42,21.25,-127.5,-63.75,30.34,23.9,3.34
NO_MAX_SL,1h_FVG,20_35,62,28,34,45.16,-1313.5,-656.75,-21.19,0.775,45.16,22.58,14.52,28.71,36.25,-217.5,-108.75,34.52,39.25,2.0
NO_MAX_SL,1h_FVG,35_50,43,27,16,62.79,1051.5,525.75,24.45,1.26,62.79,39.53,27.91,43.26,51.25,-300.0,-150.0,43.52,28.7,3.04
NO_MAX_SL,1h_FVG,50_75,44,26,18,59.09,-1758.5,-879.25,-39.97,0.73,59.09,38.64,20.45,60.45,74.25,-424.5,-212.25,34.65,46.98,5.65
NO_MAX_SL,1h_FVG,75_PLUS,57,46,11,80.7,-847.5,-423.75,-14.87,0.914,80.7,56.14,33.33,132.22,417.25,-1896.0,-948.0,51.68,49.66,4.48
NO_MAX_SL,30m_FVG,00_10,289,60,229,20.76,1922.5,961.25,6.65,1.262,20.76,11.42,4.5,5.64,11.25,-67.5,-33.75,23.02,18.52,2.4
NO_MAX_SL,30m_FVG,10_20,177,61,116,34.46,-1370.5,-685.25,-7.74,0.877,34.46,18.64,10.17,16.44,21.25,-127.5,-63.75,28.82,28.21,1.92
NO_MAX_SL,30m_FVG,20_35,126,53,73,42.06,-4431.5,-2215.75,-35.17,0.632,42.06,19.84,9.52,27.72,36.25,-217.5,-108.75,27.26,34.99,2.75
NO_MAX_SL,30m_FVG,35_50,54,28,26,51.85,-1486.0,-743.0,-27.52,0.771,51.85,33.33,16.67,41.41,50.5,-303.0,-151.5,38.66,39.23,2.21
NO_MAX_SL,30m_FVG,50_75,55,37,18,67.27,185.0,92.5,3.36,1.029,67.27,43.64,21.82,61.1,75.5,-447.0,-223.5,43.88,37.52,2.57
NO_MAX_SL,30m_FVG,75_PLUS,62,48,14,77.42,-5053.0,-2526.5,-81.5,0.617,77.42,50.0,17.74,139.02,445.5,-2020.5,-1010.25,45.44,56.12,5.85
NO_MAX_SL,4h_FVG,00_10,10,2,8,20.0,-24.5,-12.25,-2.45,0.911,20.0,10.0,0.0,5.95,8.5,-51.0,-25.5,24.22,17.65,0.0
NO_MAX_SL,4h_FVG,10_20,16,7,9,43.75,-305.5,-152.75,-19.09,0.68,43.75,12.5,0.0,16.98,21.25,-127.5,-63.75,25.98,23.66,1.86
NO_MAX_SL,4h_FVG,20_35,13,7,6,53.85,-136.5,-68.25,-10.5,0.846,53.85,15.38,7.69,26.73,35.25,-163.5,-81.75,24.5,32.63,0.29
NO_MAX_SL,4h_FVG,35_50,13,7,6,53.85,-245.5,-122.75,-18.88,0.836,53.85,30.77,23.08,42.83,50.5,-277.5,-138.75,38.92,33.87,7.57
NO_MAX_SL,4h_FVG,50_75,20,12,8,60.0,-1687.5,-843.75,-84.38,0.471,60.0,20.0,15.0,64.1,75.75,-454.5,-227.25,35.72,50.45,1.42
NO_MAX_SL,4h_FVG,75_PLUS,41,27,14,65.85,-10347.5,-5173.75,-252.38,0.294,65.85,31.71,24.39,175.1,636.5,-2686.5,-1343.25,39.75,85.49,7.59
