variant,zone_type,touch_depth_bucket,trades,wins,losses,win_rate,net_dollars,net_points_3_contracts,avg_dollars,profit_factor,tp1_pct,tp2_pct,tp3_pct,avg_risk_pts,max_risk_pts,worst_loss_dollars,worst_loss_points_3c,avg_mfe,avg_mae,avg_min_to_tp1
MAX_SL_50,1h_FVG,DEEP_50_75,18,12,6,66.67,607.0,303.5,33.72,2.118,66.67,16.67,5.56,18.85,48.0,-130.5,-65.25,38.44,19.53,2.0
MAX_SL_50,1h_FVG,MID_25_50,38,29,9,76.32,2761.0,1380.5,72.66,3.228,76.32,34.21,15.79,21.88,45.5,-231.0,-115.5,44.24,17.95,2.52
MAX_SL_50,1h_FVG,SHALLOW_0_25,75,67,8,89.33,12005.5,6002.75,160.07,10.472,89.33,64.0,34.67,25.3,49.25,-253.5,-126.75,57.23,11.3,2.63
MAX_SL_50,1h_FVG,VERY_DEEP_75_100,176,12,164,6.82,-13645.5,-6822.75,-77.53,0.108,6.82,2.84,1.7,15.39,50.0,-300.0,-150.0,15.94,36.84,1.33
MAX_SL_50,30m_FVG,DEEP_50_75,38,22,16,57.89,1413.5,706.75,37.2,1.864,57.89,23.68,15.79,18.07,41.5,-249.0,-124.5,37.51,17.16,2.95
MAX_SL_50,30m_FVG,MID_25_50,56,39,17,69.64,2979.5,1489.75,53.21,2.593,69.64,28.57,8.93,21.38,48.25,-240.0,-120.0,40.76,19.96,1.54
MAX_SL_50,30m_FVG,SHALLOW_0_25,149,124,25,83.22,18113.5,9056.75,121.57,7.386,83.22,48.99,25.5,20.52,50.0,-271.5,-135.75,51.13,10.3,2.3
MAX_SL_50,30m_FVG,VERY_DEEP_75_100,401,17,384,4.24,-27266.0,-13633.0,-68.0,0.093,4.24,2.74,0.75,13.03,49.5,-297.0,-148.5,14.79,33.52,3.47
MAX_SL_50,4h_FVG,DEEP_50_75,5,4,1,80.0,315.5,157.75,63.1,10.145,80.0,20.0,0.0,16.5,33.75,-34.5,-17.25,36.95,13.95,0.25
MAX_SL_50,4h_FVG,MID_25_50,8,3,5,37.5,-418.5,-209.25,-52.31,0.264,37.5,0.0,0.0,25.69,41.25,-243.0,-121.5,25.0,22.81,0.33
MAX_SL_50,4h_FVG,SHALLOW_0_25,11,11,0,100.0,1500.0,750.0,136.36,,100.0,45.45,18.18,27.02,46.5,50.0,25.0,53.89,8.64,1.0
MAX_SL_50,4h_FVG,VERY_DEEP_75_100,26,3,23,11.54,-2709.0,-1354.5,-104.19,0.1,11.54,3.85,0.0,21.12,46.25,-277.5,-138.75,12.73,39.37,1.0
MAX_SL_75,1h_FVG,DEEP_50_75,20,13,7,65.0,315.0,157.5,15.75,1.356,65.0,15.0,5.0,23.2,67.75,-342.0,-171.0,36.91,25.25,1.85
MAX_SL_75,1h_FVG,MID_25_50,44,35,9,79.55,3961.0,1980.5,90.02,4.197,79.55,38.64,20.45,27.03,67.75,-231.0,-115.5,46.62,19.58,2.37
MAX_SL_75,1h_FVG,SHALLOW_0_25,99,89,10,89.9,15412.0,7706.0,155.68,9.065,89.9,63.64,33.33,33.4,74.25,-324.0,-162.0,56.41,12.86,3.67
MAX_SL_75,1h_FVG,VERY_DEEP_75_100,191,12,179,6.28,-19168.5,-9584.25,-100.36,0.079,6.28,2.62,1.57,19.0,70.75,-424.5,-212.25,14.73,40.87,1.33
MAX_SL_75,30m_FVG,DEEP_50_75,40,24,16,60.0,1663.5,831.75,41.59,2.016,60.0,25.0,15.0,20.62,72.5,-249.0,-124.5,37.74,18.23,3.54
MAX_SL_75,30m_FVG,MID_25_50,59,42,17,71.19,3529.5,1764.75,59.82,2.887,71.19,30.51,10.17,23.34,66.75,-240.0,-120.0,41.87,20.53,1.76
MAX_SL_75,30m_FVG,SHALLOW_0_25,179,153,26,85.47,22960.5,11480.25,128.27,8.313,85.47,50.84,26.82,27.23,74.5,-303.0,-151.5,52.65,10.64,2.23
MAX_SL_75,30m_FVG,VERY_DEEP_75_100,422,19,403,4.5,-33534.0,-16767.0,-79.46,0.09,4.5,3.08,0.95,15.35,74.5,-447.0,-223.5,14.72,35.76,3.37
MAX_SL_75,4h_FVG,DEEP_50_75,8,6,2,75.0,341.5,170.75,42.69,1.953,75.0,25.0,12.5,30.28,55.25,-324.0,-162.0,40.47,26.22,3.83
MAX_SL_75,4h_FVG,MID_25_50,9,4,5,44.44,-368.5,-184.25,-40.94,0.352,44.44,0.0,0.0,29.25,57.75,-243.0,-121.5,26.22,23.14,1.25
MAX_SL_75,4h_FVG,SHALLOW_0_25,21,20,1,95.24,2501.5,1250.75,119.12,6.577,95.24,42.86,28.57,43.5,75.0,-448.5,-224.25,55.17,14.38,2.65
MAX_SL_75,4h_FVG,VERY_DEEP_75_100,32,4,28,12.5,-4469.5,-2234.75,-139.67,0.101,12.5,6.25,0.0,29.59,71.0,-421.5,-210.75,13.84,50.23,0.75
NO_MAX_SL,1h_FVG,DEEP_50_75,24,16,8,66.67,-881.0,-440.5,-36.71,0.683,66.67,25.0,8.33,44.12,316.0,-1896.0,-948.0,40.0,42.71,5.0
NO_MAX_SL,1h_FVG,MID_25_50,52,42,10,80.77,3353.0,1676.5,64.48,2.119,80.77,40.38,21.15,42.43,293.0,-1758.0,-879.0,47.02,27.66,2.74
NO_MAX_SL,1h_FVG,SHALLOW_0_25,135,123,12,91.11,20064.0,10032.0,148.62,6.133,91.11,63.7,35.56,61.97,417.25,-1132.5,-566.25,56.91,14.94,3.52
NO_MAX_SL,1h_FVG,VERY_DEEP_75_100,200,14,186,7.0,-22864.0,-11432.0,-114.32,0.086,7.0,3.5,2.0,22.47,119.25,-715.5,-357.75,15.22,43.98,2.0
NO_MAX_SL,30m_FVG,DEEP_50_75,44,27,17,61.36,421.5,210.75,9.58,1.127,61.36,27.27,13.64,30.86,282.0,-1692.0,-846.0,37.67,27.1,3.85
NO_MAX_SL,30m_FVG,MID_25_50,67,49,18,73.13,2654.5,1327.25,39.62,1.709,73.13,31.34,11.94,37.51,312.5,-1875.0,-937.5,42.38,27.23,2.53
NO_MAX_SL,30m_FVG,SHALLOW_0_25,220,192,28,87.27,28221.0,14110.5,128.28,6.905,87.27,53.64,25.91,48.03,445.5,-1090.5,-545.25,53.64,12.65,2.88
NO_MAX_SL,30m_FVG,VERY_DEEP_75_100,432,19,413,4.4,-41530.5,-20765.25,-96.14,0.074,4.4,3.01,0.93,18.08,336.75,-2020.5,-1010.25,14.38,38.47,3.37
NO_MAX_SL,4h_FVG,DEEP_50_75,13,8,5,61.54,-4789.0,-2394.5,-368.38,0.143,61.54,15.38,7.69,114.33,447.75,-2686.5,-1343.25,29.67,100.96,7.38
NO_MAX_SL,4h_FVG,MID_25_50,14,7,7,50.0,-1512.0,-756.0,-108.0,0.284,50.0,7.14,7.14,64.25,180.75,-1018.5,-509.25,30.36,48.3,1.71
NO_MAX_SL,4h_FVG,SHALLOW_0_25,48,43,5,89.58,2204.0,1102.0,45.92,1.48,89.58,43.75,31.25,118.07,636.5,-1698.0,-849.0,53.6,32.04,5.02
NO_MAX_SL,4h_FVG,VERY_DEEP_75_100,38,4,34,10.53,-8650.0,-4325.0,-227.63,0.055,10.53,5.26,0.0,43.26,223.5,-1341.0,-670.5,11.66,63.35,0.75
