variant,zone_type,zone_id,side,zone_time,zone_size,zone_size_bucket,trade_date,entry_time,exit_time,exit_reason,entry,stop_initial,initial_risk_points,touch_depth_pct,touch_depth_bucket,tp1_hit,tp2_hit,tp3_hit,tp1_time,tp2_time,tp3_time,minutes_to_tp1,minutes_to_tp2,minutes_to_tp3,gross_points_3_contracts,pnl_dollars,mfe_points,mae_points,win,loss,breakeven
MAX_SL_50,1h_FVG,69,LONG,2026-01-07T11:00:00.000000,48.75,35_50,2026-01-09,2026-01-09T10:52:00.000000,2026-01-09T10:52:00.000000,STOP,25960.0,25910.0,50.0,100.0,VERY_DEEP_75_100,false,false,false,,,,,,,-150.0,-300.0,0.0,55.0,false,true,false
MAX_SL_50,1h_FVG,715,LONG,2026-03-04T04:00:00.000000,46.0,35_50,2026-03-06,2026-03-06T08:30:00.000000,2026-03-06T08:30:00.000000,STOP,24734.25,24687.0,47.25,100.0,VERY_DEEP_75_100,false,false,false,,,,,,,-141.75,-283.5,0.0,68.0,false,true,false
MAX_SL_50,1h_FVG,908,SHORT,2026-03-20T13:00:00.000000,46.0,35_50,2026-03-26,2026-03-26T08:37:00.000000,2026-03-26T08:37:00.000000,STOP,24118.0,24165.25,47.25,100.0,VERY_DEEP_75_100,false,false,false,,,,,,,-141.75,-283.5,0.0,63.75,false,true,false
MAX_SL_50,1h_FVG,693,SHORT,2026-03-02T20:00:00.000000,45.75,35_50,2026-03-04,2026-03-04T08:30:00.000000,2026-03-04T08:30:00.000000,STOP,24879.25,24926.25,47.0,100.0,VERY_DEEP_75_100,false,false,false,,,,,,,-141.0,-282.0,42.0,76.25,false,true,false
MAX_SL_50,1h_FVG,546,LONG,2026-02-17T13:00:00.000000,43.25,35_50,2026-02-18,2026-02-18T08:30:00.000000,2026-02-18T08:30:00.000000,STOP,24807.75,24763.25,44.5,100.0,VERY_DEEP_75_100,false,false,false,,,,,,,-133.5,-267.0,15.75,55.75,false,true,false
MAX_SL_50,1h_FVG,362,SHORT,2026-01-29T20:00:00.000000,41.0,35_50,2026-01-30,2026-01-30T08:30:00.000000,2026-01-30T08:30:00.000000,STOP,25866.25,25908.5,42.25,100.0,VERY_DEEP_75_100,false,false,false,,,,,,,-126.75,-253.5,43.25,52.0,false,true,false
MAX_SL_50,1h_FVG,4,LONG,2026-01-01T20:00:00.000000,41.0,35_50,2026-01-02,2026-01-02T09:18:00.000000,2026-01-02T09:22:00.000000,STOP,25555.0,25512.75,42.25,5.49,SHALLOW_0_25,false,false,false,,,,,,,-126.75,-253.5,23.75,70.0,false,true,false
MAX_SL_50,1h_FVG,998,LONG,2026-03-29T21:00:00.000000,40.25,35_50,2026-03-30,2026-03-30T11:13:00.000000,2026-03-30T11:22:00.000000,STOP,23250.25,23208.75,41.5,14.29,SHALLOW_0_25,false,false,false,,,,,,,-124.5,-249.0,13.25,41.75,false,true,false
MAX_SL_50,1h_FVG,332,LONG,2026-01-28T01:00:00.000000,40.25,35_50,2026-01-28,2026-01-28T08:30:00.000000,2026-01-28T08:30:00.000000,STOP,26289.0,26247.5,41.5,100.0,VERY_DEEP_75_100,false,false,false,,,,,,,-124.5,-249.0,0.0,59.0,false,true,false
MAX_SL_50,1h_FVG,708,LONG,2026-03-03T11:00:00.000000,40.0,35_50,2026-03-09,2026-03-09T08:46:00.000000,2026-03-09T08:46:00.000000,STOP,24602.5,24561.25,41.25,100.0,VERY_DEEP_75_100,false,false,false,,,,,,,-123.75,-247.5,0.0,60.0,false,true,false
MAX_SL_50,30m_FVG,1038,LONG,2026-04-01T00:30:00.000000,48.25,35_50,2026-04-02,2026-04-02T08:35:00.000000,2026-04-02T08:35:00.000000,STOP,24112.75,24063.25,49.5,100.0,VERY_DEEP_75_100,false,false,false,,,,,,,-148.5,-297.0,0.0,98.25,false,true,false
MAX_SL_50,30m_FVG,557,LONG,2026-02-18T02:30:00.000000,48.0,35_50,2026-02-18,2026-02-18T08:41:00.000000,2026-02-18T08:41:00.000000,STOP,24890.0,24840.75,49.25,100.0,VERY_DEEP_75_100,false,false,false,,,,,,,-147.75,-295.5,0.0,90.0,false,true,false
MAX_SL_50,30m_FVG,114,SHORT,2026-01-12T02:30:00.000000,46.0,35_50,2026-01-14,2026-01-14T08:30:00.000000,2026-01-14T08:30:00.000000,STOP,25677.25,25724.5,47.25,100.0,VERY_DEEP_75_100,false,false,false,,,,,,,-141.75,-283.5,0.0,71.0,false,true,false
MAX_SL_50,30m_FVG,229,SHORT,2026-01-21T06:00:00.000000,45.0,35_50,2026-01-21,2026-01-21T08:40:00.000000,2026-01-21T08:40:00.000000,STOP,25089.25,25135.5,46.25,100.0,VERY_DEEP_75_100,false,false,false,,,,,,,-138.75,-277.5,0.0,100.5,false,true,false
MAX_SL_50,30m_FVG,187,SHORT,2026-01-16T09:30:00.000000,44.0,35_50,2026-01-16,2026-01-16T09:59:00.000000,2026-01-16T10:30:00.000000,STOP,25682.25,25727.5,45.25,0.0,SHALLOW_0_25,false,false,false,,,,,,,-135.75,-271.5,21.25,50.75,false,true,false
MAX_SL_50,30m_FVG,545,LONG,2026-02-17T13:00:00.000000,41.25,35_50,2026-02-18,2026-02-18T08:30:00.000000,2026-02-18T08:30:00.000000,STOP,24826.5,24784.0,42.5,100.0,VERY_DEEP_75_100,false,false,false,,,,,,,-127.5,-255.0,0.0,74.5,false,true,false
MAX_SL_50,30m_FVG,1358,SHORT,2026-04-27T06:30:00.000000,40.75,35_50,2026-04-30,2026-04-30T11:10:00.000000,2026-04-30T11:30:00.000000,STOP,27437.25,27479.25,42.0,13.5,SHALLOW_0_25,false,false,false,,,,,,,-126.0,-252.0,12.25,62.5,false,true,false
MAX_SL_50,30m_FVG,1050,SHORT,2026-04-01T12:00:00.000000,40.75,35_50,2026-04-06,2026-04-06T08:38:00.000000,2026-04-06T08:38:00.000000,STOP,24273.5,24315.5,42.0,100.0,VERY_DEEP_75_100,false,false,false,,,,,,,-126.0,-252.0,0.0,100.75,false,true,false
MAX_SL_50,30m_FVG,396,LONG,2026-02-02T17:30:00.000000,40.25,35_50,2026-02-03,2026-02-03T08:30:00.000000,2026-02-03T08:31:00.000000,STOP,25932.0,25890.5,41.5,68.94,DEEP_50_75,false,false,false,,,,,,,-124.5,-249.0,20.25,47.75,false,true,false
MAX_SL_50,30m_FVG,963,SHORT,2026-03-26T09:00:00.000000,39.0,35_50,2026-04-01,2026-04-01T08:33:00.000000,2026-04-01T08:33:00.000000,STOP,24129.75,24170.0,40.25,100.0,VERY_DEEP_75_100,false,false,false,,,,,,,-120.75,-241.5,0.0,68.25,false,true,false
MAX_SL_50,4h_FVG,455,LONG,2026-02-08T16:00:00.000000,45.0,35_50,2026-02-09,2026-02-09T08:39:00.000000,2026-02-09T08:39:00.000000,STOP,25153.75,25107.5,46.25,100.0,VERY_DEEP_75_100,false,false,false,,,,,,,-138.75,-277.5,0.0,86.0,false,true,false
MAX_SL_50,4h_FVG,154,SHORT,2026-01-14T12:00:00.000000,42.25,35_50,2026-01-16,2026-01-16T09:18:00.000000,2026-01-16T09:18:00.000000,STOP,25659.0,25702.5,43.5,100.0,VERY_DEEP_75_100,false,false,false,,,,,,,-130.5,-261.0,0.0,57.75,false,true,false
MAX_SL_50,4h_FVG,638,LONG,2026-02-25T08:00:00.000000,39.75,35_50,2026-02-26,2026-02-26T09:12:00.000000,2026-02-26T09:12:00.000000,STOP,25129.75,25088.75,41.0,100.0,VERY_DEEP_75_100,false,false,false,,,,,,,-123.0,-246.0,28.5,42.5,false,true,false
MAX_SL_50,4h_FVG,1368,SHORT,2026-04-28T00:00:00.000000,39.25,35_50,2026-04-30,2026-04-30T09:00:00.000000,2026-04-30T09:30:00.000000,STOP,27378.25,27418.75,40.5,29.3,MID_25_50,false,false,false,,,,,,,-121.5,-243.0,21.75,45.75,false,true,false
MAX_SL_50,4h_FVG,1225,LONG,2026-04-15T20:00:00.000000,39.0,35_50,2026-04-16,2026-04-16T08:35:00.000000,2026-04-16T08:35:00.000000,STOP,26416.5,26376.25,40.25,100.0,VERY_DEEP_75_100,false,false,false,,,,,,,-120.75,-241.5,0.0,50.75,false,true,false
MAX_SL_50,4h_FVG,865,LONG,2026-03-17T20:00:00.000000,36.5,35_50,2026-04-08,2026-04-08T08:30:00.000000,2026-04-08T08:30:00.000000,STOP,25094.25,25056.5,37.75,100.0,VERY_DEEP_75_100,false,false,false,,,,,,,-113.25,-226.5,0.0,54.25,false,true,false
MAX_SL_50,4h_FVG,56,LONG,2026-01-06T16:00:00.000000,26.0,20_35,2026-01-07,2026-01-07T08:30:00.000000,2026-01-07T08:30:00.000000,STOP,25811.5,25784.25,27.25,100.0,VERY_DEEP_75_100,false,false,false,,,,,,,-81.75,-163.5,0.0,35.0,false,true,false
MAX_SL_50,4h_FVG,130,SHORT,2026-01-12T20:00:00.000000,25.5,20_35,2026-01-13,2026-01-13T08:30:00.000000,2026-01-13T08:30:00.000000,STOP,25907.25,25934.0,26.75,100.0,VERY_DEEP_75_100,false,false,false,,,,,,,-80.25,-160.5,0.0,70.5,false,true,false
MAX_SL_50,4h_FVG,1123,LONG,2026-04-08T00:00:00.000000,24.75,20_35,2026-04-08,2026-04-08T10:03:00.000000,2026-04-08T10:03:00.000000,STOP,25134.25,25108.25,26.0,100.0,VERY_DEEP_75_100,false,false,false,,,,,,,-78.0,-156.0,0.0,32.5,false,true,false
MAX_SL_50,4h_FVG,651,LONG,2026-02-26T04:00:00.000000,21.75,20_35,2026-02-26,2026-02-26T08:30:00.000000,2026-02-26T08:30:00.000000,STOP,25345.25,25322.25,23.0,100.0,VERY_DEEP_75_100,false,false,false,,,,,,,-69.0,-138.0,0.0,60.25,false,true,false
MAX_SL_75,1h_FVG,682,SHORT,2026-03-02T01:00:00.000000,69.5,50_75,2026-03-02,2026-03-02T08:30:00.000000,2026-03-02T08:30:00.000000,STOP,24602.5,24673.25,70.75,100.0,VERY_DEEP_75_100,false,false,false,,,,,,,-212.25,-424.5,0.0,81.0,false,true,false
MAX_SL_75,1h_FVG,967,SHORT,2026-03-26T12:00:00.000000,69.25,50_75,2026-04-02,2026-04-02T08:30:00.000000,2026-04-02T08:31:00.000000,STOP,23900.75,23971.25,70.5,82.31,VERY_DEEP_75_100,false,false,false,,,,,,,-211.5,-423.0,0.0,75.5,false,true,false
MAX_SL_75,1h_FVG,855,LONG,2026-03-17T07:00:00.000000,69.25,50_75,2026-03-18,2026-03-18T08:33:00.000000,2026-03-18T08:33:00.000000,STOP,24929.5,24859.0,70.5,100.0,VERY_DEEP_75_100,false,false,false,,,,,,,-211.5,-423.0,0.0,84.5,false,true,false
MAX_SL_75,1h_FVG,933,LONG,2026-03-24T01:00:00.000000,66.25,50_75,2026-03-24,2026-03-24T08:52:00.000000,2026-03-24T08:52:00.000000,STOP,24371.25,24303.75,67.5,100.0,VERY_DEEP_75_100,false,false,false,,,,,,,-202.5,-405.0,0.0,87.0,false,true,false
MAX_SL_75,1h_FVG,836,SHORT,2026-03-13T01:00:00.000000,65.5,50_75,2026-03-13,2026-03-13T08:46:00.000000,2026-03-13T08:46:00.000000,STOP,24488.0,24554.75,66.75,100.0,VERY_DEEP_75_100,false,false,false,,,,,,,-200.25,-400.5,0.0,105.0,false,true,false
MAX_SL_75,1h_FVG,686,LONG,2026-03-02T09:00:00.000000,62.75,50_75,2026-03-06,2026-03-06T08:51:00.000000,2026-03-06T08:51:00.000000,STOP,24802.0,24738.0,64.0,100.0,VERY_DEEP_75_100,false,false,false,,,,,,,-192.0,-384.0,0.0,109.75,false,true,false
MAX_SL_75,1h_FVG,938,LONG,2026-03-24T16:00:00.000000,61.0,50_75,2026-03-25,2026-03-25T09:16:00.000000,2026-03-25T09:16:00.000000,STOP,24380.75,24318.5,62.25,100.0,VERY_DEEP_75_100,false,false,false,,,,,,,-186.75,-373.5,8.25,71.75,false,true,false
MAX_SL_75,1h_FVG,1347,LONG,2026-04-26T19:00:00.000000,58.0,50_75,2026-04-27,2026-04-27T08:36:00.000000,2026-04-27T08:36:00.000000,STOP,27456.0,27396.75,59.25,100.0,VERY_DEEP_75_100,false,false,false,,,,,,,-177.75,-355.5,0.0,74.75,false,true,false
