zone_id,zone_type,zone_family,side,zone_time,trade_date,entry_time,exit_time,exit_reason,zone_low,zone_high,zone_mid,zone_size,entry,stop_initial,tp1,tp2,tp3,final_exit_price,initial_risk_points,initial_risk_dollars,tp1_hit,tp2_hit,tp3_hit,tp1_time,tp2_time,tp3_time,gross_points_3_contracts,pnl_dollars,mfe_points_from_entry,mae_points_from_entry,r_multiple,win,loss,breakeven
110,4h_FVG,FVG,SHORT,2026-01-11T20:00:00.000000,2026-01-12,2026-01-12T08:30:00.000000,2026-01-12T08:31:00.000000,STOP,25778.25,25882.0,25830.12,103.75,25778.25,25883.25,25753.25,25728.25,25703.25,25778.25,105.0,630.0,true,false,false,2026-01-12T08:30:00.000000,,,25.0,50.0,34.75,54.5,0.0794,true,false,false
151,4h_FVG,FVG,SHORT,2026-01-14T08:00:00.000000,2026-01-14,2026-01-14T08:35:00.000000,2026-01-14T08:36:00.000000,TP3,25790.25,25835.5,25812.88,45.25,25790.25,25836.75,25765.25,25740.25,25715.25,25715.25,46.5,279.0,true,true,true,2026-01-14T08:35:00.000000,2026-01-14T08:36:00.000000,2026-01-14T08:36:00.000000,150.0,300.0,91.75,0.0,1.0753,true,false,false
349,4h_FVG,FVG,SHORT,2026-01-29T08:00:00.000000,2026-04-15,2026-04-15T09:22:00.000000,2026-04-15T09:41:00.000000,STOP,26196.75,26210.0,26203.38,13.25,26196.75,26211.25,26171.75,26146.75,26121.75,26196.75,14.5,87.0,true,false,false,2026-04-15T09:32:00.000000,,,25.0,50.0,29.75,5.25,0.5747,true,false,false
435,4h_FVG,FVG,SHORT,2026-02-05T08:00:00.000000,2026-02-05,2026-02-05T08:50:00.000000,2026-02-05T08:51:00.000000,STOP,24960.75,24978.75,24969.75,18.0,24960.75,24980.0,24935.75,24910.75,24885.75,24935.75,19.25,115.5,true,true,false,2026-02-05T08:50:00.000000,2026-02-05T08:50:00.000000,,100.0,200.0,87.25,0.0,1.7316,true,false,false
720,4h_FVG,FVG,LONG,2026-03-04T08:00:00.000000,2026-03-04,2026-03-04T08:45:00.000000,2026-03-04T08:47:00.000000,TP3,24771.25,24826.0,24798.62,54.75,24826.0,24770.0,24851.0,24876.0,24901.0,24901.0,56.0,336.0,true,true,true,2026-03-04T08:46:00.000000,2026-03-04T08:46:00.000000,2026-03-04T08:47:00.000000,150.0,300.0,93.5,0.0,0.8929,true,false,false
781,4h_FVG,FVG,LONG,2026-03-09T12:00:00.000000,2026-03-12,2026-03-12T08:32:00.000000,2026-03-12T08:46:00.000000,TP3,24525.25,24609.0,24567.12,83.75,24609.0,24524.0,24634.0,24659.0,24684.0,24684.0,85.0,510.0,true,true,true,2026-03-12T08:44:00.000000,2026-03-12T08:46:00.000000,2026-03-12T08:46:00.000000,150.0,300.0,111.0,36.5,0.5882,true,false,false
858,4h_FVG,FVG,LONG,2026-03-17T08:00:00.000000,2026-03-17,2026-03-17T10:07:00.000000,2026-03-17T10:24:00.000000,TP3,24850.0,24946.25,24898.12,96.25,24946.25,24848.75,24971.25,24996.25,25021.25,25021.25,97.5,585.0,true,true,true,2026-03-17T10:08:00.000000,2026-03-17T10:11:00.000000,2026-03-17T10:24:00.000000,150.0,300.0,80.0,0.0,0.5128,true,false,false
902,4h_FVG,FVG,SHORT,2026-03-20T08:00:00.000000,2026-03-20,2026-03-20T10:20:00.000000,2026-03-20T10:31:00.000000,TP3,24356.75,24408.5,24382.62,51.75,24356.75,24409.75,24331.75,24306.75,24281.75,24281.75,53.0,318.0,true,true,true,2026-03-20T10:22:00.000000,2026-03-20T10:26:00.000000,2026-03-20T10:31:00.000000,150.0,300.0,94.25,0.0,0.9434,true,false,false
921,4h_FVG,FVG,LONG,2026-03-23T08:00:00.000000,2026-03-23,2026-03-23T10:29:00.000000,2026-03-23T10:30:00.000000,STOP,23975.75,24308.5,24142.12,332.75,24308.5,23974.5,24333.5,24358.5,24383.5,24333.5,334.0,2004.0,true,true,false,2026-03-23T10:29:00.000000,2026-03-23T10:29:00.000000,,100.0,200.0,53.5,0.0,0.0998,true,false,false
986,4h_FVG,FVG,SHORT,2026-03-27T08:00:00.000000,2026-03-27,2026-03-27T09:37:00.000000,2026-03-27T09:40:00.000000,TP3,23610.5,23710.0,23660.25,99.5,23610.5,23711.25,23585.5,23560.5,23535.5,23535.5,100.75,604.5,true,true,true,2026-03-27T09:37:00.000000,2026-03-27T09:39:00.000000,2026-03-27T09:40:00.000000,150.0,300.0,78.5,0.0,0.4963,true,false,false
1426,4h_FVG,FVG,LONG,2026-05-01T08:00:00.000000,2026-05-01,2026-05-01T08:37:00.000000,2026-05-01T08:43:00.000000,TP3,27628.5,27751.0,27689.75,122.5,27751.0,27627.25,27776.0,27801.0,27826.0,27826.0,123.75,742.5,true,true,true,2026-05-01T08:37:00.000000,2026-05-01T08:39:00.000000,2026-05-01T08:43:00.000000,150.0,300.0,78.0,0.0,0.404,true,false,false
