conditions,trades,winrate,profit_factor,avg_trade,net_points,max_drawdown,sharpe,expectancy_score
low_volatility & large_premarket,173,0.4971,18.9651,149.54,25869.75,120.0,5.83,4906.23
low_volatility,189,0.4921,17.3898,140.48,26551.5,140.0,5.67,4617.26
large_premarket,358,0.3659,10.4161,101.0,36157.75,241.5,4.51,3766.22
low_volatility & large_prior_day,78,0.5128,24.2093,184.48,14389.75,100.0,6.33,3483.65
low_volatility & large_premarket & large_prior_day,75,0.52,24.8388,184.35,13826.5,100.0,6.25,3434.34
low_volatility & large_premarket & below_vwap,124,0.4919,17.05,137.2,17013.0,120.0,6.52,2900.72
low_volatility & below_vwap,139,0.4892,15.5203,127.44,17714.75,140.0,6.31,2749.38
large_premarket & below_vwap,258,0.3721,10.1457,95.71,24693.5,360.0,5.05,2505.34
below_vwap,344,0.375,8.6771,82.57,28405.25,600.0,4.87,2464.75
compressed & large_premarket & below_vwap,132,0.4015,13.4155,124.16,16388.5,420.0,5.45,2198.6
compressed & below_vwap,181,0.4088,11.2931,105.77,19145.25,460.0,5.24,2162.1
compressed & large_premarket,166,0.4096,11.6461,106.46,17672.5,300.0,5.12,2058.15
compressed,222,0.4144,9.9792,92.22,20472.5,320.0,4.95,2042.98
expanded & low_volatility & large_premarket,27,0.4815,27.4708,235.3,6353.0,40.0,6.85,1745.22
large_premarket & large_prior_day,179,0.3408,9.8471,97.86,17517.25,300.0,4.19,1724.94
large_prior_day,217,0.318,8.3406,87.28,18938.75,440.0,4.02,1579.61
bull_trend & low_volatility & large_premarket,75,0.4933,16.7224,121.59,9119.0,100.0,6.57,1524.92
expanded & low_volatility,29,0.4483,23.5464,217.69,6313.0,80.0,6.52,1486.49
compressed & low_volatility,104,0.5096,12.9936,103.79,10794.25,220.0,5.3,1402.56
compressed & low_volatility & below_vwap,84,0.4881,13.9783,117.42,9863.5,240.0,5.56,1378.75
bull_trend & low_volatility,78,0.4744,15.1547,116.14,9059.0,100.0,6.37,1372.86
compressed & low_volatility & large_premarket,92,0.5,13.5406,109.05,10032.5,200.0,5.34,1358.46
compressed & low_volatility & large_premarket & below_vwap,72,0.4722,14.7905,126.41,9101.75,220.0,5.66,1346.2
expanded & large_premarket & large_prior_day,46,0.3261,15.6527,178.38,8205.5,200.0,5.1,1284.38
