sim,net_points,max_dd,max_losing_streak
1,773.53,0.0,0
2,773.53,0.0,0
3,773.53,0.0,0
4,773.53,0.0,0
5,773.53,0.0,0
6,773.53,0.0,0
7,773.53,0.0,0
8,773.53,0.0,0
9,773.53,0.0,0
10,773.53,0.0,0
11,773.53,0.0,0
12,773.53,0.0,0
13,773.53,0.0,0
14,773.53,0.0,0
15,773.53,0.0,0
16,773.53,0.0,0
17,773.53,0.0,0
18,773.53,0.0,0
19,773.53,0.0,0
20,773.53,0.0,0
21,773.53,0.0,0
22,773.53,0.0,0
23,773.53,0.0,0
24,773.53,0.0,0
25,773.53,0.0,0
26,773.53,0.0,0
27,773.53,0.0,0
28,773.53,0.0,0
29,773.53,0.0,0
30,773.53,0.0,0
31,773.53,0.0,0
32,773.53,0.0,0
33,773.53,0.0,0
34,773.53,0.0,0
35,773.53,0.0,0
36,773.53,0.0,0
37,773.53,0.0,0
38,773.53,0.0,0
39,773.53,0.0,0
40,773.53,0.0,0
41,773.53,0.0,0
42,773.53,0.0,0
43,773.53,0.0,0
44,773.53,0.0,0
45,773.53,0.0,0
46,773.53,0.0,0
47,773.53,0.0,0
48,773.53,0.0,0
49,773.53,0.0,0
50,773.53,0.0,0
51,773.53,0.0,0
52,773.53,0.0,0
53,773.53,0.0,0
54,773.53,0.0,0
55,773.53,0.0,0
56,773.53,0.0,0
57,773.53,0.0,0
58,773.53,0.0,0
59,773.53,0.0,0
60,773.53,0.0,0
61,773.53,0.0,0
62,773.53,0.0,0
63,773.53,0.0,0
64,773.53,0.0,0
65,773.53,0.0,0
66,773.53,0.0,0
67,773.53,0.0,0
68,773.53,0.0,0
69,773.53,0.0,0
70,773.53,0.0,0
71,773.53,0.0,0
72,773.53,0.0,0
73,773.53,0.0,0
74,773.53,0.0,0
75,773.53,0.0,0
76,773.53,0.0,0
77,773.53,0.0,0
78,773.53,0.0,0
79,773.53,0.0,0
80,773.53,0.0,0
81,773.53,0.0,0
82,773.53,0.0,0
83,773.53,0.0,0
84,773.53,0.0,0
85,773.53,0.0,0
86,773.53,0.0,0
87,773.53,0.0,0
88,773.53,0.0,0
89,773.53,0.0,0
90,773.53,0.0,0
91,773.53,0.0,0
92,773.53,0.0,0
93,773.53,0.0,0
94,773.53,0.0,0
95,773.53,0.0,0
96,773.53,0.0,0
97,773.53,0.0,0
98,773.53,0.0,0
99,773.53,0.0,0
100,773.53,0.0,0
101,773.53,0.0,0
102,773.53,0.0,0
103,773.53,0.0,0
104,773.53,0.0,0
105,773.53,0.0,0
106,773.53,0.0,0
107,773.53,0.0,0
108,773.53,0.0,0
109,773.53,0.0,0
110,773.53,0.0,0
111,773.53,0.0,0
112,773.53,0.0,0
113,773.53,0.0,0
114,773.53,0.0,0
115,773.53,0.0,0
116,773.53,0.0,0
117,773.53,0.0,0
118,773.53,0.0,0
119,773.53,0.0,0
120,773.53,0.0,0
121,773.53,0.0,0
122,773.53,0.0,0
123,773.53,0.0,0
124,773.53,0.0,0
125,773.53,0.0,0
126,773.53,0.0,0
127,773.53,0.0,0
128,773.53,0.0,0
129,773.53,0.0,0
130,773.53,0.0,0
131,773.53,0.0,0
132,773.53,0.0,0
133,773.53,0.0,0
134,773.53,0.0,0
135,773.53,0.0,0
136,773.53,0.0,0
137,773.53,0.0,0
138,773.53,0.0,0
139,773.53,0.0,0
140,773.53,0.0,0
141,773.53,0.0,0
142,773.53,0.0,0
143,773.53,0.0,0
144,773.53,0.0,0
145,773.53,0.0,0
146,773.53,0.0,0
147,773.53,0.0,0
148,773.53,0.0,0
149,773.53,0.0,0
150,773.53,0.0,0
151,773.53,0.0,0
152,773.53,0.0,0
153,773.53,0.0,0
154,773.53,0.0,0
155,773.53,0.0,0
156,773.53,0.0,0
157,773.53,0.0,0
158,773.53,0.0,0
159,773.53,0.0,0
160,773.53,0.0,0
161,773.53,0.0,0
162,773.53,0.0,0
163,773.53,0.0,0
164,773.53,0.0,0
165,773.53,0.0,0
166,773.53,0.0,0
167,773.53,0.0,0
168,773.53,0.0,0
169,773.53,0.0,0
170,773.53,0.0,0
171,773.53,0.0,0
172,773.53,0.0,0
173,773.53,0.0,0
174,773.53,0.0,0
175,773.53,0.0,0
176,773.53,0.0,0
177,773.53,0.0,0
178,773.53,0.0,0
179,773.53,0.0,0
180,773.53,0.0,0
181,773.53,0.0,0
182,773.53,0.0,0
183,773.53,0.0,0
184,773.53,0.0,0
185,773.53,0.0,0
186,773.53,0.0,0
187,773.53,0.0,0
188,773.53,0.0,0
189,773.53,0.0,0
190,773.53,0.0,0
191,773.53,0.0,0
192,773.53,0.0,0
193,773.53,0.0,0
194,773.53,0.0,0
195,773.53,0.0,0
196,773.53,0.0,0
197,773.53,0.0,0
198,773.53,0.0,0
199,773.53,0.0,0
200,773.53,0.0,0
201,773.53,0.0,0
202,773.53,0.0,0
203,773.53,0.0,0
204,773.53,0.0,0
205,773.53,0.0,0
206,773.53,0.0,0
207,773.53,0.0,0
208,773.53,0.0,0
209,773.53,0.0,0
210,773.53,0.0,0
211,773.53,0.0,0
212,773.53,0.0,0
213,773.53,0.0,0
214,773.53,0.0,0
215,773.53,0.0,0
216,773.53,0.0,0
217,773.53,0.0,0
218,773.53,0.0,0
219,773.53,0.0,0
220,773.53,0.0,0
221,773.53,0.0,0
222,773.53,0.0,0
223,773.53,0.0,0
224,773.53,0.0,0
225,773.53,0.0,0
226,773.53,0.0,0
227,773.53,0.0,0
228,773.53,0.0,0
229,773.53,0.0,0
230,773.53,0.0,0
231,773.53,0.0,0
232,773.53,0.0,0
233,773.53,0.0,0
234,773.53,0.0,0
235,773.53,0.0,0
236,773.53,0.0,0
237,773.53,0.0,0
238,773.53,0.0,0
239,773.53,0.0,0
240,773.53,0.0,0
241,773.53,0.0,0
242,773.53,0.0,0
243,773.53,0.0,0
244,773.53,0.0,0
245,773.53,0.0,0
246,773.53,0.0,0
247,773.53,0.0,0
248,773.53,0.0,0
249,773.53,0.0,0
250,773.53,0.0,0
251,773.53,0.0,0
252,773.53,0.0,0
253,773.53,0.0,0
254,773.53,0.0,0
255,773.53,0.0,0
256,773.53,0.0,0
257,773.53,0.0,0
258,773.53,0.0,0
259,773.53,0.0,0
260,773.53,0.0,0
261,773.53,0.0,0
262,773.53,0.0,0
263,773.53,0.0,0
264,773.53,0.0,0
265,773.53,0.0,0
266,773.53,0.0,0
267,773.53,0.0,0
268,773.53,0.0,0
269,773.53,0.0,0
270,773.53,0.0,0
271,773.53,0.0,0
272,773.53,0.0,0
273,773.53,0.0,0
274,773.53,0.0,0
275,773.53,0.0,0
276,773.53,0.0,0
277,773.53,0.0,0
278,773.53,0.0,0
279,773.53,0.0,0
280,773.53,0.0,0
281,773.53,0.0,0
282,773.53,0.0,0
283,773.53,0.0,0
284,773.53,0.0,0
285,773.53,0.0,0
286,773.53,0.0,0
287,773.53,0.0,0
288,773.53,0.0,0
289,773.53,0.0,0
290,773.53,0.0,0
291,773.53,0.0,0
292,773.53,0.0,0
293,773.53,0.0,0
294,773.53,0.0,0
295,773.53,0.0,0
296,773.53,0.0,0
297,773.53,0.0,0
298,773.53,0.0,0
299,773.53,0.0,0
300,773.53,0.0,0
301,773.53,0.0,0
302,773.53,0.0,0
303,773.53,0.0,0
304,773.53,0.0,0
305,773.53,0.0,0
306,773.53,0.0,0
307,773.53,0.0,0
308,773.53,0.0,0
309,773.53,0.0,0
310,773.53,0.0,0
311,773.53,0.0,0
312,773.53,0.0,0
313,773.53,0.0,0
314,773.53,0.0,0
315,773.53,0.0,0
316,773.53,0.0,0
317,773.53,0.0,0
318,773.53,0.0,0
319,773.53,0.0,0
320,773.53,0.0,0
321,773.53,0.0,0
322,773.53,0.0,0
323,773.53,0.0,0
324,773.53,0.0,0
325,773.53,0.0,0
326,773.53,0.0,0
327,773.53,0.0,0
328,773.53,0.0,0
329,773.53,0.0,0
330,773.53,0.0,0
331,773.53,0.0,0
332,773.53,0.0,0
333,773.53,0.0,0
