month,trades,wins,losses,net_points,avg_trade,winrate
2019-08,1,1,0,22.12,22.12,100.0
2020-03,2,2,0,39.63,19.81,100.0
2020-11,1,1,0,22.5,22.5,100.0
2020-12,1,1,0,19.88,19.88,100.0
2021-01,1,1,0,37.88,37.88,100.0
2021-02,1,1,0,27.62,27.62,100.0
2021-11,1,1,0,16.88,16.88,100.0
2021-12,2,2,0,38.38,19.19,100.0
2022-02,2,2,0,41.38,20.69,100.0
2022-03,1,1,0,24.25,24.25,100.0
2022-09,1,1,0,19.0,19.0,100.0
2023-02,1,1,0,23.5,23.5,100.0
2024-02,1,1,0,17.5,17.5,100.0
2024-08,1,1,0,16.5,16.5,100.0
2024-09,1,1,0,19.75,19.75,100.0
2024-11,1,1,0,16.62,16.62,100.0
2025-01,3,3,0,61.88,20.63,100.0
2025-02,2,2,0,40.88,20.44,100.0
2025-04,1,1,0,17.5,17.5,100.0
2025-05,1,1,0,28.5,28.5,100.0
2025-06,1,1,0,26.5,26.5,100.0
2025-11,2,2,0,42.13,21.06,100.0
2025-12,2,2,0,62.12,31.06,100.0
2026-01,1,1,0,22.62,22.62,100.0
2026-02,3,3,0,68.01,22.67,100.0
