model,trades,wins,losses,winrate,net_points,avg_trade,profit_factor,max_dd,max_losing_streak,first_trade,last_trade
lower_wick_gt_q25,35,35,0,100.0,773.53,22.1,,0.0,0,2019-08-29 08:38:00,2026-02-18 08:35:00
body_pct_lt_q50,24,24,0,100.0,543.77,22.66,,0.0,0,2020-03-04 08:38:00,2026-02-18 08:35:00
range_exp_gt_q50,23,23,0,100.0,510.65,22.2,,0.0,0,2019-08-29 08:38:00,2026-02-18 08:35:00
body_and_wick,22,22,0,100.0,501.89,22.81,,0.0,0,2020-03-04 08:38:00,2026-02-18 08:35:00
institutional_v1,22,22,0,100.0,505.51,22.98,,0.0,0,2020-03-04 08:38:00,2026-02-18 08:35:00
institutional_v3_vwap,22,22,0,100.0,517.89,23.54,,0.0,0,2020-11-09 08:35:00,2026-02-18 08:35:00
wick_and_range,19,19,0,100.0,433.77,22.83,,0.0,0,2019-08-29 08:38:00,2026-02-18 08:35:00
institutional_v4_sweep,15,15,0,100.0,334.37,22.29,,0.0,0,2020-03-04 08:38:00,2026-02-10 10:10:00
institutional_v2_strict,13,13,0,100.0,311.64,23.97,,0.0,0,2020-03-04 08:38:00,2026-02-18 08:35:00
deep_below_vwap_q25,12,12,0,100.0,295.76,24.65,,0.0,0,2020-03-20 10:10:00,2026-03-18 10:36:00
rel_vol_gt_q50,23,22,1,95.65,489.44,21.28,51.51,-9.69,1,2019-08-29 08:38:00,2026-03-18 10:36:00
base_combo_8_10,48,44,4,91.67,920.15,19.17,26.82,-18.07,2,2019-08-29 08:38:00,2026-03-18 10:36:00
