signal_id,ts,open,high,low,close,volume,trade_date,year,hour,minute,bias15,ema200,prev_close,prev_volume,vwap,in_orb,after_orb,orb_high,orb_low,orb_break_up_bar,orb_break_down_bar,orb_broke_up,orb_broke_down,range,body_signed,body_abs,body_pct,bear_move,bull_move,vol_spike,long_signal,short_signal,direction,side,long_entry_382,long_entry_50,short_entry_382,short_entry_50,entry_382,entry_50,stop,risk_382,risk_50
5,2018-12-19T14:00:00.000000,6397.5,6398.75,6327.5,6329.0,18221.0,2018-12-19,2018,14,0,-1,6531.615292000761,6397.5,16921.0,6518.03042026268,false,true,6541.5,6493.0,false,true,true,true,71.25,-68.5,68.5,96.14035087719299,68.5,-68.5,true,false,true,-1,SHORT,6354.7175,6363.125,6371.5325,6363.125,6371.5325,6363.125,6398.75,27.217499999999745,35.625
6,2019-05-06T14:55:00.000000,7808.75,7809.5,7739.0,7739.0,2549.0,2019-05-06,2019,14,55,-1,7753.536002477784,7809.0,231.0,7756.098312278509,false,true,7764.25,7750.5,false,true,true,true,70.5,-69.75,69.75,98.93617021276596,69.75,-69.75,true,false,true,-1,SHORT,7765.931,7774.25,7782.569,7774.25,7782.569,7774.25,7809.5,26.930999999999585,35.25
8,2020-03-02T10:10:00.000000,8566.75,8641.0,8565.25,8636.25,15367.0,2020-03-02,2020,10,10,1,8478.506862949485,8567.0,10966.0,8521.488631844777,false,true,8596.0,8485.0,true,false,true,true,75.75,69.5,69.5,91.74917491749174,-69.5,69.5,true,true,false,1,LONG,8594.1865,8603.125,8612.0635,8603.125,8594.1865,8603.125,8565.25,28.936499999999796,37.875
9,2020-03-02T14:50:00.000000,8780.0,8854.25,8780.0,8852.25,19619.0,2020-03-02,2020,14,50,1,8566.849138651125,8780.25,12716.0,8590.652778598795,false,true,8596.0,8485.0,true,false,true,true,74.25,72.25,72.25,97.3063973063973,-72.25,72.25,true,true,false,1,LONG,8808.3635,8817.125,8825.8865,8817.125,8808.3635,8817.125,8780.0,28.363499999999476,37.125
11,2020-03-03T12:40:00.000000,8686.5,8689.5,8618.25,8620.0,11065.0,2020-03-03,2020,12,40,-1,8801.977688485425,8687.25,8700.0,8830.240289023835,false,true,8904.0,8801.5,false,true,true,true,71.25,-66.5,66.5,93.33333333333333,66.5,-66.5,true,false,true,-1,SHORT,8645.4675,8653.875,8662.2825,8653.875,8662.2825,8653.875,8689.5,27.217500000000655,35.625
16,2020-03-13T08:55:00.000000,7515.25,7522.25,7443.75,7445.5,5671.0,2020-03-13,2020,8,55,-1,7455.837115306927,7513.5,3785.0,7526.94338078313,false,true,7601.75,7500.75,false,true,false,true,78.5,-69.75,69.75,88.85350318471338,69.75,-69.75,true,false,true,-1,SHORT,7473.737,7483.0,7492.263,7483.0,7492.263,7483.0,7522.25,29.98700000000008,39.25
21,2020-03-17T09:05:00.000000,7231.75,7305.5,7229.0,7304.0,9562.0,2020-03-17,2020,9,5,1,7211.897513439554,7232.5,8603.0,7132.44677921177,false,true,7187.75,7106.0,true,false,true,false,76.5,72.25,72.25,94.44444444444444,-72.25,72.25,true,true,false,1,LONG,7258.223,7267.25,7276.277,7267.25,7258.223,7267.25,7229.0,29.222999999999956,38.25
22,2020-03-17T10:05:00.000000,7432.75,7508.75,7430.75,7505.0,7255.0,2020-03-17,2020,10,5,1,7229.718687274226,7430.75,4120.0,7191.28088965979,false,true,7187.75,7106.0,true,false,true,false,78.0,72.25,72.25,92.62820512820514,-72.25,72.25,true,true,false,1,LONG,7460.546,7469.75,7478.954,7469.75,7460.546,7469.75,7430.75,29.796000000000276,39.0
31,2020-03-27T13:50:00.000000,7643.5,7643.5,7563.75,7564.75,11743.0,2020-03-27,2020,13,50,-1,7679.323251656195,7643.0,7170.0,7661.636915449033,false,true,7625.25,7585.75,false,true,true,true,79.75,-78.75,78.75,98.7460815047022,78.75,-78.75,true,false,true,-1,SHORT,7594.2145,7603.625,7613.0355,7603.625,7613.0355,7603.625,7643.5,30.464500000000044,39.875
35,2020-07-13T13:00:00.000000,10870.5,10874.0,10804.5,10805.5,11380.0,2020-07-13,2020,13,0,-1,10921.176147544573,10870.5,6823.0,10945.107445563568,false,true,11014.25,10975.5,false,true,true,true,69.5,-65.0,65.0,93.5251798561151,65.0,-65.0,true,false,true,-1,SHORT,10831.049,10839.25,10847.451,10839.25,10847.451,10839.25,10874.0,26.549000000000888,34.75
39,2020-07-30T14:30:00.000000,10812.0,10886.25,10812.0,10885.0,5988.0,2020-07-30,2020,14,30,1,10644.72787325619,10793.5,5348.0,10633.929307605793,false,true,10599.0,10550.75,true,false,true,false,74.25,73.0,73.0,98.31649831649831,-73.0,73.0,true,true,false,1,LONG,10840.3635,10849.125,10857.8865,10849.125,10840.3635,10849.125,10812.0,28.363499999999476,37.125
45,2020-10-20T13:05:00.000000,11754.0,11756.75,11677.75,11683.25,10341.0,2020-10-20,2020,13,5,-1,11719.148728428876,11754.25,4435.0,11696.938340406004,false,true,11708.0,11655.25,false,false,true,true,79.0,-70.75,70.75,89.55696202531645,70.75,-70.75,true,false,true,-1,SHORT,11707.928,11717.25,11726.572,11717.25,11726.572,11717.25,11756.75,30.177999999999884,39.5
49,2021-02-23T11:35:00.000000,12994.75,12995.0,12924.75,12929.25,8837.0,2021-02-23,2021,11,35,-1,13114.789936676974,12995.25,5521.0,12991.780250867101,false,true,13016.25,12824.5,false,false,true,true,70.25,-65.5,65.5,93.23843416370107,65.5,-65.5,true,false,true,-1,SHORT,12951.5855,12959.875,12968.1645,12959.875,12968.1645,12959.875,12995.0,26.83549999999923,35.125
50,2021-03-03T09:10:00.000000,12915.75,12919.75,12841.0,12842.25,13351.0,2021-03-03,2021,9,10,-1,13111.95857064427,12916.0,9812.0,13014.329401674679,false,true,13052.0,12929.25,false,true,false,true,78.75,-73.5,73.5,93.33333333333333,73.5,-73.5,true,false,true,-1,SHORT,12871.0825,12880.375,12889.6675,12880.375,12889.6675,12880.375,12919.75,30.082500000000437,39.375
61,2021-11-15T10:40:00.000000,16174.75,16178.25,16099.5,16105.0,14746.0,2021-11-15,2021,10,40,-1,16207.323472462289,16175.0,6486.0,16197.393649830015,false,true,16254.25,16211.5,false,true,false,true,78.75,-69.75,69.75,88.57142857142857,69.75,-69.75,true,false,true,-1,SHORT,16129.5825,16138.875,16148.1675,16138.875,16148.1675,16138.875,16178.25,30.082500000000437,39.375
62,2021-11-22T14:50:00.000000,16479.0,16479.0,16407.0,16411.5,18424.0,2021-11-22,2021,14,50,-1,16596.302603540422,16479.25,9376.0,16597.517894673525,false,true,16711.5,16638.25,false,true,true,true,72.0,-67.5,67.5,93.75,67.5,-67.5,true,false,true,-1,SHORT,16434.504,16443.0,16451.496,16443.0,16451.496,16443.0,16479.0,27.504000000000815,36.0
70,2021-12-17T09:45:00.000000,15811.75,15881.75,15807.0,15881.5,13029.0,2021-12-17,2021,9,45,1,15813.421904810055,15811.0,9725.0,15750.342517233938,false,true,15791.25,15657.0,true,false,true,false,74.75,69.75,69.75,93.31103678929766,-69.75,69.75,true,true,false,1,LONG,15835.5545,15844.375,15853.1955,15844.375,15835.5545,15844.375,15807.0,28.55450000000019,37.375
78,2022-01-19T10:10:00.000000,15195.75,15195.75,15128.25,15129.5,11583.0,2022-01-19,2022,10,10,-1,15229.81504232432,15196.0,6507.0,15254.260057980397,false,true,15339.5,15251.25,false,true,true,true,67.5,-66.25,66.25,98.14814814814815,66.25,-66.25,true,false,true,-1,SHORT,15154.035,15162.0,15169.965,15162.0,15169.965,15162.0,15195.75,25.784999999999854,33.75
94,2022-01-28T10:55:00.000000,14223.75,14297.25,14223.75,14288.75,8795.0,2022-01-28,2022,10,55,1,14062.356812347432,14224.0,4982.0,14030.24987651362,false,true,14102.25,13892.75,true,false,true,false,73.5,65.0,65.0,88.43537414965986,-65.0,65.0,true,true,false,1,LONG,14251.827,14260.5,14269.173,14260.5,14251.827,14260.5,14223.75,28.076999999999316,36.75
97,2022-02-07T08:50:00.000000,14733.5,14802.5,14732.5,14800.0,11016.0,2022-02-07,2022,8,50,1,14685.956304880568,14733.75,9725.0,14712.400289376508,false,true,14782.75,14670.0,true,false,true,false,70.0,66.5,66.5,95.0,-66.5,66.5,true,true,false,1,LONG,14759.24,14767.5,14775.76,14767.5,14759.24,14767.5,14732.5,26.73999999999978,35.0
