fib_entry,target_r,side,trades,wins,losses,win_rate,net_points,avg_points,gross_wins,gross_losses,avg_risk,avg_mfe,avg_mae,profit_factor
fib382,1.0,LONG,22,15,7,68.18,239.7,10.9,440.16,200.45,29.12,46.21,-24.76,2.2
fib382,1.0,SHORT,30,21,9,70.0,334.11,11.14,566.03,231.91,28.45,42.04,-19.97,2.44
fib382,1.5,LONG,22,12,10,54.55,241.09,10.96,529.02,287.93,29.12,49.3,-26.69,1.84
fib382,1.5,SHORT,30,18,12,60.0,393.66,13.12,709.04,315.38,28.45,45.32,-25.64,2.25
fib382,2.0,LONG,22,9,13,40.91,137.2,6.24,509.37,372.16,29.12,56.17,-31.46,1.37
fib382,2.0,SHORT,30,16,14,53.33,359.05,11.97,731.73,372.68,28.45,51.09,-27.06,1.96
fib50,1.0,LONG,23,18,5,78.26,507.12,22.05,692.38,185.25,38.16,52.52,-20.64,3.74
fib50,1.0,SHORT,30,23,7,76.67,567.88,18.93,832.38,264.5,37.24,48.17,-21.93,3.15
fib50,1.5,LONG,23,13,10,56.52,351.31,15.27,723.06,371.75,38.16,60.93,-31.35,1.95
fib50,1.5,SHORT,30,17,13,56.67,370.44,12.35,818.56,448.12,37.24,56.38,-31.31,1.83
fib50,2.0,LONG,23,10,13,43.48,157.62,6.85,648.25,490.62,38.16,69.18,-35.35,1.32
fib50,2.0,SHORT,30,15,15,50.0,284.12,9.47,806.88,522.75,37.24,57.53,-35.68,1.54
