year,fib_entry,target_r,side,trades,wins,losses,win_rate,net_points,avg_points,gross_wins,gross_losses,avg_risk,avg_mfe,avg_mae,profit_factor
2018,fib382,1.0,SHORT,1,1,0,100.0,27.22,27.22,27.22,0.0,27.22,30.28,-21.47,
2018,fib382,1.5,SHORT,1,1,0,100.0,40.83,40.83,40.83,0.0,27.22,44.03,-22.22,
2018,fib382,2.0,SHORT,1,1,0,100.0,10.28,10.28,10.28,0.0,27.22,49.78,-22.22,
2018,fib50,1.0,SHORT,1,1,0,100.0,35.62,35.62,35.62,0.0,35.62,61.88,-3.62,
2018,fib50,1.5,SHORT,1,1,0,100.0,53.44,53.44,53.44,0.0,35.62,61.88,-3.62,
2018,fib50,2.0,SHORT,1,1,0,100.0,4.12,4.12,4.12,0.0,35.62,61.88,-30.62,
2020,fib382,1.0,LONG,4,4,0,100.0,116.32,29.08,116.32,0.0,29.08,45.86,-21.52,
2020,fib382,1.0,SHORT,3,2,1,66.67,54.78,18.26,57.2,2.43,29.13,42.96,-9.88,23.54
2020,fib382,1.5,LONG,4,3,1,75.0,101.42,25.36,130.64,29.22,29.08,50.92,-26.52,4.47
2020,fib382,1.5,SHORT,3,2,1,66.67,83.38,27.79,85.81,2.43,29.13,42.96,-9.88,35.31
2020,fib382,2.0,LONG,4,3,1,75.0,144.97,36.24,174.19,29.22,29.08,67.36,-26.52,5.96
2020,fib382,2.0,SHORT,3,1,2,33.33,22.02,7.34,54.44,32.41,29.13,42.96,-15.79,1.68
2020,fib50,1.0,LONG,4,4,0,100.0,152.25,38.06,152.25,0.0,38.06,55.69,-23.0,
2020,fib50,1.0,SHORT,3,2,1,66.67,35.88,11.96,75.12,39.25,38.12,44.21,-18.12,1.91
2020,fib50,1.5,LONG,4,4,0,100.0,228.38,57.09,228.38,0.0,38.06,70.69,-23.0,
2020,fib50,1.5,SHORT,3,1,2,33.33,-15.62,-5.21,59.25,74.88,38.12,62.21,-31.46,0.79
2020,fib50,2.0,LONG,4,3,1,75.0,187.5,46.88,226.5,39.0,38.06,80.12,-32.12,5.81
2020,fib50,2.0,SHORT,3,1,2,33.33,4.12,1.38,79.0,74.88,38.12,62.21,-31.46,1.06
2021,fib382,1.0,LONG,1,0,1,0.0,-28.55,-28.55,0.0,28.55,28.55,17.95,-48.8,0.0
2021,fib382,1.0,SHORT,3,2,1,66.67,8.91,2.97,35.75,26.84,29.0,36.33,-20.83,1.33
2021,fib382,1.5,LONG,1,0,1,0.0,-28.55,-28.55,0.0,28.55,28.55,17.95,-48.8,0.0
2021,fib382,1.5,SHORT,3,2,1,66.67,23.96,7.99,50.79,26.84,29.0,36.33,-20.83,1.89
2021,fib382,2.0,LONG,1,0,1,0.0,-28.55,-28.55,0.0,28.55,28.55,17.95,-48.8,0.0
2021,fib382,2.0,SHORT,3,2,1,66.67,39.0,13.0,65.83,26.84,29.0,36.33,-20.83,2.45
2021,fib50,1.0,LONG,1,1,0,100.0,37.38,37.38,37.38,0.0,37.38,86.62,-0.62,
2021,fib50,1.0,SHORT,3,3,0,100.0,113.88,37.96,113.88,0.0,37.96,57.54,-4.62,
2021,fib50,1.5,LONG,1,1,0,100.0,56.06,56.06,56.06,0.0,37.38,86.62,-0.62,
2021,fib50,1.5,SHORT,3,3,0,100.0,120.12,40.04,120.12,0.0,37.96,63.54,-10.79,
2021,fib50,2.0,LONG,1,1,0,100.0,74.75,74.75,74.75,0.0,37.38,86.62,-0.62,
2021,fib50,2.0,SHORT,3,2,1,66.67,39.25,13.08,78.62,39.38,37.96,63.54,-25.88,2.0
2022,fib382,1.0,LONG,8,4,4,50.0,-3.25,-0.41,114.79,118.04,29.1,36.12,-25.79,0.97
2022,fib382,1.0,SHORT,5,4,1,80.0,75.03,15.01,105.02,29.99,27.68,41.22,-16.68,3.5
2022,fib382,1.5,LONG,8,3,5,37.5,-20.1,-2.51,127.64,147.74,29.1,38.99,-26.95,0.86
2022,fib382,1.5,SHORT,5,4,1,80.0,115.57,23.11,145.56,29.99,27.68,45.37,-19.68,4.85
2022,fib382,2.0,LONG,8,1,7,12.5,-169.83,-21.23,32.82,202.65,29.1,39.96,-36.79,0.16
2022,fib382,2.0,SHORT,5,4,1,80.0,156.11,31.22,186.1,29.99,27.68,53.62,-19.68,6.21
