fib_entry,target_r,side,risk_bucket,trades,win_rate,net_points,avg_risk,gross_wins,gross_losses,profit_factor
fib382,1.0,LONG,40-60,12,50.0,4.65,52.24,315.76,311.11,1.01
fib382,1.0,LONG,60-80,13,76.92,368.85,69.25,573.05,204.21,2.81
fib382,1.0,LONG,<=40,10,30.0,-54.49,19.39,69.71,124.19,0.56
fib382,1.0,LONG,>80,128,55.47,3319.39,258.03,8944.97,5625.59,1.59
fib382,1.0,SHORT,40-60,16,81.25,494.18,49.7,617.59,123.41,5.0
fib382,1.0,SHORT,60-80,20,55.0,163.05,68.58,650.92,487.88,1.33
fib382,1.0,SHORT,<=40,18,61.11,161.87,23.76,294.78,132.9,2.22
fib382,1.0,SHORT,>80,192,56.77,4365.43,252.81,13442.85,9077.42,1.48
fib382,1.5,LONG,40-60,12,50.0,162.53,52.24,473.65,311.11,1.52
fib382,1.5,LONG,60-80,13,76.92,576.32,69.25,780.52,204.21,3.82
fib382,1.5,LONG,<=40,10,30.0,-19.63,19.39,104.56,124.19,0.84
fib382,1.5,LONG,>80,128,51.56,3166.81,258.03,9211.23,6044.43,1.52
fib382,1.5,SHORT,40-60,16,62.5,421.9,49.7,696.09,274.19,2.54
fib382,1.5,SHORT,60-80,20,45.0,-120.6,68.58,503.71,624.3,0.81
fib382,1.5,SHORT,<=40,18,55.56,250.99,23.76,407.2,156.21,2.61
fib382,1.5,SHORT,>80,192,54.69,3943.68,252.81,13459.3,9515.62,1.41
fib382,2.0,LONG,40-60,12,41.67,15.97,52.24,379.75,363.78,1.04
fib382,2.0,LONG,60-80,13,69.23,456.53,69.25,721.44,264.92,2.72
fib382,2.0,LONG,<=40,10,30.0,15.22,19.39,139.42,124.19,1.12
fib382,2.0,LONG,>80,128,50.0,2675.55,258.03,8931.7,6256.15,1.43
fib382,2.0,SHORT,40-60,16,62.5,503.7,49.7,777.89,274.19,2.84
fib382,2.0,SHORT,60-80,20,40.0,-268.25,68.58,417.28,685.53,0.61
fib382,2.0,SHORT,<=40,18,55.56,337.19,23.76,493.4,156.21,3.16
fib382,2.0,SHORT,>80,192,54.69,3862.58,252.81,13378.2,9515.62,1.41
fib50,1.0,LONG,40-60,4,50.0,-2.88,52.66,103.88,106.75,0.97
fib50,1.0,LONG,60-80,18,61.11,256.5,69.08,724.38,467.88,1.55
fib50,1.0,LONG,<=40,7,57.14,51.88,26.27,117.88,66.0,1.79
fib50,1.0,LONG,>80,146,58.9,3967.38,262.36,10609.12,6641.75,1.6
fib50,1.0,SHORT,40-60,15,66.67,312.88,51.16,503.88,191.0,2.64
fib50,1.0,SHORT,60-80,18,55.56,97.62,73.98,656.5,558.88,1.17
fib50,1.0,SHORT,<=40,12,58.33,72.62,30.22,217.62,145.0,1.5
fib50,1.0,SHORT,>80,213,54.93,3435.88,259.85,14390.88,10955.0,1.31
fib50,1.5,LONG,40-60,4,50.0,-5.38,52.66,101.38,106.75,0.95
fib50,1.5,LONG,60-80,18,55.56,68.06,69.08,602.94,534.88,1.13
fib50,1.5,LONG,<=40,7,57.14,110.81,26.27,176.81,66.0,2.68
fib50,1.5,LONG,>80,146,55.48,3184.5,262.36,10452.12,7267.62,1.44
fib50,1.5,SHORT,40-60,15,53.33,276.69,51.16,542.69,266.0,2.04
fib50,1.5,SHORT,60-80,18,38.89,-291.38,73.98,430.75,722.12,0.6
fib50,1.5,SHORT,<=40,12,41.67,30.31,30.22,216.56,186.25,1.16
fib50,1.5,SHORT,>80,213,53.52,3424.5,259.85,14475.5,11051.0,1.31
fib50,2.0,LONG,40-60,4,50.0,17.38,52.66,124.12,106.75,1.16
fib50,2.0,LONG,60-80,18,55.56,206.38,69.08,741.25,534.88,1.39
fib50,2.0,LONG,<=40,7,42.86,58.75,26.27,161.75,103.0,1.57
fib50,2.0,LONG,>80,146,54.79,3083.12,262.36,10464.0,7380.88,1.42
fib50,2.0,SHORT,40-60,15,53.33,451.75,51.16,717.75,266.0,2.7
fib50,2.0,SHORT,60-80,18,38.89,-180.62,73.98,541.5,722.12,0.75
fib50,2.0,SHORT,<=40,12,33.33,5.0,30.22,223.75,218.75,1.02
fib50,2.0,SHORT,>80,213,53.05,3362.0,259.85,14478.38,11116.38,1.3
