signal_id,ts,open,high,low,close,volume,trade_date,year,hour,minute,bias15,prev_close,prev_volume,in_orb,after_orb,orb_high,orb_low,orb_break_up_bar,orb_break_down_bar,orb_broke_up,orb_broke_down,bar_range,body_signed,body_abs,body_pct,bear_move,bull_move,vol_spike,long_signal,short_signal,direction,side,long_entry_382,long_entry_50,short_entry_382,short_entry_50,entry_382,entry_50,stop,risk_382,risk_50
0,2018-02-05T14:05:00.000000,6603.25,6617.0,6535.0,6538.25,28429.0,2018-02-05,2018,14,5,-1,6603.25,18958.0,false,true,6726.5,6682.5,false,true,true,true,82.0,-65.0,65.0,79.26829268292683,65.0,-65.0,true,false,true,-1,SHORT,6566.324,6576.0,6585.676,6576.0,6585.676,6576.0,6726.5,140.82399999999961,150.5
1,2018-04-26T14:00:00.000000,6655.0,6731.75,6649.0,6723.0,17535.0,2018-04-26,2018,14,0,1,6655.25,8559.0,false,true,6645.0,6626.25,true,false,true,true,82.75,68.0,68.0,82.17522658610272,-68.0,68.0,true,true,false,1,LONG,6680.6105,6690.375,6700.1395,6690.375,6680.6105,6690.375,6626.25,54.360499999999774,64.125
2,2018-10-25T14:00:00.000000,7030.5,7030.5,6922.0,6933.25,23626.0,2018-10-25,2018,14,0,-1,7030.5,23472.0,false,true,6997.75,6962.75,false,true,true,true,108.5,-97.25,97.25,89.63133640552995,97.25,-97.25,true,false,true,-1,SHORT,6963.447,6976.25,6989.053,6976.25,6989.053,6976.25,6997.75,8.697000000000116,21.5
4,2018-12-19T13:40:00.000000,6530.5,6530.5,6435.75,6438.75,16660.0,2018-12-19,2018,13,40,-1,6530.5,10010.0,false,true,6541.5,6493.0,false,true,true,true,94.75,-91.75,91.75,96.83377308707124,91.75,-91.75,true,false,true,-1,SHORT,6471.9445,6483.125,6494.3055,6483.125,6494.3055,6483.125,6541.5,47.19449999999961,58.375
5,2018-12-19T14:00:00.000000,6397.5,6398.75,6327.5,6329.0,18221.0,2018-12-19,2018,14,0,-1,6397.5,16921.0,false,true,6541.5,6493.0,false,true,true,true,71.25,-68.5,68.5,96.14035087719299,68.5,-68.5,true,false,true,-1,SHORT,6354.7175,6363.125,6371.5325,6363.125,6371.5325,6363.125,6541.5,169.96749999999975,178.375
7,2019-08-01T11:25:00.000000,7998.5,7999.5,7926.0,7933.0,27917.0,2019-08-01,2019,11,25,-1,7998.5,1447.0,false,true,7978.5,7962.75,false,true,true,true,73.5,-65.5,65.5,89.1156462585034,65.5,-65.5,true,false,true,-1,SHORT,7954.077,7962.75,7971.423,7962.75,7971.423,7962.75,7978.5,7.0770000000002256,15.75
8,2019-08-23T09:00:00.000000,7699.0,7707.25,7616.0,7633.5,26163.0,2019-08-23,2019,9,0,-1,7698.5,8507.0,false,true,7731.75,7676.5,false,true,false,true,91.25,-65.5,65.5,71.78082191780823,65.5,-65.5,true,false,true,-1,SHORT,7650.8575,7661.625,7672.3925,7661.625,7672.3925,7661.625,7731.75,59.35750000000007,70.125
9,2020-03-02T10:10:00.000000,8566.75,8641.0,8565.25,8636.25,15367.0,2020-03-02,2020,10,10,1,8567.0,10966.0,false,true,8596.0,8485.0,true,false,true,true,75.75,69.5,69.5,91.74917491749174,-69.5,69.5,true,true,false,1,LONG,8594.1865,8603.125,8612.0635,8603.125,8594.1865,8603.125,8485.0,109.1864999999998,118.125
10,2020-03-02T14:50:00.000000,8780.0,8854.25,8780.0,8852.25,19619.0,2020-03-02,2020,14,50,1,8780.25,12716.0,false,true,8596.0,8485.0,true,false,true,true,74.25,72.25,72.25,97.3063973063973,-72.25,72.25,true,true,false,1,LONG,8808.3635,8817.125,8825.8865,8817.125,8808.3635,8817.125,8485.0,323.3634999999995,332.125
11,2020-03-03T09:00:00.000000,8780.25,9002.5,8775.5,8978.5,25436.0,2020-03-03,2020,9,0,1,8780.0,14866.0,false,true,8904.0,8801.5,true,false,true,true,227.0,198.25,198.25,87.33480176211454,-198.25,198.25,true,true,false,1,LONG,8862.214,8889.0,8915.786,8889.0,8862.214,8889.0,8801.5,60.71399999999994,87.5
