fib_entry,target_r,side,trades,wins,losses,win_rate,net_points,avg_points,gross_wins,gross_losses,avg_risk,median_risk,avg_mfe,avg_mae,profit_factor
fib382,1.0,LONG,163,90,73,55.21,3638.4,22.32,9903.5,6265.1,213.19,151.35,110.76,-85.89,1.58
fib382,1.0,SHORT,246,144,102,58.54,5184.53,21.08,15006.14,9821.62,207.86,153.83,111.11,-77.33,1.53
fib382,1.5,LONG,163,85,78,52.15,3886.03,23.84,10569.97,6683.94,213.19,151.35,120.0,-87.99,1.58
fib382,1.5,SHORT,246,134,112,54.47,4495.97,18.28,15066.3,10570.33,207.86,153.83,120.01,-80.12,1.43
fib382,2.0,LONG,163,81,82,49.69,3163.27,19.41,10172.31,7009.04,213.19,151.35,124.25,-90.12,1.45
fib382,2.0,SHORT,246,133,113,54.07,4435.22,18.03,15066.77,10631.55,207.86,153.83,123.57,-80.52,1.42
fib50,1.0,LONG,175,103,72,58.86,4272.88,24.42,11555.25,7282.38,228.24,165.25,114.68,-90.71,1.59
fib50,1.0,SHORT,258,144,114,55.81,3919.0,15.19,15768.88,11849.88,224.07,168.88,115.08,-85.7,1.33
fib50,1.5,LONG,175,97,78,55.43,3358.0,19.19,11333.25,7975.25,228.24,165.25,122.42,-94.22,1.42
fib50,1.5,SHORT,258,134,124,51.94,3440.12,13.33,15665.5,12225.38,224.07,168.88,122.82,-87.49,1.28
fib50,2.0,LONG,175,95,80,54.29,3365.62,19.23,11491.12,8125.5,228.24,165.25,129.95,-95.5,1.41
fib50,2.0,SHORT,258,132,126,51.16,3638.12,14.1,15961.38,12323.25,224.07,168.88,126.5,-87.84,1.3
