signal_id,signal_time,entry_time,exit_time,year,trade_date,side,fib_entry,target_r,entry_price,stop_price,target_price,risk_points,result,pnl_points,bars_held,mfe_points,mae_points,exit_reason,orb_high,orb_low,signal_open,signal_high,signal_low,signal_close,signal_volume,body_pct,bias15
0,2018-02-05T14:05:00.000000,2018-02-05T14:10:00.000000,2018-02-05T15:05:00.000000,2018,2018-02-05,SHORT,fib382,1.0,6585.676,6726.5,6444.852000000001,140.82399999999961,WIN,140.82399999999961,12,195.67600000000039,-59.573999999999614,target,6726.5,6682.5,6603.25,6617.0,6535.0,6538.25,28429.0,79.26829268292683,-1
0,2018-02-05T14:05:00.000000,2018-02-05T14:10:00.000000,2018-02-05T17:20:00.000000,2018,2018-02-05,SHORT,fib382,1.5,6585.676,6726.5,6374.4400000000005,140.82399999999961,WIN,106.67600000000039,24,197.92600000000039,-59.573999999999614,time_exit,6726.5,6682.5,6603.25,6617.0,6535.0,6538.25,28429.0,79.26829268292683,-1
0,2018-02-05T14:05:00.000000,2018-02-05T14:10:00.000000,2018-02-05T17:20:00.000000,2018,2018-02-05,SHORT,fib382,2.0,6585.676,6726.5,6304.028000000001,140.82399999999961,WIN,106.67600000000039,24,197.92600000000039,-59.573999999999614,time_exit,6726.5,6682.5,6603.25,6617.0,6535.0,6538.25,28429.0,79.26829268292683,-1
0,2018-02-05T14:05:00.000000,2018-02-05T14:10:00.000000,2018-02-05T15:05:00.000000,2018,2018-02-05,SHORT,fib50,1.0,6576.0,6726.5,6425.5,150.5,WIN,150.5,12,186.0,-69.25,target,6726.5,6682.5,6603.25,6617.0,6535.0,6538.25,28429.0,79.26829268292683,-1
0,2018-02-05T14:05:00.000000,2018-02-05T14:10:00.000000,2018-02-05T17:20:00.000000,2018,2018-02-05,SHORT,fib50,1.5,6576.0,6726.5,6350.25,150.5,WIN,97.0,24,188.25,-69.25,time_exit,6726.5,6682.5,6603.25,6617.0,6535.0,6538.25,28429.0,79.26829268292683,-1
0,2018-02-05T14:05:00.000000,2018-02-05T14:10:00.000000,2018-02-05T17:20:00.000000,2018,2018-02-05,SHORT,fib50,2.0,6576.0,6726.5,6275.0,150.5,WIN,97.0,24,188.25,-69.25,time_exit,6726.5,6682.5,6603.25,6617.0,6535.0,6538.25,28429.0,79.26829268292683,-1
1,2018-04-26T14:00:00.000000,,,2018,2018-04-26,LONG,fib382,1.0,6680.6105,6626.25,6734.971,54.360499999999774,NO_ENTRY,0.0,0,0.0,0.0,no_entry_or_no_exit,6645.0,6626.25,6655.0,6731.75,6649.0,6723.0,17535.0,82.17522658610272,1
1,2018-04-26T14:00:00.000000,,,2018,2018-04-26,LONG,fib382,1.5,6680.6105,6626.25,6762.151249999999,54.360499999999774,NO_ENTRY,0.0,0,0.0,0.0,no_entry_or_no_exit,6645.0,6626.25,6655.0,6731.75,6649.0,6723.0,17535.0,82.17522658610272,1
1,2018-04-26T14:00:00.000000,,,2018,2018-04-26,LONG,fib382,2.0,6680.6105,6626.25,6789.331499999999,54.360499999999774,NO_ENTRY,0.0,0,0.0,0.0,no_entry_or_no_exit,6645.0,6626.25,6655.0,6731.75,6649.0,6723.0,17535.0,82.17522658610272,1
1,2018-04-26T14:00:00.000000,,,2018,2018-04-26,LONG,fib50,1.0,6690.375,6626.25,6754.5,64.125,NO_ENTRY,0.0,0,0.0,0.0,no_entry_or_no_exit,6645.0,6626.25,6655.0,6731.75,6649.0,6723.0,17535.0,82.17522658610272,1
1,2018-04-26T14:00:00.000000,,,2018,2018-04-26,LONG,fib50,1.5,6690.375,6626.25,6786.5625,64.125,NO_ENTRY,0.0,0,0.0,0.0,no_entry_or_no_exit,6645.0,6626.25,6655.0,6731.75,6649.0,6723.0,17535.0,82.17522658610272,1
1,2018-04-26T14:00:00.000000,,,2018,2018-04-26,LONG,fib50,2.0,6690.375,6626.25,6818.625,64.125,NO_ENTRY,0.0,0,0.0,0.0,no_entry_or_no_exit,6645.0,6626.25,6655.0,6731.75,6649.0,6723.0,17535.0,82.17522658610272,1
2,2018-10-25T14:00:00.000000,,,2018,2018-10-25,SHORT,fib382,1.0,6989.053,6997.75,6980.356,8.697000000000116,NO_ENTRY,0.0,0,0.0,0.0,no_entry_or_no_exit,6997.75,6962.75,7030.5,7030.5,6922.0,6933.25,23626.0,89.63133640552995,-1
2,2018-10-25T14:00:00.000000,,,2018,2018-10-25,SHORT,fib382,1.5,6989.053,6997.75,6976.0075,8.697000000000116,NO_ENTRY,0.0,0,0.0,0.0,no_entry_or_no_exit,6997.75,6962.75,7030.5,7030.5,6922.0,6933.25,23626.0,89.63133640552995,-1
2,2018-10-25T14:00:00.000000,,,2018,2018-10-25,SHORT,fib382,2.0,6989.053,6997.75,6971.659,8.697000000000116,NO_ENTRY,0.0,0,0.0,0.0,no_entry_or_no_exit,6997.75,6962.75,7030.5,7030.5,6922.0,6933.25,23626.0,89.63133640552995,-1
2,2018-10-25T14:00:00.000000,,,2018,2018-10-25,SHORT,fib50,1.0,6976.25,6997.75,6954.75,21.5,NO_ENTRY,0.0,0,0.0,0.0,no_entry_or_no_exit,6997.75,6962.75,7030.5,7030.5,6922.0,6933.25,23626.0,89.63133640552995,-1
2,2018-10-25T14:00:00.000000,,,2018,2018-10-25,SHORT,fib50,1.5,6976.25,6997.75,6944.0,21.5,NO_ENTRY,0.0,0,0.0,0.0,no_entry_or_no_exit,6997.75,6962.75,7030.5,7030.5,6922.0,6933.25,23626.0,89.63133640552995,-1
2,2018-10-25T14:00:00.000000,,,2018,2018-10-25,SHORT,fib50,2.0,6976.25,6997.75,6933.25,21.5,NO_ENTRY,0.0,0,0.0,0.0,no_entry_or_no_exit,6997.75,6962.75,7030.5,7030.5,6922.0,6933.25,23626.0,89.63133640552995,-1
4,2018-12-19T13:40:00.000000,,,2018,2018-12-19,SHORT,fib382,1.0,6494.3055,6541.5,6447.111000000001,47.19449999999961,NO_ENTRY,0.0,0,0.0,0.0,no_entry_or_no_exit,6541.5,6493.0,6530.5,6530.5,6435.75,6438.75,16660.0,96.83377308707124,-1
4,2018-12-19T13:40:00.000000,,,2018,2018-12-19,SHORT,fib382,1.5,6494.3055,6541.5,6423.513750000001,47.19449999999961,NO_ENTRY,0.0,0,0.0,0.0,no_entry_or_no_exit,6541.5,6493.0,6530.5,6530.5,6435.75,6438.75,16660.0,96.83377308707124,-1
4,2018-12-19T13:40:00.000000,,,2018,2018-12-19,SHORT,fib382,2.0,6494.3055,6541.5,6399.916500000001,47.19449999999961,NO_ENTRY,0.0,0,0.0,0.0,no_entry_or_no_exit,6541.5,6493.0,6530.5,6530.5,6435.75,6438.75,16660.0,96.83377308707124,-1
4,2018-12-19T13:40:00.000000,,,2018,2018-12-19,SHORT,fib50,1.0,6483.125,6541.5,6424.75,58.375,NO_ENTRY,0.0,0,0.0,0.0,no_entry_or_no_exit,6541.5,6493.0,6530.5,6530.5,6435.75,6438.75,16660.0,96.83377308707124,-1
4,2018-12-19T13:40:00.000000,,,2018,2018-12-19,SHORT,fib50,1.5,6483.125,6541.5,6395.5625,58.375,NO_ENTRY,0.0,0,0.0,0.0,no_entry_or_no_exit,6541.5,6493.0,6530.5,6530.5,6435.75,6438.75,16660.0,96.83377308707124,-1
4,2018-12-19T13:40:00.000000,,,2018,2018-12-19,SHORT,fib50,2.0,6483.125,6541.5,6366.375,58.375,NO_ENTRY,0.0,0,0.0,0.0,no_entry_or_no_exit,6541.5,6493.0,6530.5,6530.5,6435.75,6438.75,16660.0,96.83377308707124,-1
5,2018-12-19T14:00:00.000000,2018-12-19T14:10:00.000000,2018-12-19T17:20:00.000000,2018,2018-12-19,SHORT,fib382,1.0,6371.5325,6541.5,6201.5650000000005,169.96749999999975,WIN,10.282500000000255,24,49.782500000000255,-22.217499999999745,time_exit,6541.5,6493.0,6397.5,6398.75,6327.5,6329.0,18221.0,96.14035087719299,-1
5,2018-12-19T14:00:00.000000,2018-12-19T14:10:00.000000,2018-12-19T17:20:00.000000,2018,2018-12-19,SHORT,fib382,1.5,6371.5325,6541.5,6116.581250000001,169.96749999999975,WIN,10.282500000000255,24,49.782500000000255,-22.217499999999745,time_exit,6541.5,6493.0,6397.5,6398.75,6327.5,6329.0,18221.0,96.14035087719299,-1
