year,fib_entry,target_r,side,trades,wins,losses,win_rate,net_points,avg_points,gross_wins,gross_losses,avg_risk,median_risk,avg_mfe,avg_mae,profit_factor
2018,fib382,1.0,SHORT,2,2,0,100.0,151.11,75.55,151.11,0.0,155.4,155.4,122.73,-40.9,
2018,fib382,1.5,SHORT,2,2,0,100.0,116.96,58.48,116.96,0.0,155.4,155.4,123.85,-40.9,
2018,fib382,2.0,SHORT,2,2,0,100.0,116.96,58.48,116.96,0.0,155.4,155.4,123.85,-40.9,
2018,fib50,1.0,SHORT,2,2,0,100.0,154.62,77.31,154.62,0.0,164.44,164.44,123.94,-49.94,
2018,fib50,1.5,SHORT,2,2,0,100.0,101.12,50.56,101.12,0.0,164.44,164.44,125.06,-49.94,
2018,fib50,2.0,SHORT,2,2,0,100.0,101.12,50.56,101.12,0.0,164.44,164.44,125.06,-49.94,
2020,fib382,1.0,LONG,12,6,6,50.0,118.16,9.85,485.29,367.13,167.76,134.28,84.61,-70.26,1.32
2020,fib382,1.0,SHORT,16,6,10,37.5,-441.23,-27.58,473.2,914.43,203.42,200.63,95.58,-98.62,0.52
2020,fib382,1.5,LONG,12,6,6,50.0,305.56,25.46,672.69,367.13,167.76,134.28,96.38,-70.26,1.83
2020,fib382,1.5,SHORT,16,6,10,37.5,-331.79,-20.74,582.64,914.43,203.42,200.63,99.41,-98.62,0.64
2020,fib382,2.0,LONG,12,4,8,33.33,-47.35,-3.95,433.16,480.51,167.76,134.28,102.38,-80.55,0.9
2020,fib382,2.0,SHORT,16,6,10,37.5,-417.31,-26.08,497.12,914.43,203.42,200.63,103.23,-100.17,0.54
2020,fib50,1.0,LONG,12,6,6,50.0,180.75,15.06,577.75,397.0,181.77,149.75,88.98,-74.75,1.46
2020,fib50,1.0,SHORT,17,8,9,47.06,-396.88,-23.35,632.88,1029.75,213.39,197.25,91.82,-103.07,0.61
2020,fib50,1.5,LONG,12,4,8,33.33,-90.06,-7.51,512.19,602.25,181.77,149.75,100.6,-90.4,0.85
2020,fib50,1.5,SHORT,17,8,9,47.06,-338.56,-19.92,691.19,1029.75,213.39,197.25,96.95,-103.07,0.67
2020,fib50,2.0,LONG,12,4,8,33.33,-207.12,-17.26,395.12,602.25,181.77,149.75,106.6,-94.56,0.66
2020,fib50,2.0,SHORT,17,8,9,47.06,-578.5,-34.03,451.25,1029.75,213.39,197.25,99.02,-104.52,0.44
2021,fib382,1.0,LONG,7,5,2,71.43,134.91,19.27,250.87,115.96,132.63,128.58,62.3,-63.13,2.16
2021,fib382,1.0,SHORT,13,8,5,61.54,41.24,3.17,284.63,243.39,122.57,106.08,48.17,-41.83,1.17
2021,fib382,1.5,LONG,7,5,2,71.43,210.74,30.11,326.7,115.96,132.63,128.58,69.44,-63.13,2.82
2021,fib382,1.5,SHORT,13,8,5,61.54,56.95,4.38,300.35,243.39,122.57,106.08,48.17,-41.83,1.23
2021,fib382,2.0,LONG,7,5,2,71.43,163.6,23.37,279.56,115.96,132.63,128.58,73.44,-63.13,2.41
2021,fib382,2.0,SHORT,13,8,5,61.54,72.67,5.59,316.06,243.39,122.57,106.08,52.93,-41.83,1.3
