stage,signal_time,entry_time,date,entry,signal_high,signal_low,signal_close,retrace_fill_bars,stop,target,exit_price,exit_time,outcome,risk_points,pnl_points,rr,mfe,mae
step1_2_3_continuation,2025-05-08 08:55:00,2025-05-08 08:56:00,2025-05-08,20015.75,20028.0,19979.0,19989.75,1,20030.0,19987.25,19987.25,2025-05-08 08:56:00,win,14.25,28.5,2.0,33.75,-8.25
step1_2_3_continuation,2025-05-09 10:39:00,2025-05-09 10:40:00,2025-05-09,20119.94,20124.5,20106.25,20108.75,1,20126.5,20106.81,20106.81,2025-05-09 10:45:00,win,6.56,13.12,2.0,25.69,-3.06
step1_2_3_continuation,2025-05-22 08:43:00,2025-05-22 08:45:00,2025-05-22,21250.81,21262.0,21217.25,21220.0,2,21264.0,21224.44,21224.44,2025-05-22 08:45:00,win,13.19,26.38,2.0,34.06,-0.44
step1_2_3_continuation,2025-05-22 10:56:00,2025-05-22 11:00:00,2025-05-22,21228.25,21234.75,21208.75,21211.0,4,21236.75,21211.25,21211.25,2025-05-22 11:01:00,win,8.5,17.0,2.0,17.5,-3.5
step1_2_3_continuation,2025-05-23 10:04:00,2025-05-23 10:09:00,2025-05-23,20962.06,20974.5,20924.75,20929.5,5,20976.5,20933.19,20933.19,2025-05-23 10:09:00,win,14.44,28.88,2.0,35.31,-2.44
step1_2_3_continuation,2025-05-26 08:35:00,2025-05-26 08:36:00,2025-05-26,21243.81,21247.5,21232.75,21235.75,1,21249.5,21232.44,21232.44,2025-05-26 08:39:00,win,5.69,11.38,2.0,11.81,-1.69
step1_2_3_continuation,2025-06-05 10:48:00,2025-06-05 10:50:00,2025-06-05,21733.25,21740.0,21713.0,21719.5,2,21742.0,21715.75,21715.75,2025-06-05 10:50:00,win,8.75,17.5,2.0,24.75,-8.5
step1_2_3_continuation,2025-06-06 10:43:00,2025-06-06 10:48:00,2025-06-06,21772.06,21777.25,21756.5,21759.0,5,21779.25,21757.69,21757.69,2025-06-06 10:52:00,win,7.19,14.38,2.0,19.06,-4.94
step1_2_3_continuation,2025-06-09 10:08:00,2025-06-09 10:13:00,2025-06-09,21832.19,21835.5,21822.25,21822.25,5,21837.5,21821.56,21821.56,2025-06-09 10:17:00,win,5.31,10.62,2.0,13.69,-4.81
step1_2_3_continuation,2025-06-11 10:06:00,2025-06-11 10:09:00,2025-06-11,21981.69,21986.75,21966.5,21966.5,3,21988.75,21967.56,21967.56,2025-06-11 10:10:00,win,7.06,14.12,2.0,40.19,-0.06
step1_2_3_continuation,2025-06-11 10:10:00,2025-06-11 10:14:00,2025-06-11,21966.81,21975.25,21941.5,21943.0,4,21977.25,21945.94,21945.94,2025-06-11 10:17:00,win,10.44,20.88,2.0,24.06,-2.44
step1_2_3_continuation,2025-06-13 11:16:00,2025-06-13 11:17:00,2025-06-13,21773.62,21779.5,21756.0,21759.5,1,21781.5,21757.88,21757.88,2025-06-13 11:17:00,win,7.88,15.75,2.0,17.12,-4.38
step1_2_3_continuation,2025-06-20 09:00:00,2025-06-20 09:05:00,2025-06-20,21808.44,21818.5,21778.25,21782.0,5,21820.5,21784.31,21784.31,2025-06-20 09:05:00,win,12.06,24.12,2.0,29.94,-10.31
step1_2_3_continuation,2025-06-23 10:17:00,2025-06-23 10:19:00,2025-06-23,21927.38,21932.5,21912.0,21914.0,2,21934.5,21913.12,21913.12,2025-06-23 10:20:00,win,7.12,14.25,2.0,19.38,-2.12
step1_2_3_continuation,2025-06-23 10:34:00,2025-06-23 10:38:00,2025-06-23,21813.56,21820.25,21793.5,21796.25,4,21822.25,21796.19,21796.19,2025-06-23 10:38:00,win,8.69,17.38,2.0,46.81,-1.44
step1_2_3_continuation,2025-06-23 10:36:00,2025-06-23 10:37:00,2025-06-23,21795.5,21806.75,21761.75,21764.5,1,21808.75,21769.0,21769.0,2025-06-23 10:37:00,win,13.25,26.5,2.0,57.25,-7.75
step1_2_3_continuation,2025-06-27 11:23:00,2025-06-27 11:24:00,2025-06-27,22774.62,22777.0,22767.5,22769.5,1,22779.0,22765.88,22765.88,2025-06-27 11:30:00,win,4.38,8.75,2.0,9.12,-3.38
step1_2_3_continuation,2025-07-01 08:58:00,2025-07-01 09:00:00,2025-07-01,22691.94,22697.75,22674.5,22676.0,2,22699.75,22676.31,22676.31,2025-07-01 09:00:00,win,7.81,15.62,2.0,15.94,-0.56
step1_2_3_continuation,2025-07-03 10:59:00,2025-07-03 11:00:00,2025-07-03,23068.19,23072.0,23056.75,23056.75,1,23074.0,23056.56,23056.56,2025-07-03 11:00:00,win,5.81,11.62,2.0,13.44,-2.56
step1_2_3_continuation,2025-07-15 10:56:00,2025-07-15 11:00:00,2025-07-15,23119.69,23126.0,23100.75,23106.0,4,23128.0,23103.06,23103.06,2025-07-15 11:00:00,win,8.31,16.62,2.0,23.69,-1.31
step1_2_3_continuation,2025-07-23 08:34:00,2025-07-23 08:35:00,2025-07-23,23163.06,23167.25,23150.5,23151.25,1,23169.25,23150.69,23150.69,2025-07-23 08:35:00,win,6.19,12.38,2.0,12.56,-4.19
step1_2_3_continuation,2025-08-07 08:30:00,2025-08-07 08:32:00,2025-08-07,23569.12,23577.5,23544.0,23549.5,2,23579.5,23548.38,23548.38,2025-08-07 08:32:00,win,10.38,20.75,2.0,24.88,-1.38
step1_2_3_continuation,2025-08-13 08:31:00,2025-08-13 08:32:00,2025-08-13,23962.94,23968.5,23946.25,23947.25,1,23970.5,23947.81,23947.81,2025-08-13 08:32:00,win,7.56,15.12,2.0,16.94,-0.81
step1_2_3_continuation,2025-08-14 10:14:00,2025-08-14 10:15:00,2025-08-14,23879.75,23884.75,23864.75,23867.0,1,23886.75,23865.75,23865.75,2025-08-14 10:15:00,win,7.0,14.0,2.0,15.0,-2.25
step1_2_3_continuation,2025-08-14 10:36:00,2025-08-14 10:39:00,2025-08-14,23909.69,23915.0,23893.75,23896.5,3,23917.0,23895.06,23895.06,2025-08-14 10:42:00,win,7.31,14.62,2.0,21.69,-3.31
step1_2_3_continuation,2025-08-26 09:34:00,2025-08-26 09:35:00,2025-08-26,23506.0,23510.25,23493.25,23494.25,1,23512.25,23493.5,23493.5,2025-08-26 09:35:00,win,6.25,12.5,2.0,12.75,-1.75
step1_2_3_continuation,2025-08-26 11:10:00,2025-08-26 11:12:00,2025-08-26,23521.94,23525.0,23512.75,23515.0,2,23527.0,23511.81,23511.81,2025-08-26 11:12:00,win,5.06,10.12,2.0,12.19,-0.31
step1_2_3_continuation,2025-08-27 10:26:00,2025-08-27 10:28:00,2025-08-27,23557.69,23560.5,23549.25,23552.25,2,23562.5,23548.06,23548.06,2025-08-27 10:28:00,win,4.81,9.62,2.0,12.44,-1.81
step1_2_3_continuation,2025-08-29 08:50:00,2025-08-29 08:55:00,2025-08-29,23446.38,23453.0,23426.5,23429.0,5,23455.0,23429.12,23429.12,2025-08-29 08:55:00,win,8.62,17.25,2.0,20.88,-0.62
step1_2_3_continuation,2025-08-29 11:04:00,2025-08-29 11:07:00,2025-08-29,23445.75,23450.5,23431.5,23432.75,3,23452.5,23432.25,23432.25,2025-08-29 11:10:00,win,6.75,13.5,2.0,15.5,-2.0
step1_2_3_continuation,2025-09-02 09:50:00,2025-09-02 09:55:00,2025-09-02,23048.5,23053.25,23034.25,23034.5,5,23055.25,23035.0,23035.0,2025-09-02 09:55:00,win,6.75,13.5,2.0,13.5,-3.25
step1_2_3_continuation,2025-09-03 10:40:00,2025-09-03 10:41:00,2025-09-03,23415.56,23422.0,23396.25,23397.5,1,23424.0,23398.69,23398.69,2025-09-03 10:41:00,win,8.44,16.88,2.0,17.81,-0.44
step1_2_3_continuation,2025-09-24 08:32:00,2025-09-24 08:36:00,2025-09-24,24820.62,24825.75,24805.25,24806.75,4,24827.75,24806.38,24806.38,2025-09-24 08:40:00,win,7.12,14.25,2.0,16.12,-3.38
step1_2_3_continuation,2025-09-24 09:33:00,2025-09-24 09:37:00,2025-09-24,24780.25,24783.5,24770.5,24771.0,4,24785.5,24769.75,24769.75,2025-09-24 09:38:00,win,5.25,10.5,2.0,14.0,-4.5
step1_2_3_continuation,2025-09-24 09:41:00,2025-09-24 09:42:00,2025-09-24,24770.56,24774.0,24760.25,24761.0,1,24776.0,24759.69,24759.69,2025-09-24 09:42:00,win,5.44,10.88,2.0,12.31,-1.44
step1_2_3_continuation,2025-09-25 10:40:00,2025-09-25 10:42:00,2025-09-25,24636.44,24644.25,24613.0,24617.0,2,24646.25,24616.81,24616.81,2025-09-25 10:53:00,win,9.81,19.62,2.0,20.94,-8.06
