stage,signal_time,entry_time,date,entry,signal_high,signal_low,signal_close,retrace_fill_bars,stop,target,exit_price,exit_time,outcome,risk_points,pnl_points,rr,mfe,mae
step1_2_deep_retrace,2025-05-08 08:55:00,2025-05-08 08:56:00,2025-05-08,20015.75,20028.0,19979.0,19989.75,1,20030.0,19987.25,19987.25,2025-05-08 08:56:00,win,14.25,28.5,2.0,33.75,-8.25
step1_2_deep_retrace,2025-05-09 10:39:00,2025-05-09 10:40:00,2025-05-09,20119.94,20124.5,20106.25,20108.75,1,20126.5,20106.81,20106.81,2025-05-09 10:45:00,win,6.56,13.12,2.0,25.69,-3.06
step1_2_deep_retrace,2025-05-09 11:14:00,2025-05-09 11:16:00,2025-05-09,20097.69,20103.25,20081.0,20083.25,2,20105.25,20082.56,20105.25,2025-05-09 11:16:00,loss,7.56,-7.56,-1.0,3.44,-11.81
step1_2_deep_retrace,2025-05-15 08:49:00,2025-05-15 08:53:00,2025-05-15,21312.62,21318.75,21294.25,21294.75,4,21320.75,21296.38,21320.75,2025-05-15 08:55:00,loss,8.12,-8.12,-1.0,9.62,-14.88
step1_2_deep_retrace,2025-05-16 08:44:00,2025-05-16 08:45:00,2025-05-16,21342.88,21349.75,21322.25,21326.75,1,21351.75,21325.12,21351.75,2025-05-16 08:45:00,loss,8.88,-8.88,-1.0,22.62,-13.12
step1_2_deep_retrace,2025-05-22 08:43:00,2025-05-22 08:45:00,2025-05-22,21250.81,21262.0,21217.25,21220.0,2,21264.0,21224.44,21224.44,2025-05-22 08:45:00,win,13.19,26.38,2.0,34.06,-0.44
step1_2_deep_retrace,2025-05-22 10:56:00,2025-05-22 11:00:00,2025-05-22,21228.25,21234.75,21208.75,21211.0,4,21236.75,21211.25,21211.25,2025-05-22 11:01:00,win,8.5,17.0,2.0,17.5,-3.5
step1_2_deep_retrace,2025-05-23 10:04:00,2025-05-23 10:09:00,2025-05-23,20962.06,20974.5,20924.75,20929.5,5,20976.5,20933.19,20933.19,2025-05-23 10:09:00,win,14.44,28.88,2.0,35.31,-2.44
step1_2_deep_retrace,2025-05-26 08:35:00,2025-05-26 08:36:00,2025-05-26,21243.81,21247.5,21232.75,21235.75,1,21249.5,21232.44,21232.44,2025-05-26 08:39:00,win,5.69,11.38,2.0,11.81,-1.69
step1_2_deep_retrace,2025-05-28 09:14:00,2025-05-28 09:15:00,2025-05-28,21449.81,21454.25,21436.5,21438.75,1,21456.25,21436.94,21456.25,2025-05-28 09:18:00,loss,6.44,-6.44,-1.0,11.31,-10.44
step1_2_deep_retrace,2025-06-05 10:48:00,2025-06-05 10:50:00,2025-06-05,21733.25,21740.0,21713.0,21719.5,2,21742.0,21715.75,21715.75,2025-06-05 10:50:00,win,8.75,17.5,2.0,24.75,-8.5
step1_2_deep_retrace,2025-06-05 10:52:00,2025-06-05 10:53:00,2025-06-05,21709.06,21722.0,21670.25,21686.0,1,21724.0,21679.19,21724.0,2025-06-05 10:54:00,loss,14.94,-14.94,-1.0,28.81,-16.44
step1_2_deep_retrace,2025-06-06 10:43:00,2025-06-06 10:48:00,2025-06-06,21772.06,21777.25,21756.5,21759.0,5,21779.25,21757.69,21757.69,2025-06-06 10:52:00,win,7.19,14.38,2.0,19.06,-4.94
step1_2_deep_retrace,2025-06-06 10:55:00,2025-06-06 10:57:00,2025-06-06,21745.44,21752.25,21725.0,21728.5,2,21754.25,21727.81,21754.25,2025-06-06 10:58:00,loss,8.81,-8.81,-1.0,9.69,-9.56
step1_2_deep_retrace,2025-06-09 10:08:00,2025-06-09 10:13:00,2025-06-09,21832.19,21835.5,21822.25,21822.25,5,21837.5,21821.56,21821.56,2025-06-09 10:17:00,win,5.31,10.62,2.0,13.69,-4.81
step1_2_deep_retrace,2025-06-11 09:48:00,2025-06-11 09:51:00,2025-06-11,22002.69,22009.5,21982.25,21986.25,3,22011.5,21985.06,22011.5,2025-06-11 09:53:00,loss,8.81,-8.81,-1.0,8.19,-9.81
step1_2_deep_retrace,2025-06-11 10:06:00,2025-06-11 10:09:00,2025-06-11,21981.69,21986.75,21966.5,21966.5,3,21988.75,21967.56,21967.56,2025-06-11 10:10:00,win,7.06,14.12,2.0,40.19,-0.06
step1_2_deep_retrace,2025-06-11 10:10:00,2025-06-11 10:14:00,2025-06-11,21966.81,21975.25,21941.5,21943.0,4,21977.25,21945.94,21945.94,2025-06-11 10:17:00,win,10.44,20.88,2.0,24.06,-2.44
step1_2_deep_retrace,2025-06-12 09:24:00,2025-06-12 09:29:00,2025-06-12,21914.56,21920.25,21897.5,21902.0,5,21922.25,21899.19,21922.25,2025-06-12 09:30:00,loss,7.69,-7.69,-1.0,10.06,-10.44
step1_2_deep_retrace,2025-06-13 11:16:00,2025-06-13 11:17:00,2025-06-13,21773.62,21779.5,21756.0,21759.5,1,21781.5,21757.88,21757.88,2025-06-13 11:17:00,win,7.88,15.75,2.0,17.12,-4.38
step1_2_deep_retrace,2025-06-16 09:26:00,2025-06-16 09:27:00,2025-06-16,21982.81,21989.25,21963.5,21967.0,1,21991.25,21965.94,21991.25,2025-06-16 09:27:00,loss,8.44,-8.44,-1.0,0.0,-211.94
step1_2_deep_retrace,2025-06-19 09:58:00,2025-06-19 10:01:00,2025-06-19,21692.62,21697.0,21679.5,21680.75,3,21699.0,21679.88,21699.0,2025-06-19 10:03:00,loss,6.38,-6.38,-1.0,7.38,-10.38
step1_2_deep_retrace,2025-06-19 10:58:00,2025-06-19 16:00:00,2025-06-19,21715.0,21718.75,21703.75,21704.5,2,21720.75,21703.5,21720.75,2025-06-19 16:00:00,loss,5.75,-5.75,-1.0,0.0,-96.75
step1_2_deep_retrace,2025-06-20 09:00:00,2025-06-20 09:05:00,2025-06-20,21808.44,21818.5,21778.25,21782.0,5,21820.5,21784.31,21784.31,2025-06-20 09:05:00,win,12.06,24.12,2.0,29.94,-10.31
step1_2_deep_retrace,2025-06-23 09:41:00,2025-06-23 09:43:00,2025-06-23,21944.75,21951.75,21923.75,21924.25,2,21953.75,21926.75,21953.75,2025-06-23 09:51:00,loss,9.0,-9.0,-1.0,11.0,-18.75
step1_2_deep_retrace,2025-06-23 10:17:00,2025-06-23 10:19:00,2025-06-23,21927.38,21932.5,21912.0,21914.0,2,21934.5,21913.12,21913.12,2025-06-23 10:20:00,win,7.12,14.25,2.0,19.38,-2.12
step1_2_deep_retrace,2025-06-23 10:34:00,2025-06-23 10:38:00,2025-06-23,21813.56,21820.25,21793.5,21796.25,4,21822.25,21796.19,21796.19,2025-06-23 10:38:00,win,8.69,17.38,2.0,46.81,-1.44
