stage,signal_time,entry_time,date,entry,signal_high,signal_low,signal_close,stop,target,exit_price,exit_time,outcome,risk_points,pnl_points,rr,mfe,mae
step1_market,2025-05-08 08:53:00,2025-05-08 08:54:00,2025-05-08,20037.25,20087.5,20028.25,20038.75,20089.5,19932.75,20089.5,2025-05-08 09:15:00,loss,52.25,-52.25,-1.0,58.25,-56.75
step1_market,2025-05-08 08:55:00,2025-05-08 08:56:00,2025-05-08,19988.25,20028.0,19979.0,19989.75,20030.0,19904.75,20030.0,2025-05-08 08:57:00,loss,41.75,-41.75,-1.0,6.25,-44.75
step1_market,2025-05-09 10:39:00,2025-05-09 10:40:00,2025-05-09,20108.75,20124.5,20106.25,20108.75,20126.5,20073.25,20073.25,2025-05-09 10:49:00,win,17.75,35.5,2.0,36.75,-14.25
step1_market,2025-05-09 10:48:00,2025-05-09 10:49:00,2025-05-09,20082.5,20105.75,20080.25,20082.5,20107.75,20032.0,20107.75,2025-05-09 10:54:00,loss,25.25,-25.25,-1.0,10.5,-25.25
step1_market,2025-05-09 11:14:00,2025-05-09 11:15:00,2025-05-09,20083.0,20103.25,20081.0,20083.25,20105.25,20038.5,20105.25,2025-05-09 11:16:00,loss,22.25,-22.25,-1.0,0.5,-26.5
step1_market,2025-05-14 11:16:00,2025-05-14 11:17:00,2025-05-14,21325.5,21344.0,21321.5,21326.25,21346.0,21284.5,21284.5,2025-05-14 11:22:00,win,20.5,41.0,2.0,41.5,-11.75
step1_market,2025-05-15 08:49:00,2025-05-15 08:50:00,2025-05-15,21294.5,21318.75,21294.25,21294.75,21320.75,21242.0,21320.75,2025-05-15 08:55:00,loss,26.25,-26.25,-1.0,12.0,-33.0
step1_market,2025-05-16 08:44:00,2025-05-16 08:45:00,2025-05-16,21326.75,21349.75,21322.25,21326.75,21351.75,21276.75,21351.75,2025-05-16 08:45:00,loss,25.0,-25.0,-1.0,6.5,-29.25
step1_market,2025-05-21 11:17:00,2025-05-21 11:18:00,2025-05-21,21389.75,21419.5,21388.5,21390.0,21421.5,21326.25,21326.25,2025-05-21 11:20:00,win,31.75,63.5,2.0,70.75,0.0
step1_market,2025-05-21 11:18:00,2025-05-21 11:19:00,2025-05-21,21358.0,21389.75,21354.0,21358.75,21391.75,21290.5,21290.5,2025-05-21 11:23:00,win,33.75,67.5,2.0,76.75,-22.75
step1_market,2025-05-21 11:20:00,2025-05-21 11:21:00,2025-05-21,21321.0,21379.25,21319.0,21321.0,21381.25,21200.5,21200.5,2025-05-21 11:29:00,win,60.25,120.5,2.0,126.25,-19.25
step1_market,2025-05-21 11:22:00,2025-05-21 11:23:00,2025-05-21,21296.25,21332.0,21292.5,21297.25,21334.0,21220.75,21220.75,2025-05-21 11:26:00,win,37.75,75.5,2.0,76.75,-19.0
step1_market,2025-05-21 11:24:00,2025-05-21 11:25:00,2025-05-21,21271.25,21309.5,21262.25,21271.5,21311.5,21190.75,21190.75,2025-05-21 11:30:00,win,40.25,80.5,2.0,111.75,-7.75
step1_market,2025-05-22 08:43:00,2025-05-22 08:44:00,2025-05-22,21219.5,21262.0,21217.25,21220.0,21264.0,21130.5,21264.0,2025-05-22 09:24:00,loss,44.5,-44.5,-1.0,53.0,-48.25
step1_market,2025-05-22 10:56:00,2025-05-22 10:57:00,2025-05-22,21211.0,21234.75,21208.75,21211.0,21236.75,21159.5,21236.75,2025-05-22 11:17:00,loss,25.75,-25.75,-1.0,14.75,-28.0
step1_market,2025-05-23 10:04:00,2025-05-23 10:05:00,2025-05-23,20929.75,20974.5,20924.75,20929.5,20976.5,20836.25,20976.5,2025-05-23 10:24:00,loss,46.75,-46.75,-1.0,12.0,-48.0
step1_market,2025-05-26 08:30:00,2025-05-26 08:31:00,2025-05-26,21248.25,21268.5,21240.75,21249.75,21270.5,21203.75,21270.5,2025-05-26 09:43:00,loss,22.25,-22.25,-1.0,32.75,-23.0
step1_market,2025-05-26 08:35:00,2025-05-26 08:36:00,2025-05-26,21238.0,21247.5,21232.75,21235.75,21249.5,21215.0,21249.5,2025-05-26 09:29:00,loss,11.5,-11.5,-1.0,22.5,-16.5
step1_market,2025-05-28 09:14:00,2025-05-28 09:15:00,2025-05-28,21438.5,21454.25,21436.5,21438.75,21456.25,21403.0,21456.25,2025-05-28 09:18:00,loss,17.75,-17.75,-1.0,0.0,-21.75
step1_market,2025-05-30 10:16:00,2025-05-30 10:17:00,2025-05-30,21293.75,21320.5,21291.0,21293.75,21322.5,21236.25,21236.25,2025-05-30 10:27:00,win,28.75,57.5,2.0,74.25,-1.5
step1_market,2025-05-30 10:27:00,2025-05-30 10:28:00,2025-05-30,21224.25,21252.0,21219.5,21224.5,21254.0,21164.75,21164.75,2025-05-30 10:28:00,win,29.75,59.5,2.0,61.75,0.0
step1_market,2025-06-05 10:45:00,2025-06-05 10:46:00,2025-06-05,21772.75,21802.0,21764.25,21773.0,21804.0,21710.25,21710.25,2025-06-05 10:49:00,win,31.25,62.5,2.0,65.25,0.0
step1_market,2025-06-05 10:47:00,2025-06-05 10:48:00,2025-06-05,21739.75,21758.5,21731.0,21740.25,21760.5,21698.25,21698.25,2025-06-05 10:52:00,win,20.75,41.5,2.0,69.5,-2.0
step1_market,2025-06-05 10:48:00,2025-06-05 10:49:00,2025-06-05,21719.5,21740.0,21713.0,21719.5,21742.0,21674.5,21674.5,2025-06-05 10:52:00,win,22.5,45.0,2.0,49.25,-22.25
step1_market,2025-06-05 10:52:00,2025-06-05 10:53:00,2025-06-05,21686.0,21722.0,21670.25,21686.0,21724.0,21610.0,21724.0,2025-06-05 10:54:00,loss,38.0,-38.0,-1.0,5.75,-39.5
step1_market,2025-06-06 10:43:00,2025-06-06 10:44:00,2025-06-06,21758.0,21777.25,21756.5,21759.0,21779.25,21715.5,21779.25,2025-06-06 11:19:00,loss,21.25,-21.25,-1.0,36.0,-29.0
step1_market,2025-06-06 10:55:00,2025-06-06 10:56:00,2025-06-06,21728.5,21752.25,21725.0,21728.5,21754.25,21677.0,21754.25,2025-06-06 10:58:00,loss,25.75,-25.75,-1.0,6.5,-26.5
step1_market,2025-06-09 10:08:00,2025-06-09 10:09:00,2025-06-09,21822.25,21835.5,21822.25,21822.25,21837.5,21791.75,21837.5,2025-06-09 10:22:00,loss,15.25,-15.25,-1.0,6.75,-17.25
step1_market,2025-06-10 09:30:00,2025-06-10 09:31:00,2025-06-10,21845.75,21857.75,21845.0,21845.5,21859.75,21817.75,21817.75,2025-06-10 09:32:00,win,14.0,28.0,2.0,62.75,-1.25
step1_market,2025-06-11 09:48:00,2025-06-11 09:49:00,2025-06-11,21985.75,22009.5,21982.25,21986.25,22011.5,21934.25,22011.5,2025-06-11 09:53:00,loss,25.75,-25.75,-1.0,8.75,-26.75
step1_market,2025-06-11 10:06:00,2025-06-11 10:07:00,2025-06-11,21967.25,21986.75,21966.5,21966.5,21988.75,21924.25,21924.25,2025-06-11 10:20:00,win,21.5,43.0,2.0,43.5,-14.5
step1_market,2025-06-11 10:10:00,2025-06-11 10:11:00,2025-06-11,21942.75,21975.25,21941.5,21943.0,21977.25,21873.75,21977.25,2025-06-11 10:29:00,loss,34.5,-34.5,-1.0,34.75,-37.0
step1_market,2025-06-12 09:24:00,2025-06-12 09:25:00,2025-06-12,21901.5,21920.25,21897.5,21902.0,21922.25,21860.0,21922.25,2025-06-12 09:30:00,loss,20.75,-20.75,-1.0,12.0,-23.5
step1_market,2025-06-13 11:16:00,2025-06-13 11:17:00,2025-06-13,21759.0,21779.5,21756.0,21759.5,21781.5,21714.0,21781.5,2025-06-13 11:18:00,loss,22.5,-22.5,-1.0,2.5,-26.5
