signal_time,entry_time,trade_date,year,month,day_of_week,hour,minute,side,entry_price,stop_price,target_price,risk_points,result_points,result_rr,exit_reason,bars_held,fill_bars,mfe_points,mae_points,lower_wick_pct,body_pct,range_expansion_20,rel_vol_20
2018-10-12T10:08:00.000000,2018-10-12T10:09:00.000000,2018-10-12,2018,2018-10,5,10,9,short,7093.44,7100.25,7079.81,6.81,13.62,2.0,target,1,1,13.69,-3.06,0.05194805194805195,0.9090909090909091,1.9395465994962215,1.5825852069595614
2020-02-21T08:49:00.000000,2020-02-21T08:50:00.000000,2020-02-21,2020,2020-02,5,8,50,short,9501.44,9510.0,9484.31,8.56,17.12,2.0,target,1,1,18.94,-5.56,0.05714285714285714,0.8952380952380953,1.8551236749116606,1.6803690908295799
2020-03-20T10:09:00.000000,2020-03-20T10:10:00.000000,2020-03-20,2020,2020-03,5,10,10,short,7222.12,7232.75,7200.88,10.62,21.25,2.0,target,1,1,25.38,-8.38,0.050724637681159424,0.9130434782608695,1.5628539071347678,1.6993815541812316
2020-04-16T10:36:00.000000,2020-04-16T10:37:00.000000,2020-04-16,2020,2020-04,4,10,37,short,8624.75,8633.25,8607.75,8.5,17.0,2.0,target,1,1,17.5,-0.75,0.057692307692307696,0.9423076923076923,1.7232808616404307,1.1513282135213396
2020-06-26T08:50:00.000000,2020-06-26T08:51:00.000000,2020-06-26,2020,2020-06,5,8,51,short,9869.56,9877.75,9853.19,8.19,-8.19,-1.0,stop_same_bar,1,1,16.81,-14.44,0.06060606060606061,0.8080808080808081,1.5068493150684932,1.6703399279176498
2020-08-27T10:53:00.000000,2020-08-27T10:54:00.000000,2020-08-27,2020,2020-08,4,10,54,short,11854.81,11863.5,11837.44,8.69,-8.69,-1.0,stop_same_bar,1,1,17.56,-11.94,0.09345794392523364,0.8317757009345794,1.671875,1.610952380952381
2020-12-02T08:40:00.000000,2020-12-02T08:41:00.000000,2020-12-02,2020,2020-12,3,8,41,short,12352.56,12362.5,12332.69,9.94,19.88,2.0,target,1,1,25.31,-1.19,0.10236220472440945,0.6614173228346457,2.8159645232815964,2.828945491885108
2020-12-15T10:07:00.000000,2020-12-15T10:08:00.000000,2020-12-15,2020,2020-12,2,10,8,short,12485.5,12492.0,12472.5,6.5,-6.5,-1.0,stop,4,1,12.75,-8.5,0.08333333333333333,0.7916666666666666,1.8556701030927836,1.917561255428993
2021-11-09T10:13:00.000000,2021-11-09T10:14:00.000000,2021-11-09,2021,2021-11,2,10,14,short,16231.5,16240.5,16213.5,9.0,18.0,2.0,target,1,1,19.5,-2.75,0.044642857142857144,0.7232142857142857,2.083720930232558,1.940007170457714
2021-11-10T08:37:00.000000,2021-11-10T08:38:00.000000,2021-11-10,2021,2021-11,3,8,38,short,16101.81,16110.25,16084.94,8.44,16.88,2.0,target,1,1,18.56,-2.44,0.0970873786407767,0.8058252427184466,1.5535444947209653,1.3609436707545208
2021-12-01T08:32:00.000000,2021-12-01T08:33:00.000000,2021-12-01,2021,2021-12,3,8,33,short,16313.44,16320.0,16300.31,6.56,13.12,2.0,target,1,1,14.44,-2.56,0.0958904109589041,0.821917808219178,2.085714285714286,3.6979192906443648
2021-12-03T08:54:00.000000,2021-12-03T08:55:00.000000,2021-12-03,2021,2021-12,5,8,55,short,15869.62,15883.75,15841.38,14.12,28.25,2.0,target,1,1,36.12,-8.38,0.020618556701030927,0.8144329896907216,1.603968582058702,1.4185875208853596
2021-12-16T08:33:00.000000,2021-12-16T08:34:00.000000,2021-12-16,2021,2021-12,4,8,34,short,16310.75,16321.25,16289.75,10.5,21.0,2.0,target,1,1,25.25,-2.0,0.07352941176470588,0.7132352941176471,2.7227227227227226,3.2408548243191575
2021-12-17T10:46:00.000000,2021-12-17T10:47:00.000000,2021-12-17,2021,2021-12,5,10,47,short,15790.56,15801.25,15769.19,10.69,21.38,2.0,target,1,1,26.06,-3.69,0.03597122302158273,0.9640287769784173,1.883468834688347,1.451861931803313
2021-12-30T08:42:00.000000,2021-12-30T08:43:00.000000,2021-12-30,2021,2021-12,4,8,43,short,16467.44,16474.75,16452.81,7.31,14.62,2.0,target,1,1,18.19,-1.31,0.023529411764705882,0.8823529411764706,1.5426497277676952,1.5547175181443005
