label,trades,wins,losses,winrate,net_points,avg_trade,profit_factor,max_dd,first_trade,last_trade
lower_wick_pct_lt_q20_0.05769,26,23,3,88.46,378.5,14.56,15.63,-10.38,2018-10-12 10:09:00,2026-03-18 10:36:00
lower_wick_pct_lt_q25_0.07921,33,29,4,87.88,496.31,15.04,15.57,-10.38,2018-10-12 10:09:00,2026-03-18 10:36:00
lower_wick_pct_lt_q30_0.09091,39,33,6,84.62,559.88,14.36,12.11,-14.69,2018-10-12 10:09:00,2026-03-18 10:36:00
body_pct_gt_q80_0.84967,26,20,6,76.92,318.61,12.25,7.45,-21.88,2018-10-12 10:09:00,2026-03-18 10:36:00
lower_wick_pct_lt_q40_0.11628,52,39,13,75.0,612.5,11.78,6.71,-23.94,2018-10-12 10:09:00,2026-03-18 10:36:00
rel_vol_20_gt_q80_3.23446,26,20,6,76.92,334.31,12.86,6.45,-13.19,2019-08-29 08:38:00,2026-01-08 08:32:00
rel_vol_20_lt_q30_1.55776,39,29,10,74.36,441.45,11.32,6.31,-14.19,2020-04-03 10:33:00,2026-05-05 10:32:00
body_pct_gt_q75_0.84043,32,23,9,71.88,360.6,11.27,5.69,-28.44,2018-10-12 10:09:00,2026-03-18 10:36:00
range_expansion_20_lt_q25_1.61596,33,23,10,69.7,341.25,10.34,5.57,-15.19,2020-02-27 08:33:00,2026-02-26 08:46:00
lower_wick_pct_lt_q50_0.13757,65,46,19,70.77,675.12,10.39,5.36,-33.25,2018-10-12 10:09:00,2026-03-18 10:36:00
range_expansion_20_lt_q20_1.59057,26,18,8,69.23,259.62,9.99,5.28,-15.19,2020-03-20 10:10:00,2026-02-26 08:46:00
risk_points_gt_q70_9.88,39,28,11,71.79,577.71,14.81,5.26,-45.94,2019-08-29 08:38:00,2026-03-16 08:48:00
rel_vol_20_lt_q25_1.47237,33,23,10,69.7,338.94,10.27,5.08,-14.19,2020-04-03 10:33:00,2026-05-05 10:32:00
rel_vol_20_lt_q20_1.41718,26,18,8,69.23,258.12,9.93,5.03,-19.57,2020-04-03 10:33:00,2026-03-16 08:48:00
body_pct_gt_q60_0.79121,52,35,17,67.31,535.53,10.3,4.86,-30.82,2018-10-12 10:09:00,2026-03-18 10:36:00
risk_points_gt_q80_11.31,26,18,8,69.23,394.64,15.18,4.84,-39.37,2021-01-27 08:33:00,2026-03-16 08:48:00
range_expansion_20_lt_q30_1.68981,39,26,13,66.67,371.49,9.53,4.7,-21.75,2020-02-27 08:33:00,2026-02-26 08:46:00
risk_points_gt_q75_10.94,32,22,10,68.75,461.95,14.44,4.69,-35.56,2019-08-29 08:38:00,2026-03-16 08:48:00
rel_vol_20_lt_q40_1.73417,52,35,17,67.31,511.3,9.83,4.58,-31.07,2018-10-12 10:09:00,2026-05-05 10:32:00
lower_wick_pct_lt_q60_0.17,78,52,26,66.67,747.41,9.58,4.49,-33.25,2018-10-12 10:09:00,2026-03-18 10:36:00
lower_wick_pct_lt_q80_0.23684,104,69,35,66.35,980.61,9.43,4.43,-33.25,2018-10-12 10:09:00,2026-03-18 10:36:00
range_expansion_20_gt_q75_2.20826,32,22,10,68.75,338.93,10.59,4.41,-26.25,2018-12-06 08:34:00,2026-01-08 08:32:00
