feature,mean,median,min,max
bar1_body_pct,0.4189,0.4474,0.049,0.8644
bar2_body_pct,0.4504,0.449,0.0588,0.8824
bar3_body_pct,0.8511,0.8796,0.6614,0.9765
entry_body_pct,0.7021,0.7642,0.2723,0.9437
bar1_lower_wick_pct,0.3241,0.2769,0.0,0.951
bar2_lower_wick_pct,0.2425,0.1818,0.0068,0.6333
bar3_lower_wick_pct,0.0613,0.0556,0.0104,0.1125
entry_lower_wick_pct,0.0962,0.0776,0.0,0.2638
bar1_range_expansion,1.6411,1.418,0.5134,4.5591
bar2_range_expansion,1.4455,1.2782,0.4043,3.6316
bar3_range_expansion,2.1214,1.8551,1.5006,3.4649
entry_range_expansion,1.777,1.6097,1.2056,3.205
bar1_close,18424.3804,17974.5,7241.0,25787.5
bar2_close,18418.3587,17971.25,7228.75,25786.0
bar3_close,18392.7174,17948.0,7198.0,25758.5
entry_close,18411.5,17966.75,7228.75,25779.0
bar1_open,18426.6087,17971.75,7248.75,25782.25
bar2_open,18424.2826,17974.5,7240.75,25787.0
bar3_open,18418.337,17971.75,7229.5,25785.25
entry_open,18393.0326,17947.5,7199.25,25758.5
entry_dist_pdh,-211.9783,-192.75,-487.0,-64.25
entry_dist_vwap,-59.0983,-46.8487,-171.7073,-10.0311
entry_rel_vol,1.7774,1.598,0.8984,3.7442
