month,trades,wins,net_points,avg_rr,win_rate
2018-01,23,8,-23.5,0.043478260869565216,34.78
2018-02,22,8,9.5,0.09090909090909091,36.36
2018-03,34,9,-60.0,-0.20588235294117646,26.47
2018-04,19,4,-53.5,-0.3684210526315789,21.05
2018-05,10,3,-11.0,-0.1,30.0
2018-06,7,3,17.25,0.2857142857142857,42.86
2018-07,5,1,-7.25,-0.4,20.0
2018-08,7,1,-20.25,-0.5714285714285714,14.29
2018-09,11,3,-23.5,-0.18181818181818182,27.27
2018-10,37,18,102.0,0.4594594594594595,48.65
2018-11,23,8,-58.0,0.043478260869565216,34.78
2018-12,35,14,146.0,0.2,40.0
2019-01,18,7,2.5,0.16666666666666666,38.89
2019-02,17,5,-45.25,-0.11764705882352941,29.41
2019-03,17,3,-65.25,-0.47058823529411764,17.65
2019-04,8,1,-32.75,-0.625,12.5
2019-05,32,5,-191.0,-0.53125,15.62
2019-06,6,3,13.75,0.5,50.0
2019-07,5,2,8.75,0.2,40.0
2019-08,19,9,58.0,0.42105263157894735,47.37
2019-09,7,3,34.25,0.2857142857142857,42.86
2019-10,11,5,13.25,0.36363636363636365,45.45
2019-11,8,1,-31.75,-0.5225,12.5
2019-12,12,4,-3.0,0.0,33.33
2020-01,12,8,104.5,1.0,66.67
2020-02,27,10,8.0,0.1111111111111111,37.04
2020-03,35,9,-288.0,-0.22857142857142856,25.71
2020-04,35,17,141.75,0.45714285714285713,48.57
2020-05,27,9,7.0,0.0,33.33
2020-06,25,12,64.5,0.44,48.0
2020-07,35,9,-121.25,-0.22857142857142856,25.71
2020-08,17,3,-61.75,-0.47058823529411764,17.65
2020-09,64,26,294.75,0.2078125,40.62
2020-10,32,12,80.0,0.125,37.5
2020-11,28,10,48.75,0.07142857142857142,35.71
2020-12,29,12,51.25,0.2413793103448276,41.38
2021-01,27,5,-270.0,-0.4444444444444444,18.52
2021-02,39,21,305.75,0.6153846153846154,53.85
2021-03,57,17,-175.75,-0.10526315789473684,29.82
2021-04,25,8,6.75,-0.04,32.0
2021-05,30,10,38.25,0.0,33.33
2021-06,20,11,117.75,0.65,55.0
2021-07,23,6,-44.0,-0.21739130434782608,26.09
2021-08,26,6,-99.25,-0.3076923076923077,23.08
2021-09,51,12,-227.25,-0.29411764705882354,23.53
2021-10,18,6,15.25,-0.07833333333333334,33.33
2021-11,25,12,201.75,0.44,48.0
2021-12,73,27,17.0,0.12246575342465753,36.99
2022-01,75,29,-17.5,0.16,38.67
2022-02,51,13,-400.25,-0.2613725490196078,25.49
2022-03,63,29,407.5,0.38095238095238093,46.03
2022-04,66,26,123.75,0.1662121212121212,39.39
2022-05,57,15,-376.25,-0.21052631578947367,26.32
2022-06,68,23,9.5,0.014705882352941176,33.82
2022-07,37,13,-1.5,0.05405405405405406,35.14
2022-08,72,17,-354.5,-0.2916666666666667,23.61
2022-09,58,24,169.75,0.2413793103448276,41.38
2022-10,53,12,-354.25,-0.32075471698113206,22.64
2022-11,62,15,-456.0,-0.27419354838709675,24.19
2022-12,46,18,-11.75,0.17391304347826086,39.13
2023-01,56,20,-65.25,0.07142857142857142,35.71
2023-02,55,15,-321.75,-0.18181818181818182,27.27
2023-03,42,13,-30.75,-0.07142857142857142,30.95
2023-04,33,13,53.75,0.18181818181818182,39.39
2023-05,28,12,28.75,0.2857142857142857,42.86
2023-06,23,7,-26.25,-0.08695652173913043,30.43
2023-07,15,7,40.25,0.4,46.67
2023-08,45,12,-102.25,-0.2,26.67
2023-09,29,9,-23.0,-0.12931034482758622,31.03
2023-10,54,16,-1.25,-0.1111111111111111,29.63
2023-11,24,6,-159.0,-0.25,25.0
2023-12,18,5,-54.75,-0.26611111111111113,27.78
2024-01,40,17,217.5,0.275,42.5
2024-02,43,9,-233.5,-0.3597674418604651,20.93
2024-03,30,10,-52.75,0.0,33.33
2024-04,43,17,125.75,0.18604651162790697,39.53
2024-05,12,5,58.5,0.25,41.67
2024-06,28,5,-195.75,-0.4642857142857143,17.86
2024-07,63,29,451.5,0.38095238095238093,46.03
2024-08,31,13,108.0,0.25806451612903225,41.94
2024-09,26,7,-57.25,-0.19230769230769232,26.92
2024-10,44,15,12.5,0.022727272727272728,34.09
2024-11,53,19,-123.25,0.0013207547169811333,35.85
2024-12,44,11,-392.5,-0.25,25.0
2025-01,54,17,-39.5,-0.05555555555555555,31.48
2025-02,37,9,-348.5,-0.2481081081081081,24.32
2025-03,64,29,628.75,0.34640625,45.31
2025-04,53,20,-42.25,0.1320754716981132,37.74
2025-05,31,11,28.75,0.06451612903225806,35.48
2025-06,18,5,-114.5,-0.16666666666666666,27.78
2025-07,38,10,-176.0,-0.21052631578947367,26.32
2025-08,51,14,-176.5,-0.17647058823529413,27.45
2025-09,38,17,114.0,0.3671052631578947,44.74
2025-10,38,16,157.5,0.2631578947368421,42.11
2025-11,55,22,311.25,0.2,40.0
2025-12,61,20,-0.5,-0.024426229508196725,32.79
2026-01,51,12,-577.5,-0.29411764705882354,23.53
2026-02,83,30,304.25,0.08433734939759036,36.14
2026-03,80,31,-25.5,0.16924999999999998,38.75
2026-04,22,9,37.75,0.22727272727272727,40.91
2026-05,4,1,-47.25,-0.25,25.0
