date,entry_time,entry,stop,target,exit_price,outcome,risk_points,pnl_points,rr,mfe,mae,quality_score,year,month
2018-01-08,2018-01-08 09:09:00,6661.25,6669.0,6645.75,6669.0,loss,7.75,-7.75,-1.0,1.5,-8.25,9,2018,2018-01
2018-01-10,2018-01-10 08:31:00,6649.5,6663.5,6621.5,6663.5,loss,14.0,-14.0,-1.0,0.5,-17.0,9,2018,2018-01
2018-01-10,2018-01-10 08:42:00,6657.0,6663.75,6643.5,6663.75,loss,6.75,-6.75,-1.0,4.0,-7.75,9,2018,2018-01
2018-01-10,2018-01-10 08:48:00,6655.0,6659.75,6645.5,6645.5,win,4.75,9.5,2.0,11.0,-2.5,9,2018,2018-01
2018-01-10,2018-01-10 08:53:00,6639.0,6648.5,6620.0,6648.5,loss,9.5,-9.5,-1.0,10.75,-9.5,9,2018,2018-01
2018-01-15,2018-01-15 09:03:00,6776.75,6779.25,6771.75,6779.25,loss,2.5,-2.5,-1.0,0.0,-4.25,9,2018,2018-01
2018-01-15,2018-01-15 09:24:00,6780.25,6782.25,6776.25,6782.25,loss,2.0,-2.0,-1.0,2.75,-2.5,9,2018,2018-01
2018-01-15,2018-01-15 10:14:00,6780.25,6782.0,6776.75,6782.0,loss,1.75,-1.75,-1.0,0.75,-1.75,9,2018,2018-01
2018-01-15,2018-01-15 10:17:00,6780.75,6782.5,6777.25,6777.25,win,1.75,3.5,2.0,4.5,-1.25,9,2018,2018-01
2018-01-15,2018-01-15 10:27:00,6780.0,6782.25,6775.5,6775.5,win,2.25,4.5,2.0,4.5,-0.5,9,2018,2018-01
2018-01-18,2018-01-18 08:31:00,6811.25,6818.75,6796.25,6818.75,loss,7.5,-7.5,-1.0,0.0,-9.25,9,2018,2018-01
2018-01-18,2018-01-18 08:35:00,6811.0,6820.25,6792.5,6820.25,loss,9.25,-9.25,-1.0,0.75,-10.75,9,2018,2018-01
2018-01-18,2018-01-18 08:45:00,6813.75,6822.25,6796.75,6822.25,loss,8.5,-8.5,-1.0,2.25,-8.5,9,2018,2018-01
2018-01-18,2018-01-18 08:52:00,6813.25,6820.0,6799.75,6820.0,loss,6.75,-6.75,-1.0,1.75,-7.5,9,2018,2018-01
2018-01-18,2018-01-18 09:01:00,6815.0,6821.25,6802.5,6802.5,win,6.25,12.5,2.0,12.5,-0.5,9,2018,2018-01
2018-01-18,2018-01-18 10:00:00,6811.5,6817.5,6799.5,6817.5,loss,6.0,-6.0,-1.0,3.0,-6.75,9,2018,2018-01
2018-01-18,2018-01-18 10:29:00,6812.75,6819.75,6798.75,6819.75,loss,7.0,-7.0,-1.0,0.5,-8.25,9,2018,2018-01
2018-01-18,2018-01-18 10:40:00,6813.25,6817.5,6804.75,6804.75,win,4.25,8.5,2.0,10.5,-1.25,9,2018,2018-01
2018-01-23,2018-01-23 08:58:00,6940.75,6950.0,6922.25,6950.0,loss,9.25,-9.25,-1.0,0.0,-13.25,9,2018,2018-01
2018-01-25,2018-01-25 09:08:00,6929.5,6937.5,6913.5,6937.5,loss,8.0,-8.0,-1.0,11.25,-9.0,9,2018,2018-01
2018-01-25,2018-01-25 09:38:00,6941.75,6948.0,6929.25,6929.25,win,6.25,12.5,2.0,17.75,-2.5,9,2018,2018-01
2018-01-29,2018-01-29 08:44:00,7014.5,7022.25,6999.0,6999.0,win,7.75,15.5,2.0,17.5,-5.75,9,2018,2018-01
2018-01-30,2018-01-30 08:47:00,6929.25,6937.5,6912.75,6912.75,win,8.25,16.5,2.0,17.25,-2.25,9,2018,2018-01
2018-02-01,2018-02-01 08:41:00,6935.5,6943.75,6919.0,6943.75,loss,8.25,-8.25,-1.0,13.0,-8.75,9,2018,2018-02
2018-02-02,2018-02-02 09:02:00,6826.75,6838.25,6803.75,6803.75,win,11.5,23.0,2.0,23.75,-7.75,9,2018,2018-02
2018-02-02,2018-02-02 09:17:00,6833.5,6841.25,6818.0,6841.25,loss,7.75,-7.75,-1.0,6.25,-8.25,9,2018,2018-02
2018-02-02,2018-02-02 09:31:00,6840.75,6849.5,6823.25,6849.5,loss,8.75,-8.75,-1.0,4.0,-8.75,9,2018,2018-02
2018-02-02,2018-02-02 10:16:00,6857.5,6864.75,6843.0,6843.0,win,7.25,14.5,2.0,16.5,-1.0,9,2018,2018-02
2018-02-02,2018-02-02 10:17:00,6851.25,6859.5,6834.75,6834.75,win,8.25,16.5,2.0,17.0,-1.0,9,2018,2018-02
2018-02-02,2018-02-02 11:00:00,6828.75,6836.5,6813.25,6836.5,loss,7.75,-7.75,-1.0,8.75,-9.0,9,2018,2018-02
2018-02-06,2018-02-06 09:36:00,6441.25,6459.0,6405.75,6459.0,loss,17.75,-17.75,-1.0,18.75,-32.5,9,2018,2018-02
2018-02-08,2018-02-08 10:37:00,6482.75,6493.25,6461.75,6493.25,loss,10.5,-10.5,-1.0,5.75,-20.75,9,2018,2018-02
2018-02-08,2018-02-08 10:41:00,6487.5,6498.0,6466.5,6498.0,loss,10.5,-10.5,-1.0,14.5,-11.75,9,2018,2018-02
2018-02-08,2018-02-08 10:54:00,6506.5,6515.0,6489.5,6489.5,win,8.5,17.0,2.0,17.25,-5.25,9,2018,2018-02
2018-02-08,2018-02-08 10:57:00,6501.25,6509.75,6484.25,6509.75,loss,8.5,-8.5,-1.0,9.25,-9.0,9,2018,2018-02
2018-02-09,2018-02-09 10:06:00,6353.0,6370.25,6318.5,6318.5,win,17.25,34.5,2.0,36.5,-6.75,9,2018,2018-02
2018-02-09,2018-02-09 10:17:00,6316.25,6331.0,6286.75,6331.0,loss,14.75,-14.75,-1.0,10.75,-15.5,9,2018,2018-02
2018-02-13,2018-02-13 08:35:00,6494.25,6505.5,6471.75,6505.5,loss,11.25,-11.25,-1.0,18.25,-16.75,9,2018,2018-02
