signal_time,entry_time,year,month,hour,minute,entry,stop,target,risk,result_points,exit_reason,bars_held,stage1_lower_wick_pct,stage1_range_expansion,stage2_body_pct,stage2_lower_wick_pct,dist_pdh,dist_vwap
2018-01-25T13:53:00.000000,2018-01-25T13:54:00.000000,2018,2018-01,13,54,6910.5,6920.0,6891.5,9.5,-9.5,stop,2,0.32142857142857145,1.4177215189873418,0.46153846153846156,0.07692307692307693,-93.5,-35.84846788852519
2018-01-29T23:38:00.000000,2018-01-29T23:39:00.000000,2018,2018-01,23,39,6943.5,6948.0,6934.5,4.5,-4.5,stop,22,0.23076923076923078,1.8181818181818181,0.46153846153846156,0.0,-103.75,-21.99934392265186
2018-01-29T23:55:00.000000,2018-01-29T23:56:00.000000,2018,2018-01,23,56,6943.5,6946.0,6938.5,2.5,-2.5,stop,5,0.25,1.3008130081300813,0.5,0.0,-104.25,-22.105758479314318
2018-02-01T08:11:00.000000,2018-02-01T08:12:00.000000,2018,2018-02,8,12,6908.0,6913.5,6897.0,5.5,-5.5,stop,16,0.5142857142857142,1.8766756032171583,0.5,0.0,-82.5,-39.2500802063978
2018-02-01T15:06:00.000000,2018-02-01T15:07:00.000000,2018,2018-02,15,7,6906.25,6918.0,6882.75,11.75,-11.75,stop,11,0.2191780821917808,2.3856209150326797,0.8,0.08888888888888889,-85.0,-34.27287191598316
2018-02-02T03:16:00.000000,2018-02-02T03:17:00.000000,2018,2018-02,3,17,6891.0,6896.0,6881.0,5.0,10.0,target,5,0.21052631578947367,1.4022140221402213,0.6363636363636364,0.09090909090909091,-96.5,-33.0876570028131
2018-02-02T03:46:00.000000,2018-02-02T03:47:00.000000,2018,2018-02,3,47,6877.25,6881.0,6869.75,3.75,7.5,target,8,0.68,1.9455252918287937,0.6,0.0,-110.25,-41.03018566483479
2018-02-02T04:02:00.000000,2018-02-02T04:03:00.000000,2018,2018-02,4,3,6869.5,6873.25,6862.0,3.75,7.5,target,10,0.3684210526315789,1.3669064748201438,0.75,0.0,-118.25,-46.83865584070554
2018-02-02T04:11:00.000000,2018-02-02T04:12:00.000000,2018,2018-02,4,12,6865.0,6868.5,6858.0,3.5,7.0,target,3,0.2916666666666667,1.8532818532818534,0.5,0.1,-122.25,-49.2548739364438
2018-02-02T05:57:00.000000,2018-02-02T05:58:00.000000,2018,2018-02,5,58,6849.25,6852.0,6843.75,2.75,-2.75,stop,9,0.8181818181818182,1.4965986394557824,0.75,0.0,-138.5,-51.193598007617766
2018-02-02T06:01:00.000000,2018-02-02T06:02:00.000000,2018,2018-02,6,2,6849.0,6851.5,6844.0,2.5,-2.5,stop,5,0.6875,1.8823529411764706,0.8,0.0,-138.75,-50.88680248007131
2018-02-02T07:37:00.000000,2018-02-02T07:38:00.000000,2018,2018-02,7,38,6868.25,6870.75,6863.25,2.5,5.0,target,1,0.23076923076923078,2.047244094488189,0.7931034482758621,0.10344827586206896,-120.0,-23.505479129315063
2018-02-02T08:25:00.000000,2018-02-02T08:26:00.000000,2018,2018-02,8,26,6867.25,6872.0,6857.75,4.75,-4.75,stop,2,0.25,1.8122977346278317,0.6666666666666666,0.09523809523809523,-120.25,-20.46424411780663
2018-02-02T12:29:00.000000,2018-02-02T12:30:00.000000,2018,2018-02,12,30,6827.25,6835.25,6811.25,8.0,16.0,target,41,0.46153846153846156,1.2871287128712872,0.7727272727272727,0.045454545454545456,-160.25,-30.54896925968569
2018-02-02T13:15:00.000000,2018-02-02T13:16:00.000000,2018,2018-02,13,16,6812.0,6818.75,6798.5,6.75,13.5,target,13,0.4230769230769231,1.379310344827586,0.5263157894736842,0.05263157894736842,-175.5,-42.90140600192353
2018-02-02T15:30:00.000000,2018-02-02T15:31:00.000000,2018,2018-02,15,31,6761.5,6765.0,6754.5,3.5,7.0,target,13,0.40540540540540543,1.942257217847769,0.5217391304347826,0.08695652173913043,-227.0,-75.76815550853098
2018-02-02T15:58:00.000000,2018-02-02T15:59:00.000000,2018,2018-02,15,59,6753.0,6757.75,6743.5,4.75,-4.75,stop,2,0.3076923076923077,1.43646408839779,0.6666666666666666,0.0,-235.0,-83.52324374330783
