signal_time,entry_time,year,month,hour,minute,entry,stop,target,risk,result_points,exit_reason,bars_held,stage1_lower_wick_pct,stage1_range_expansion,stage2_body_pct,stage2_lower_wick_pct,dist_pdh,dist_vwap
2018-01-25T13:49:00.000000,2018-01-25T13:50:00.000000,2018,2018-01,13,50,6922.0,6925.75,6914.5,3.75,7.5,target,2,0.5161290322580645,1.901840490797546,0.8275862068965517,0.034482758620689655,-82.25,-25.027417917806815
2018-01-25T14:41:00.000000,2018-01-25T14:42:00.000000,2018,2018-01,14,42,6918.5,6921.25,6913.0,2.75,-2.75,stop,5,0.42857142857142855,1.381578947368421,0.875,0.041666666666666664,-85.5,-25.024198403265473
2018-01-29T23:38:00.000000,2018-01-29T23:39:00.000000,2018,2018-01,23,39,6943.5,6948.0,6934.5,4.5,-4.5,stop,22,0.23076923076923078,1.8181818181818181,0.46153846153846156,0.0,-103.75,-21.99934392265186
2018-02-01T08:11:00.000000,2018-02-01T08:12:00.000000,2018,2018-02,8,12,6908.0,6913.5,6897.0,5.5,-5.5,stop,16,0.5142857142857142,1.8766756032171583,0.5,0.0,-82.5,-39.2500802063978
2018-02-01T15:06:00.000000,2018-02-01T15:07:00.000000,2018,2018-02,15,7,6906.25,6918.0,6882.75,11.75,-11.75,stop,11,0.2191780821917808,2.3856209150326797,0.8,0.08888888888888889,-85.0,-34.27287191598316
2018-02-02T03:16:00.000000,2018-02-02T03:17:00.000000,2018,2018-02,3,17,6891.0,6896.0,6881.0,5.0,10.0,target,5,0.21052631578947367,1.4022140221402213,0.6363636363636364,0.09090909090909091,-96.5,-33.0876570028131
2018-02-02T03:46:00.000000,2018-02-02T03:47:00.000000,2018,2018-02,3,47,6877.25,6881.0,6869.75,3.75,7.5,target,8,0.68,1.9455252918287937,0.6,0.0,-110.25,-41.03018566483479
2018-02-02T04:02:00.000000,2018-02-02T04:03:00.000000,2018,2018-02,4,3,6869.5,6873.25,6862.0,3.75,7.5,target,10,0.3684210526315789,1.3669064748201438,0.75,0.0,-118.25,-46.83865584070554
2018-02-02T04:11:00.000000,2018-02-02T04:12:00.000000,2018,2018-02,4,12,6865.0,6868.5,6858.0,3.5,7.0,target,3,0.2916666666666667,1.8532818532818534,0.5,0.1,-122.25,-49.2548739364438
2018-02-02T05:04:00.000000,2018-02-02T05:05:00.000000,2018,2018-02,5,5,6867.0,6870.0,6861.0,3.0,-3.0,stop,2,0.7777777777777778,1.3333333333333333,0.8235294117647058,0.058823529411764705,-120.5,-40.590670959384624
2018-02-02T05:37:00.000000,2018-02-02T05:38:00.000000,2018,2018-02,5,38,6849.75,6855.0,6839.25,5.25,-5.25,stop,30,0.8181818181818182,2.1463414634146343,0.8333333333333334,0.08333333333333333,-137.5,-53.33882095919034
2018-02-02T06:01:00.000000,2018-02-02T06:02:00.000000,2018,2018-02,6,2,6849.0,6851.5,6844.0,2.5,-2.5,stop,5,0.6875,1.8823529411764706,0.8,0.0,-138.75,-50.88680248007131
2018-02-02T06:41:00.000000,2018-02-02T06:42:00.000000,2018,2018-02,6,42,6869.75,6873.75,6861.75,4.0,-4.0,stop,3,0.2857142857142857,1.5469613259668507,0.8333333333333334,0.0,-117.75,-26.281046844776938
2018-02-02T07:37:00.000000,2018-02-02T07:38:00.000000,2018,2018-02,7,38,6868.25,6870.75,6863.25,2.5,5.0,target,1,0.23076923076923078,2.047244094488189,0.7931034482758621,0.10344827586206896,-120.0,-23.505479129315063
2018-02-02T08:25:00.000000,2018-02-02T08:26:00.000000,2018,2018-02,8,26,6867.25,6872.0,6857.75,4.75,-4.75,stop,2,0.25,1.8122977346278317,0.6666666666666666,0.09523809523809523,-120.25,-20.46424411780663
2018-02-02T09:06:00.000000,2018-02-02T09:07:00.000000,2018,2018-02,9,7,6819.0,6826.0,6805.0,7.0,-7.0,stop,2,0.4,1.6371077762619373,0.8723404255319149,0.02127659574468085,-168.5,-53.5304458069304
2018-02-02T12:29:00.000000,2018-02-02T12:30:00.000000,2018,2018-02,12,30,6827.25,6835.25,6811.25,8.0,16.0,target,41,0.46153846153846156,1.2871287128712872,0.7727272727272727,0.045454545454545456,-160.25,-30.54896925968569
2018-02-02T13:15:00.000000,2018-02-02T13:16:00.000000,2018,2018-02,13,16,6812.0,6818.75,6798.5,6.75,13.5,target,13,0.4230769230769231,1.379310344827586,0.5263157894736842,0.05263157894736842,-175.5,-42.90140600192353
2018-02-02T13:20:00.000000,2018-02-02T13:21:00.000000,2018,2018-02,13,21,6813.25,6815.5,6808.75,2.25,4.5,target,2,0.6,1.3020833333333335,0.8461538461538461,0.07692307692307693,-174.75,-41.40279669126903
2018-02-02T15:30:00.000000,2018-02-02T15:31:00.000000,2018,2018-02,15,31,6761.5,6765.0,6754.5,3.5,7.0,target,13,0.40540540540540543,1.942257217847769,0.5217391304347826,0.08695652173913043,-227.0,-75.76815550853098
2018-02-05T06:31:00.000000,2018-02-05T06:32:00.000000,2018,2018-02,6,32,6709.75,6713.5,6702.25,3.75,-3.75,stop,8,0.36,1.7123287671232876,0.6666666666666666,0.06666666666666667,-253.5,-23.821050458026548
2018-02-05T06:46:00.000000,2018-02-05T06:47:00.000000,2018,2018-02,6,47,6691.75,6699.25,6676.75,7.5,-7.5,stop,12,0.2727272727272727,1.4814814814814816,0.6666666666666666,0.0,-272.25,-41.03330907741929
2018-02-05T12:04:00.000000,2018-02-05T12:05:00.000000,2018,2018-02,12,5,6715.25,6725.25,6695.25,10.0,20.0,target,15,0.30952380952380953,1.4867256637168142,0.7407407407407407,0.0,-248.25,-32.9298446473922
2018-02-05T12:07:00.000000,2018-02-05T12:08:00.000000,2018,2018-02,12,8,6712.0,6720.0,6696.0,8.0,16.0,target,12,0.37777777777777777,1.5517241379310345,0.84,0.04,-251.75,-36.06308506708774
2018-02-05T12:40:00.000000,2018-02-05T12:41:00.000000,2018,2018-02,12,41,6706.25,6714.25,6690.25,8.0,-8.0,stop,11,0.20930232558139536,1.360759493670886,0.851063829787234,0.0425531914893617,-257.25,-36.711388491106845
2018-02-05T13:16:00.000000,2018-02-05T13:17:00.000000,2018,2018-02,13,17,6699.75,6707.5,6684.25,7.75,15.5,target,8,0.23809523809523808,1.5789473684210527,0.75,0.10714285714285714,-264.25,-41.38676624227537
