signal_time,entry_time,year,month,hour,minute,entry,stop,target,risk,result_points,exit_reason,bars_held,stage1_lower_wick_pct,stage1_range_expansion,stage2_body_pct,stage2_lower_wick_pct,dist_pdh,dist_vwap
2018-02-02T03:46:00.000000,2018-02-02T03:47:00.000000,2018,2018-02,3,47,6877.25,6881.0,6869.75,3.75,7.5,target,8,0.68,1.9455252918287937,0.6,0.0,-110.25,-41.03018566483479
2018-02-02T15:30:00.000000,2018-02-02T15:31:00.000000,2018,2018-02,15,31,6761.5,6765.0,6754.5,3.5,7.0,target,13,0.40540540540540543,1.942257217847769,0.5217391304347826,0.08695652173913043,-227.0,-75.76815550853098
2018-02-05T17:01:00.000000,2018-02-05T17:02:00.000000,2018,2018-02,17,2,6488.0,6494.25,6475.5,6.25,12.5,target,2,0.5495495495495496,2.4503311258278146,0.5853658536585366,0.0,-325.5,-191.94178682041093
2018-02-07T17:39:00.000000,2018-02-07T17:40:00.000000,2018,2018-02,17,40,6500.5,6507.75,6486.0,7.25,-7.25,stop,2,0.6774193548387096,1.9076923076923078,0.5714285714285714,0.09523809523809523,-217.75,-141.0988821249066
2018-02-08T11:28:00.000000,2018-02-08T11:29:00.000000,2018,2018-02,11,29,6453.75,6460.5,6440.25,6.75,-6.75,stop,2,0.4107142857142857,1.7665615141955837,0.5681818181818182,0.06818181818181818,-263.25,-83.38861663075932
2018-02-21T17:05:00.000000,2018-02-21T17:06:00.000000,2018,2018-02,17,6,6753.25,6755.75,6748.25,2.5,-2.5,stop,6,0.6086956521739131,1.8775510204081634,0.6923076923076923,0.07692307692307693,-133.25,-72.17703034756778
2018-03-06T17:47:00.000000,2018-03-06T17:48:00.000000,2018,2018-03,17,48,6828.0,6830.75,6822.5,2.75,-2.75,stop,7,0.36,1.976284584980237,0.6666666666666666,0.0,-111.25,-77.88587034230295
2018-03-27T23:08:00.000000,2018-03-27T23:09:00.000000,2018,2018-03,23,9,6529.5,6533.5,6521.5,4.0,8.0,target,10,0.8,1.762114537444934,0.7142857142857143,0.0,-320.75,-30.642727619774632
2018-06-21T16:48:00.000000,2018-06-21T16:49:00.000000,2018,2018-06,16,49,7226.5,7229.75,7220.0,3.25,-3.25,stop,12,0.5,1.7647058823529411,0.75,0.0,-109.75,-47.60287154814341
2018-06-21T17:05:00.000000,2018-06-21T17:06:00.000000,2018,2018-06,17,6,7229.5,7232.0,7224.5,2.5,-2.5,stop,31,0.4444444444444444,2.25,0.5,0.0,-129.25,-45.063666072063825
2018-07-03T17:38:00.000000,2018-07-03T17:39:00.000000,2018,2018-07,17,39,7030.75,7034.0,7024.25,3.25,6.5,target,13,0.4166666666666667,1.951219512195122,0.5,0.0,-134.25,-70.06904757906068
2018-10-10T16:02:00.000000,2018-10-10T16:03:00.000000,2018,2018-10,16,3,7019.0,7024.5,7008.0,5.5,-5.5,stop,3,0.4523809523809524,2.216358839050132,0.6764705882352942,0.08823529411764706,-437.0,-210.64680187694103
2018-10-24T16:05:00.000000,2018-10-24T16:06:00.000000,2018,2018-10,16,6,6854.0,6862.0,6838.0,8.0,-8.0,stop,21,0.4444444444444444,3.1395348837209305,0.6956521739130435,0.0,-309.75,-140.06490062739613
2018-11-12T07:05:00.000000,2018-11-12T07:06:00.000000,2018,2018-11,7,6,7007.25,7014.5,6992.75,7.25,14.5,target,8,0.4090909090909091,3.0136986301369864,0.5238095238095238,0.047619047619047616,-158.75,-50.14544534412926
2018-11-12T09:21:00.000000,2018-11-12T09:22:00.000000,2018,2018-11,9,22,6925.25,6937.75,6900.25,12.5,-12.5,stop,5,0.6326530612244898,1.821561338289963,0.6190476190476191,0.023809523809523808,-241.0,-59.95325372602292
2018-11-20T07:19:00.000000,2018-11-20T07:20:00.000000,2018,2018-11,7,20,6556.25,6563.5,6541.75,7.25,-7.25,stop,6,0.5,1.769041769041769,0.6666666666666666,0.0,-378.0,-51.452638057193326
2018-11-20T08:36:00.000000,2018-11-20T08:37:00.000000,2018,2018-11,8,37,6535.75,6545.25,6516.75,9.5,-9.5,stop,2,0.6705882352941176,1.9744483159117308,0.7014925373134329,0.014925373134328358,-399.25,-34.734927268154934
2018-12-14T02:36:00.000000,2018-12-14T02:37:00.000000,2018,2018-12,2,37,6674.0,6678.0,6666.0,4.0,8.0,target,2,0.42857142857142855,1.7573221757322177,0.75,0.0,-164.5,-37.58972392638043
