signal_time,entry_time,trade_date,year,month,day_of_week,hour,minute,side,entry_price,stop_price,target_price,risk_points,result_points,result_rr,exit_reason,bars_held,fill_bars,mfe_points,mae_points,lower_wick_pct,body_pct,range_expansion_20,rel_vol_20,atr_14,atr_50,dist_vwap,dist_vwap_day,dist_ema_20,dist_ema_50,dist_dol,dist_pdh,dist_pdl,dist_or_high_30m,dist_or_low_30m,or_range_30m,premarket_range,prior_day_range,liquidity_sweep_reclaim_count_last_30m,has_high_impact_usd_event,has_cpi,has_fomc,has_nfp,has_ppi,has_pmi_ism,has_jobs,has_fed_speech
2020-02-21T08:49:00.000000,2020-02-21T08:50:00.000000,2020-02-21,2020,2020-02,5,8,50,short,9501.44,9510.0,9484.31,8.56,17.12,2.0,target,1,1,18.94,-5.56,0.05714285714285714,0.8952380952380953,1.8551236749116606,1.6803690908295799,13.928571428571429,7.97,-85.19180175812107,-85.19180175812107,-57.30959799290031,-82.9033152387874,-134.0,-279.75,-33.75,-121.5,1.5,123.0,22.0,209.0,2,true,false,true,false,false,true,false,false
2020-03-20T10:09:00.000000,2020-03-20T10:10:00.000000,2020-03-20,2020,2020-03,5,10,10,short,7222.12,7232.75,7200.88,10.62,21.25,2.0,target,1,1,25.38,-8.38,0.050724637681159424,0.9130434782608695,1.5628539071347678,1.6993815541812316,22.482142857142858,23.785,-203.35968568369572,-203.35968568369572,-83.11494868987575,-120.94918156336735,54.25,-304.5,323.75,-279.75,-182.75,97.0,200.25,346.0,1,true,false,false,false,false,false,false,false
2020-04-16T10:36:00.000000,2020-04-16T10:37:00.000000,2020-04-16,2020,2020-04,4,10,37,short,8624.75,8633.25,8607.75,8.5,17.0,2.0,target,1,1,17.5,-0.75,0.057692307692307696,0.9423076923076923,1.7232808616404307,1.1513282135213396,15.392857142857142,12.315,-60.748035774113305,-60.748035774113305,-52.73201354865705,-86.22616563168594,66.0,-89.0,120.25,-107.25,-35.75,71.5,106.25,144.25,4,true,false,true,false,false,false,false,false
2020-06-26T08:50:00.000000,2020-06-26T08:51:00.000000,2020-06-26,2020,2020-06,5,8,51,short,9869.56,9877.75,9853.19,8.19,-8.19,-1.0,stop_same_bar,1,1,16.81,-14.44,0.06060606060606061,0.8080808080808081,1.5068493150684932,1.6703399279176498,15.446428571428571,14.175,-149.48906870313112,-149.48906870313112,-38.4018315270805,-71.84174989300664,-246.75,-254.5,-33.0,-84.25,1.5,85.75,186.75,162.75,2,false,false,false,false,false,false,false,false
2020-08-27T10:53:00.000000,2020-08-27T10:54:00.000000,2020-08-27,2020,2020-08,4,10,54,short,11854.81,11863.5,11837.44,8.69,-8.69,-1.0,stop_same_bar,1,1,17.56,-11.94,0.09345794392523364,0.8317757009345794,1.671875,1.610952380952381,16.678571428571427,13.095,-131.18718091903975,-131.18718091903975,-67.14735800464587,-102.76454939122414,-127.5,-164.25,110.5,-175.25,-127.75,47.5,135.25,196.25,4,true,false,false,false,false,false,false,true
2020-12-02T08:40:00.000000,2020-12-02T08:41:00.000000,2020-12-02,2020,2020-12,3,8,41,short,12352.56,12362.5,12332.69,9.94,19.88,2.0,target,1,1,25.31,-1.19,0.10236220472440945,0.6614173228346457,2.8159645232815964,2.828945491885108,13.446428571428571,6.94,-69.56931757883649,-69.56931757883649,-35.36667902703266,-49.31424036214776,-124.25,-180.25,20.0,-65.75,19.5,85.25,48.5,178.0,1,true,false,true,true,false,false,false,true
2021-11-09T10:13:00.000000,2021-11-09T10:14:00.000000,2021-11-09,2021,2021-11,2,10,14,short,16231.5,16240.5,16213.5,9.0,18.0,2.0,target,1,1,19.5,-2.75,0.044642857142857144,0.7232142857142857,2.083720930232558,1.940007170457714,13.267857142857142,12.93,-76.03425983984016,-76.03425983984016,-41.27701887826879,-48.69589133414229,-103.75,-182.25,-44.25,-180.0,14.0,194.0,49.25,91.5,2,true,true,true,false,true,false,true,true
2021-11-10T08:37:00.000000,2021-11-10T08:38:00.000000,2021-11-10,2021,2021-11,3,8,38,short,16101.81,16110.25,16084.94,8.44,16.88,2.0,target,1,1,18.56,-2.44,0.0970873786407767,0.8058252427184466,1.5535444947209653,1.3609436707545208,21.303571428571427,10.8,-48.63465220815851,-48.63465220815851,-9.613746387234642,-18.778493471707407,-116.25,-306.75,-75.0,-94.25,43.25,137.5,81.0,231.75,2,false,false,false,false,false,false,false,false
2021-12-01T08:32:00.000000,2021-12-01T08:33:00.000000,2021-12-01,2021,2021-12,3,8,33,short,16313.44,16320.0,16300.31,6.56,13.12,2.0,target,1,1,14.44,-2.56,0.0958904109589041,0.821917808219178,2.085714285714286,3.6979192906443648,10.178571428571429,6.88,-32.97582094374047,-32.97582094374047,-36.89587914774529,-47.61934327769268,62.75,-154.75,232.75,-52.25,31.0,83.25,41.5,387.5,1,true,false,true,true,false,true,false,true
2021-12-03T08:54:00.000000,2021-12-03T08:55:00.000000,2021-12-03,2021,2021-12,5,8,55,short,15869.62,15883.75,15841.38,14.12,28.25,2.0,target,1,1,36.12,-8.38,0.020618556701030927,0.8144329896907216,1.603968582058702,1.4185875208853596,30.214285714285715,20.405,-148.75752556482075,-148.75752556482075,-105.30561399772341,-154.4575949133614,-185.75,-232.0,71.5,-256.25,4.0,260.25,106.5,303.5,4,true,false,false,false,false,true,false,false
