signal_time,entry_time,year,month,hour,minute,side,entry,stop,target,risk,result_points,exit_reason,bars_held,body_pct,lower_wick_pct,upper_wick_pct,dist_pdh,dist_vwap,sweep_count
2018-02-02T10:24:00.000000,2018-02-02T10:25:00.000000,2018,2018-02,10,25,long,6840.75,6838.5,6845.25,2.25,-2.25,stop,1,0.896551724137931,0.06896551724137931,0.034482758620689655,-146.75,-23.33517994390968,2
2018-02-02T10:43:00.000000,2018-02-02T10:44:00.000000,2018,2018-02,10,44,long,6838.75,6836.75,6842.75,2.0,-2.0,stop,2,0.8064516129032258,0.0,0.1935483870967742,-149.0,-24.229734047225065,1
2018-02-08T08:47:00.000000,2018-02-08T08:48:00.000000,2018,2018-02,8,48,long,6553.5,6551.0,6558.5,2.5,-2.5,stop,1,0.8235294117647058,0.0,0.17647058823529413,-164.75,-20.93705709454025,1
2018-02-08T10:10:00.000000,2018-02-08T10:11:00.000000,2018,2018-02,10,11,long,6494.0,6492.0,6498.0,2.0,-2.0,stop,1,0.9148936170212766,0.0425531914893617,0.0425531914893617,-223.25,-63.888626520889375,1
2018-02-08T10:17:00.000000,2018-02-08T10:18:00.000000,2018,2018-02,10,18,long,6483.25,6473.0,6503.75,10.25,-10.25,stop,2,0.7058823529411765,0.0,0.29411764705882354,-233.75,-71.4393824729832,1
2018-02-08T10:28:00.000000,2018-02-08T10:29:00.000000,2018,2018-02,10,29,long,6475.5,6459.5,6507.5,16.0,-16.0,stop,4,0.8225806451612904,0.03225806451612903,0.14516129032258066,-243.0,-76.46989070498694,1
2018-02-08T10:29:00.000000,2018-02-08T10:30:00.000000,2018,2018-02,10,30,long,6467.0,6465.0,6471.0,2.0,-2.0,stop,1,0.8717948717948718,0.0,0.1282051282051282,-250.75,-83.88222623154161,1
2018-02-08T10:36:00.000000,2018-02-08T10:37:00.000000,2018,2018-02,10,37,long,6482.75,6480.25,6487.75,2.5,-2.5,stop,1,0.85,0.075,0.075,-234.75,-65.47896297190437,1
2018-02-08T10:40:00.000000,2018-02-08T10:41:00.000000,2018,2018-02,10,41,long,6487.5,6485.25,6492.0,2.25,-2.25,stop,1,0.7948717948717948,0.0,0.20512820512820512,-230.5,-60.251722439174955,1
2018-02-08T10:50:00.000000,2018-02-08T10:51:00.000000,2018,2018-02,10,51,long,6493.25,6478.5,6522.75,14.75,-14.75,stop,23,0.7681159420289855,0.0,0.2318840579710145,-224.0,-51.522271496511166,1
2018-02-09T10:16:00.000000,2018-02-09T10:17:00.000000,2018,2018-02,10,17,long,6316.25,6314.5,6319.75,1.75,-1.75,stop,1,0.9629629629629629,0.018518518518518517,0.018518518518518517,-301.75,-41.43912801325223,5
2018-02-09T10:19:00.000000,2018-02-09T10:20:00.000000,2018,2018-02,10,20,long,6325.5,6304.5,6367.5,21.0,-21.0,stop,5,0.7128712871287128,0.0,0.2871287128712871,-294.0,-33.18771630094034,4
2018-02-09T10:41:00.000000,2018-02-09T10:42:00.000000,2018,2018-02,10,42,long,6329.0,6325.25,6336.5,3.75,-3.75,stop,1,0.8214285714285714,0.10714285714285714,0.07142857142857142,-290.5,-27.712273787596132,2
2018-03-01T08:45:00.000000,2018-03-01T08:46:00.000000,2018,2018-03,8,46,long,6831.25,6816.5,6860.75,14.75,-14.75,stop,8,0.8703703703703703,0.09259259259259259,0.037037037037037035,-139.0,-29.97463127553874,5
2018-03-01T08:48:00.000000,2018-03-01T08:49:00.000000,2018,2018-03,8,49,long,6835.5,6822.5,6861.5,13.0,-13.0,stop,4,0.7916666666666666,0.10416666666666667,0.10416666666666667,-135.25,-25.0363742407917,5
2018-03-02T08:41:00.000000,2018-03-02T08:42:00.000000,2018,2018-03,8,42,long,6685.75,6670.5,6716.25,15.25,-15.25,stop,2,0.9615384615384616,0.038461538461538464,0.0,-213.25,-25.79087487117613,3
2018-03-02T08:44:00.000000,2018-03-02T08:45:00.000000,2018,2018-03,8,45,long,6649.0,6646.75,6653.5,2.25,-2.25,stop,1,0.8070175438596491,0.03508771929824561,0.15789473684210525,-249.5,-59.92116257618818,3
2018-03-19T08:45:00.000000,2018-03-19T08:46:00.000000,2018,2018-03,8,46,long,6928.5,6922.25,6941.0,6.25,-6.25,stop,5,0.6956521739130435,0.043478260869565216,0.2608695652173913,-114.5,-34.1424666372377,2
2018-03-19T08:47:00.000000,2018-03-19T08:48:00.000000,2018,2018-03,8,48,long,6928.5,6926.25,6933.0,2.25,-2.25,stop,3,0.7142857142857143,0.07142857142857142,0.21428571428571427,-114.5,-33.749868604976655,2
2018-03-19T08:50:00.000000,2018-03-19T08:51:00.000000,2018,2018-03,8,51,long,6922.25,6920.0,6926.75,2.25,-2.25,stop,1,0.8695652173913043,0.0,0.13043478260869565,-121.0,-39.750897757674466,2
2018-03-23T10:43:00.000000,2018-03-23T10:44:00.000000,2018,2018-03,10,44,long,6635.25,6631.0,6643.75,4.25,-4.25,stop,1,0.6666666666666666,0.0,0.3333333333333333,-279.5,-31.780784691128247,2
2018-03-28T08:40:00.000000,2018-03-28T08:41:00.000000,2018,2018-03,8,41,long,6466.5,6462.75,6474.0,3.75,-3.75,stop,1,0.8392857142857143,0.10714285714285714,0.05357142857142857,-383.0,-48.50176110499888,3
2018-03-28T08:44:00.000000,2018-03-28T08:45:00.000000,2018,2018-03,8,45,long,6463.0,6448.25,6492.5,14.75,-14.75,stop,2,0.684931506849315,0.0,0.3150684931506849,-386.5,-50.37014198073666,3
2018-03-28T08:45:00.000000,2018-03-28T08:46:00.000000,2018,2018-03,8,46,long,6450.25,6447.0,6456.75,3.25,-3.25,stop,1,0.9107142857142857,0.08928571428571429,0.0,-399.0,-62.47452219676143,3
2018-04-02T08:44:00.000000,2018-04-02T08:45:00.000000,2018,2018-04,8,45,long,6470.25,6467.5,6475.75,2.75,-2.75,stop,1,0.9411764705882353,0.058823529411764705,0.0,-118.5,-43.35377185688321,1
2018-04-02T08:50:00.000000,2018-04-02T08:51:00.000000,2018,2018-04,8,51,long,6466.5,6463.0,6473.5,3.5,-3.5,stop,2,0.7333333333333333,0.1111111111111111,0.15555555555555556,-122.25,-44.979589436159586,1
2018-04-03T08:37:00.000000,2018-04-03T08:38:00.000000,2018,2018-04,8,38,long,6390.5,6388.0,6395.5,2.5,-2.5,stop,1,0.9512195121951219,0.024390243902439025,0.024390243902439025,-186.25,-24.499913073713287,2
2018-04-03T10:26:00.000000,2018-04-03T10:27:00.000000,2018,2018-04,10,27,long,6380.25,6378.25,6384.25,2.0,-2.0,stop,1,0.782608695652174,0.043478260869565216,0.17391304347826086,-196.0,-40.24903642167192,2
2018-04-03T10:33:00.000000,2018-04-03T10:34:00.000000,2018,2018-04,10,34,long,6396.5,6386.25,6417.0,10.25,-10.25,stop,22,0.8333333333333334,0.08333333333333333,0.08333333333333333,-180.0,-23.785064906919615,1
2018-04-03T10:36:00.000000,2018-04-03T10:37:00.000000,2018,2018-04,10,37,long,6397.5,6394.75,6403.0,2.75,-2.75,stop,1,0.85,0.0,0.15,-179.75,-23.3747854738931,1
2018-04-03T10:39:00.000000,2018-04-03T10:40:00.000000,2018,2018-04,10,40,long,6398.5,6388.25,6419.0,10.25,-10.25,stop,15,0.9142857142857143,0.02857142857142857,0.05714285714285714,-178.0,-21.42290330540709,1
2018-04-06T10:19:00.000000,2018-04-06T10:20:00.000000,2018,2018-04,10,20,long,6523.75,6521.75,6527.75,2.0,-2.0,stop,1,0.9230769230769231,0.05128205128205128,0.02564102564102564,-130.25,-21.832023476437826,1
2018-04-24T08:44:00.000000,2018-04-24T08:45:00.000000,2018,2018-04,8,45,long,6618.0,6612.75,6628.5,5.25,-5.25,stop,1,0.7058823529411765,0.058823529411764705,0.23529411764705882,-110.0,-44.45692447061447,2
2018-04-27T10:14:00.000000,2018-04-27T10:15:00.000000,2018,2018-04,10,15,long,6669.0,6661.25,6684.5,7.75,-7.75,stop,8,0.9230769230769231,0.0,0.07692307692307693,-83.75,-21.684526018519136,1
2018-04-27T10:19:00.000000,2018-04-27T10:20:00.000000,2018,2018-04,10,20,long,6667.5,6661.75,6679.0,5.75,-5.75,stop,2,0.7619047619047619,0.0,0.23809523809523808,-85.25,-23.04859771156589,1
2018-04-27T10:21:00.000000,2018-04-27T10:22:00.000000,2018,2018-04,10,22,long,6662.75,6659.75,6668.75,3.0,-3.0,stop,1,0.9090909090909091,0.09090909090909091,0.0,-90.75,-28.484453162654972,1
2018-04-27T10:27:00.000000,2018-04-27T10:28:00.000000,2018,2018-04,10,28,long,6656.75,6654.75,6660.75,2.0,-2.0,stop,3,0.85,0.0,0.15,-96.25,-33.7442293754566,1
2018-05-03T08:35:00.000000,2018-05-03T08:36:00.000000,2018,2018-05,8,36,long,6571.75,6569.5,6576.25,2.25,-2.25,stop,1,0.9166666666666666,0.041666666666666664,0.041666666666666664,-157.75,-39.944668684323005,4
2018-05-03T08:42:00.000000,2018-05-03T08:43:00.000000,2018,2018-05,8,43,long,6565.0,6558.25,6578.5,6.75,-6.75,stop,8,0.8571428571428571,0.047619047619047616,0.09523809523809523,-164.5,-42.519121797385196,2
2018-05-03T08:46:00.000000,2018-05-03T08:47:00.000000,2018,2018-05,8,47,long,6564.75,6558.75,6576.75,6.0,-6.0,stop,4,0.7142857142857143,0.09523809523809523,0.19047619047619047,-164.5,-41.18778724793083,2
2018-05-03T10:24:00.000000,2018-05-03T10:25:00.000000,2018,2018-05,10,25,long,6566.75,6564.25,6571.75,2.5,-2.5,stop,1,0.8,0.03333333333333333,0.16666666666666666,-163.0,-23.410422500000095,1
2018-05-29T10:28:00.000000,2018-05-29T10:29:00.000000,2018,2018-05,10,29,long,6909.75,6907.5,6914.25,2.25,-2.25,stop,1,0.9230769230769231,0.07692307692307693,0.0,-113.75,-27.013568250349635,1
2018-06-19T08:37:00.000000,2018-06-19T08:38:00.000000,2018,2018-06,8,38,long,7171.5,7165.0,7184.5,6.5,-6.5,stop,3,0.8636363636363636,0.0,0.13636363636363635,-116.25,-20.35975095510821,2
2018-06-19T08:39:00.000000,2018-06-19T08:40:00.000000,2018,2018-06,8,40,long,7165.75,7163.5,7170.25,2.25,-2.25,stop,1,0.7777777777777778,0.037037037037037035,0.18518518518518517,-122.25,-26.196141684466056,2
2018-07-30T10:16:00.000000,2018-07-30T10:17:00.000000,2018,2018-07,10,17,long,7205.5,7199.75,7217.0,5.75,-5.75,stop,2,0.7777777777777778,0.0,0.2222222222222222,-94.5,-37.47772929476105,1
2018-08-15T08:44:00.000000,2018-08-15T08:45:00.000000,2018,2018-08,8,45,long,7336.75,7334.25,7341.75,2.5,-2.5,stop,1,0.7142857142857143,0.07142857142857142,0.21428571428571427,-146.75,-42.45552878608669,1
2018-08-15T08:50:00.000000,2018-08-15T08:51:00.000000,2018,2018-08,8,51,long,7328.25,7326.5,7331.75,1.75,-1.75,stop,1,0.975,0.0,0.025,-155.0,-49.479295136359724,1
2018-08-17T08:30:00.000000,2018-08-17T08:31:00.000000,2018,2018-08,8,31,long,7334.0,7325.5,7351.0,8.5,-8.5,stop,15,0.8064516129032258,0.0,0.1935483870967742,-100.75,-27.003936773433452,1
2018-09-05T08:37:00.000000,2018-09-05T08:38:00.000000,2018,2018-09,8,38,long,7509.5,7507.5,7513.5,2.0,-2.0,stop,1,0.7857142857142857,0.0,0.21428571428571427,-184.25,-63.76170803884088,1
2018-09-06T08:30:00.000000,2018-09-06T08:31:00.000000,2018,2018-09,8,31,long,7472.5,7470.25,7477.0,2.25,-2.25,stop,1,0.9736842105263158,0.0,0.02631578947368421,-171.0,-35.9001692497186,1
2018-09-12T08:48:00.000000,2018-09-12T08:49:00.000000,2018,2018-09,8,49,long,7436.75,7434.0,7442.25,2.75,-2.75,stop,1,0.8709677419354839,0.0967741935483871,0.03225806451612903,-88.0,-44.13962161547988,1
2018-10-04T08:50:00.000000,2018-10-04T08:51:00.000000,2018,2018-10,8,51,long,7555.75,7546.75,7573.75,9.0,-9.0,stop,7,0.8709677419354839,0.0,0.12903225806451613,-148.25,-33.34214259530836,1
2018-10-10T10:19:00.000000,2018-10-10T10:20:00.000000,2018,2018-10,10,20,long,7253.25,7245.25,7269.25,8.0,-8.0,stop,4,0.7931034482758621,0.034482758620689655,0.1724137931034483,-202.5,-30.085340978789645,1
2018-10-10T10:38:00.000000,2018-10-10T10:39:00.000000,2018,2018-10,10,39,long,7226.25,7219.25,7240.25,7.0,-7.0,stop,5,0.7916666666666666,0.08333333333333333,0.125,-229.25,-54.77410510979007,1
2018-10-10T10:41:00.000000,2018-10-10T10:42:00.000000,2018,2018-10,10,42,long,7228.75,7220.75,7244.75,8.0,-8.0,stop,2,0.6774193548387096,0.0967741935483871,0.22580645161290322,-227.0,-52.201913152925954,1
2018-10-10T10:47:00.000000,2018-10-10T10:48:00.000000,2018,2018-10,10,48,long,7227.75,7225.25,7232.75,2.5,-2.5,stop,1,0.8235294117647058,0.058823529411764705,0.11764705882352941,-228.25,-52.90985863109472,1
2018-10-10T10:50:00.000000,2018-10-10T10:51:00.000000,2018,2018-10,10,51,long,7236.25,7226.75,7255.25,9.5,-9.5,stop,8,0.90625,0.03125,0.0625,-219.5,-43.84498589521081,1
2018-10-12T10:44:00.000000,2018-10-12T10:45:00.000000,2018,2018-10,10,45,long,7044.5,7041.25,7051.0,3.25,-3.25,stop,1,0.7441860465116279,0.11627906976744186,0.13953488372093023,-93.5,-83.9850950696391,1
2018-10-19T10:14:00.000000,2018-10-19T10:15:00.000000,2018,2018-10,10,15,long,7157.25,7155.0,7161.75,2.25,-2.25,stop,1,0.7692307692307693,0.11538461538461539,0.11538461538461539,-147.25,-38.15623603620497,1
2018-10-19T10:16:00.000000,2018-10-19T10:17:00.000000,2018,2018-10,10,17,long,7157.75,7148.75,7175.75,9.0,-9.0,stop,2,0.9032258064516129,0.03225806451612903,0.06451612903225806,-147.0,-37.62544807029735,1
2018-10-19T10:24:00.000000,2018-10-19T10:25:00.000000,2018,2018-10,10,25,long,7128.0,7126.0,7132.0,2.0,-2.0,stop,1,0.96875,0.0,0.03125,-177.0,-65.65274240404324,2
2018-10-19T10:35:00.000000,2018-10-19T10:36:00.000000,2018,2018-10,10,36,long,7112.5,7103.0,7131.5,9.5,-9.5,stop,3,0.7368421052631579,0.05263157894736842,0.21052631578947367,-192.5,-78.18751104984221,2
2018-10-19T10:39:00.000000,2018-10-19T10:40:00.000000,2018,2018-10,10,40,long,7112.25,7102.25,7132.25,10.0,-10.0,stop,1,0.7567567567567568,0.10810810810810811,0.13513513513513514,-192.75,-77.12452697144181,1
