feature,mean,median,min,max
hour,8.86957,8.0,8.0,10.0
minute,33.69565,35.0,10.0,50.0
risk_points,9.53304,8.56,6.19,16.81
result_points,19.06565,17.12,12.38,33.62
body_pct,0.85114,0.87963,0.66142,0.97647
lower_wick_pct,0.06126,0.05556,0.01042,0.1125
upper_wick_pct,0.20171,0.14085,0.02128,0.55882
range_expansion_20,2.12137,1.85512,1.50056,3.46491
rel_vol_20,2.40573,1.69938,1.10974,5.731
dist_pdh,-230.76087,-201.5,-507.5,-79.75
dist_pdl,80.8587,43.25,-254.25,372.25
dist_dol,-74.98913,-81.75,-346.0,66.0
dist_vwap,-78.69518,-66.45926,-203.35969,-24.81663
dist_or_high_30m,-128.75,-119.75,-343.0,-41.5
dist_or_low_30m,-3.68478,9.75,-244.75,134.5
bear_fvg,0.26087,0.0,0.0,1.0
bull_fvg,0.0,0.0,0.0,0.0
bear_displacement,0.0,0.0,0.0,0.0
bull_displacement,0.52174,1.0,0.0,1.0
any_liquidity_sweep_reclaim_last_30m,1.0,1.0,1.0,1.0
liquidity_sweep_reclaim_count_last_30m,1.86957,2.0,1.0,4.0
