signal_time,entry_time,trade_date,year,month,day_of_week,hour,minute,side,entry_price,stop_price,target_price,risk_points,result_points,result_rr,exit_reason,bars_held,fill_bars,mfe_points,mae_points,lower_wick_pct,body_pct,range_expansion_20,rel_vol_20,atr_14,atr_50,dist_vwap,dist_vwap_day,dist_ema_20,dist_ema_50,dist_dol,dist_pdh,dist_pdl,dist_or_high_30m,dist_or_low_30m,or_range_30m,premarket_range,prior_day_range,liquidity_sweep_reclaim_count_last_30m,has_high_impact_usd_event,has_cpi,has_fomc,has_nfp,has_ppi,has_pmi_ism,has_jobs,has_fed_speech,idx,ts_event,symbol,open,high,low,close,volume,trade_date_utc,hour_utc,minute_utc,weekday,vwap_day,dist_vwap_day_right,return_1m,return_5m,return_15m,ema_9,ema_20,ema_50,dist_ema_9,dist_ema_20_right,dist_ema_50_right,true_range,atr_14_right,atr_50_right,vol_avg_20,vol_avg_50,rel_vol_20_right,rel_vol_50,bar_range,body,body_abs,body_pct_right,upper_wick,lower_wick,fwd_return_5m,fwd_return_15m,fwd_return_30m,fwd_return_60m,event_date_utc,usd_event_count,high_impact_event_count,cpi_event_count,fomc_event_count,nfp_event_count,ppi_event_count,pmi_ism_event_count,jobs_event_count,fed_speech_event_count,has_high_impact_usd_event_right,has_cpi_right,has_fomc_right,has_nfp_right,has_ppi_right,has_pmi_ism_right,has_jobs_right,has_fed_speech_right,trade_date_ct,hour_ct,minute_ct,weekday_ct,minute_of_day_ct,is_rth,is_opening_30m,is_premarket_window,is_morning_trade_window,is_lunch_window,is_pm_window,upper_wick_pct,lower_wick_pct_right,candle_direction,avg_range_20,avg_body_20,range_expansion_20_right,body_expansion_20,is_displacement_candle,bull_displacement,bear_displacement,bull_fvg,bear_fvg,bull_fvg_low,bull_fvg_high,bear_fvg_low,bear_fvg_high,bull_fvg_size,bear_fvg_size,bull_fvg_min_2pt,bear_fvg_min_2pt,prior_high,prior_low,prior_open,prior_close,prior_body,prior_body_pct,swept_prior_bar_high,swept_prior_bar_low,prior_high_sweep_close_back_below,prior_low_sweep_close_back_above,prior_rth_high,prior_rth_low,prior_rth_close,premarket_high,premarket_low,or_high_30m,or_low_30m,or_range_30m_right,premarket_range_right,prior_day_range_right,swept_prior_rth_high,swept_prior_rth_low,pdh_sweep_close_back_below,pdl_sweep_close_back_above,pmh_sweep_close_back_below,pml_sweep_close_back_above,above_or_high,below_or_low,dist_prior_rth_high,dist_prior_rth_low,dist_premarket_high,dist_premarket_low,dist_or_high_30m_right,dist_or_low_30m_right,fwd_points_5m,fwd_points_15m,fwd_points_30m,fwd_points_60m,fwd_points_120m,future_high_30m,future_low_30m,future_high_60m,future_low_60m,mfe_30m,mae_30m,mfe_60m,mae_60m,ict_session_date,is_asia_session,is_london_session,is_ny_rth_session,dol,session_high_so_far,session_low_so_far,pdh,pdl,pdc,prior_session_mid,prior_session_range,asia_high,asia_low,london_high,london_low,ny_open,vwap,dist_dol_right,dist_pdh_right,dist_pdl_right,dist_prior_session_mid,dist_asia_high,dist_asia_low,dist_london_high,dist_london_low,dist_ny_open,dist_vwap_right,above_dol,below_dol,above_vwap,below_vwap,prior_range_position,premium_vs_prior_range,discount_vs_prior_range,pdh_sweep_reclaim_now,pdh_sweep_reclaim_last_30m,pdl_sweep_reclaim_now,pdl_sweep_reclaim_last_30m,pmh_sweep_reclaim_now,pmh_sweep_reclaim_last_30m,pml_sweep_reclaim_now,pml_sweep_reclaim_last_30m,asia_high_sweep_reclaim_now,asia_high_sweep_reclaim_last_30m,asia_low_sweep_reclaim_now,asia_low_sweep_reclaim_last_30m,london_high_sweep_reclaim_now,london_high_sweep_reclaim_last_30m,london_low_sweep_reclaim_now,london_low_sweep_reclaim_last_30m,any_liquidity_sweep_reclaim_last_30m,liquidity_sweep_reclaim_count_last_30m_right,dol_cross_now,bull_dol_reclaim_now,bear_dol_reclaim_now,dol_cross_last_10m,bull_dol_reclaim_last_10m,bear_dol_reclaim_last_10m,inside_bull_fvg_current_bar,inside_bear_fvg_current_bar,recent_bull_fvg_last_120m,recent_bear_fvg_last_120m,bull_ifvg_proxy_fast,bear_ifvg_proxy_fast,any_ifvg_proxy_fast,prior_10m_high,prior_10m_low,prior_10m_open,bull_v_reversal_proxy,bear_v_reversal_proxy,any_v_reversal_proxy
2020-02-21T08:49:00.000000,2020-02-21T08:50:00.000000,2020-02-21,2020,2020-02,5,8,50,short,9501.44,9510.0,9484.31,8.56,17.12,2.0,target,1,1,18.94,-5.56,0.05714285714285714,0.8952380952380953,1.8551236749116606,1.6803690908295799,13.928571428571429,7.97,-85.19180175812107,-85.19180175812107,-57.30959799290031,-82.9033152387874,-134.0,-279.75,-33.75,-121.5,1.5,123.0,22.0,209.0,2,true,false,true,false,false,true,false,false,748742,2020-02-21T14:50:00.000000,NQH0,9483.25,9507.0,9482.5,9503.5,7347,2020-02-21,14,50,5,9566.807630262118,-63.30763026211753,0.0021353438958162663,-0.0018380422224556492,-0.006091981070410757,9514.598920422606,9537.030112469767,9563.696322484326,-11.09892042260617,-33.53011246976712,-60.19632248432572,24.5,14.75,8.36,4597.7,2227.58,1.597972899493225,3.2981980445146752,24.5,20.25,20.25,0.826530612244898,3.5,0.75,0.0009207134213711221,0.0004472036618088371,0.0005261219550691809,-0.0011311622033987057,2020-02-21,4,1,0,2,0,0,1,0,0,true,false,true,false,false,true,false,false,2020-02-21,8,50,4,530,true,true,false,true,false,false,0.14285714285714285,0.030612244897959183,bull,14.4625,9.525,1.6940363007778738,2.1259842519685037,true,true,false,false,false,,,,,,,false,false,9508.0,9481.75,9506.75,9483.25,-23.5,0.8952380952380953,false,false,false,false,9726.0,9517.0,9637.0,9605.5,9583.5,9604.75,9481.75,123.0,22.0,209.0,false,true,false,false,false,false,false,false,-222.5,-13.5,-102.0,-80.0,-101.25,21.75,8.75,4.25,5.0,-10.75,10.25,9523.75,9482.5,9530.75,9472.75,20.25,21.0,27.25,30.75,2020-02-21,false,false,true,9617.25,9623.75,9481.75,9763.0,9517.0,9618.25,9640.0,246.0,9623.75,9556.0,9605.75,9538.25,9617.25,9566.807630262118,-113.75,-259.5,-13.5,-136.5,-120.25,-52.5,-102.25,-34.75,-113.75,-63.30763026211753,false,true,false,true,-0.054878048780487805,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,true,2,false,false,false,false,false,false,false,false,true,true,true,false,true,9549.0,9481.75,9549.0,true,false,true
2020-03-20T10:09:00.000000,2020-03-20T10:10:00.000000,2020-03-20,2020,2020-03,5,10,10,short,7222.12,7232.75,7200.88,10.62,21.25,2.0,target,1,1,25.38,-8.38,0.050724637681159424,0.9130434782608695,1.5628539071347678,1.6993815541812316,22.482142857142858,23.785,-203.35968568369572,-203.35968568369572,-83.11494868987575,-120.94918156336735,54.25,-304.5,323.75,-279.75,-182.75,97.0,200.25,346.0,1,true,false,false,false,false,false,false,false,774192,2020-03-20T16:10:00.000000,NQM0,7199.25,7230.5,7196.75,7228.75,1718,2020-03-20,16,10,5,7400.4572900754065,-171.7072900754065,0.004272020005557042,-0.0049211920985614555,-0.010979614174305596,7248.046861547057,7276.127810719411,7315.411958756961,-19.296861547057233,-47.37781071941117,-86.66195875696121,33.75,23.410714285714285,24.015,976.6,1090.6,1.7591644480851936,1.575279662571062,33.75,29.5,29.5,0.8740740740740741,1.75,2.5,0.00027667300708977827,-0.007608507694968014,-0.005844717274770872,0.008991872730416794,2020-03-20,3,3,0,0,0,0,0,0,0,true,false,false,false,false,false,false,false,2020-03-20,10,10,4,610,true,false,false,true,false,false,0.05185185185185185,0.07407407407407407,bull,22.25,12.6375,1.5168539325842696,2.334322453016815,true,true,false,false,false,,,,,,,false,false,7230.75,7196.25,7229.5,7198.0,-31.5,0.9130434782608695,false,false,false,false,7502.5,7156.5,7184.75,7488.5,7288.25,7477.75,7380.75,97.0,200.25,346.0,false,false,false,false,false,false,false,true,-273.75,72.25,-259.75,-59.5,-249.0,-152.0,2.0,-55.0,-42.25,65.0,38.5,7248.5,7132.0,7309.5,7132.0,19.75,96.75,80.75,96.75,2020-03-20,false,false,true,7143.75,7649.0,7126.25,7502.5,6874.25,7145.75,7188.375,628.25,7370.0,7126.25,7649.0,7305.25,7143.75,7400.4572900754065,85.0,-273.75,354.5,40.375,-141.25,102.5,-420.25,-76.5,85.0,-171.7072900754065,true,false,false,true,0.5642658177477119,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,1,false,false,false,false,false,false,false,false,true,true,true,false,true,7316.0,7196.25,7304.75,true,true,true
2020-04-16T10:36:00.000000,2020-04-16T10:37:00.000000,2020-04-16,2020,2020-04,4,10,37,short,8624.75,8633.25,8607.75,8.5,17.0,2.0,target,1,1,17.5,-0.75,0.057692307692307696,0.9423076923076923,1.7232808616404307,1.1513282135213396,15.392857142857142,12.315,-60.748035774113305,-60.748035774113305,-52.73201354865705,-86.22616563168594,66.0,-89.0,120.25,-107.25,-35.75,71.5,106.25,144.25,4,true,false,true,false,false,false,false,false,798722,2020-04-16T16:37:00.000000,NQM0,8607.25,8625.5,8607.25,8619.0,1642,2020-04-16,16,37,4,8667.263075901748,-48.26307590174838,0.0014233014784907905,-0.0020551712160244984,-0.0074564560241831,8632.47334436107,8655.62658368688,8690.075139528482,-13.473344361069394,-36.62658368688062,-71.0751395284824,18.75,16.089285714285715,12.545,1554.0,1234.34,1.0566280566280566,1.3302655670236727,18.25,11.75,11.75,0.6438356164383562,6.5,0.0,0.002465483234713961,0.0040027845457710765,0.00440886413737096,0.00794755772131328,2020-04-16,4,1,0,1,0,0,0,0,0,true,false,true,false,false,false,false,false,2020-04-16,10,37,3,637,true,false,false,true,false,false,0.3561643835616438,0.0,bull,15.1375,9.9625,1.2056151940545006,1.179422835633626,false,false,false,false,false,,,,,,,false,false,8631.25,8605.25,8631.25,8606.75,-24.5,0.9423076923076923,false,false,false,false,8656.25,8512.0,8576.5,8698.0,8591.75,8714.0,8642.5,71.5,106.25,144.25,false,false,false,false,false,false,false,true,-37.25,107.0,-79.0,27.25,-95.0,-23.5,21.25,34.5,38.0,68.5,100.0,8671.0,8607.25,8694.75,8607.25,52.0,11.75,75.75,11.75,2020-04-16,false,false,true,8540.75,8785.5,8500.5,8695.75,8486.5,8540.75,8591.125,209.25,8617.5,8500.5,8698.5,8596.25,8540.75,8667.263075901748,78.25,-76.75,132.5,27.875,1.5,118.5,-79.5,22.75,78.25,-48.26307590174838,true,false,false,true,0.6332138590203107,true,false,false,true,false,false,false,true,false,false,false,true,false,false,false,true,false,false,true,4,false,false,false,false,false,false,false,false,true,true,true,false,true,8681.5,8605.25,8681.25,false,true,true
2020-12-02T08:40:00.000000,2020-12-02T08:41:00.000000,2020-12-02,2020,2020-12,3,8,41,short,12352.56,12362.5,12332.69,9.94,19.88,2.0,target,1,1,25.31,-1.19,0.10236220472440945,0.6614173228346457,2.8159645232815964,2.828945491885108,13.446428571428571,6.94,-69.56931757883649,-69.56931757883649,-35.36667902703266,-49.31424036214776,-124.25,-180.25,20.0,-65.75,19.5,85.25,48.5,178.0,1,true,false,true,true,false,false,false,true,1020772,2020-12-02T14:41:00.000000,NQZ0,12332.0,12353.75,12327.25,12352.25,3315,2020-12-02,14,41,3,12400.067323680994,-47.81732368099438,0.0016420694129095637,-0.0002832689233757124,-0.002966341109048365,12355.610349586406,12365.926995310172,12380.174466230299,-3.3603495864063007,-13.67699531017206,-27.924466230299004,26.5,15.142857142857142,7.37,1871.15,926.72,1.7716377628730993,3.577132251381215,26.5,20.25,20.25,0.7641509433962265,1.5,4.75,-0.0015988989860147296,0.0008500475621850967,0.003319233338055838,0.005849136796939769,2020-12-02,6,1,0,2,1,0,0,0,1,true,false,true,true,false,false,false,true,2020-12-02,8,41,2,521,true,true,false,true,false,false,0.05660377358490566,0.1792452830188679,bull,12.0125,6.3375,2.206035379812695,3.195266272189349,true,true,false,false,false,,,,,,,false,false,12360.5,12328.75,12353.0,12332.0,-21.0,0.6614173228346457,false,true,false,true,12512.25,12334.25,12457.0,12419.25,12370.75,12397.75,12312.5,85.25,48.5,178.0,false,true,false,true,false,false,false,false,-160.0,18.0,-67.0,-18.5,-45.5,39.75,-19.75,10.5,41.0,72.25,95.25,12392.25,12312.5,12429.5,12312.5,40.0,39.75,77.25,39.75,2020-12-02,false,false,true,12456.25,12473.5,12327.25,12512.25,12312.0,12458.5,12412.125,200.25,12473.5,12405.5,12458.0,12392.25,12456.25,12400.067323680994,-104.0,-160.0,40.25,-59.875,-121.25,-53.25,-105.75,-40.0,-104.0,-47.81732368099438,false,true,false,true,0.2009987515605493,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,1,false,false,false,false,false,false,false,false,true,true,true,false,true,12374.25,12327.25,12369.0,true,true,true
2021-11-09T10:13:00.000000,2021-11-09T10:14:00.000000,2021-11-09,2021,2021-11,2,10,14,short,16231.5,16240.5,16213.5,9.0,18.0,2.0,target,1,1,19.5,-2.75,0.044642857142857144,0.7232142857142857,2.083720930232558,1.940007170457714,13.267857142857142,12.93,-76.03425983984016,-76.03425983984016,-41.27701887826879,-48.69589133414229,-103.75,-182.25,-44.25,-180.0,14.0,194.0,49.25,91.5,2,true,true,true,false,true,false,true,true,1349484,2021-11-09T16:14:00.000000,NQZ1,16212.0,16234.25,16212.0,16231.75,1641,2021-11-09,16,14,2,16287.456720014534,-55.70672001453386,0.0012336731074682472,-0.001537822750549811,-0.001184542489692908,16241.674592840505,16251.000636127957,16259.320562262215,-9.924592840505284,-19.250636127957478,-27.57056226221539,22.5,13.696428571428571,13.045,1286.65,1319.68,1.275405121828003,1.243483268671193,22.25,19.75,19.75,0.8876404494382022,2.5,0.0,0.001078133904230949,0.0003080382583517949,0.0026953347605773725,-0.0002618325195988813,2021-11-09,10,5,3,1,0,1,0,1,1,true,true,true,false,true,false,true,true,2021-11-09,10,14,1,614,true,false,false,true,false,false,0.11235955056179775,0.0,bull,13.95,8.3125,1.5949820788530467,2.3759398496240602,true,true,false,false,false,,,,,,,false,false,16238.5,16210.5,16232.0,16211.75,-20.25,0.7232142857142857,false,false,false,false,16394.0,16302.5,16322.0,16387.75,16338.5,16391.75,16197.75,194.0,49.25,91.5,false,true,false,false,false,false,false,false,-162.25,-70.75,-156.0,-106.75,-160.0,34.0,17.5,5.0,43.75,-4.25,-20.5,16264.0,16212.0,16276.75,16185.0,32.25,19.75,45.0,46.75,2021-11-09,false,false,true,16315.5,16391.75,16189.5,16394.0,16256.0,16322.75,16325.0,138.0,16323.0,16282.5,16373.0,16302.0,16315.5,16287.456720014534,-83.75,-162.25,-24.25,-93.25,-91.25,-50.75,-141.25,-70.25,-83.75,-55.70672001453386,false,true,false,true,-0.17572463768115942,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,1,false,false,false,false,false,false,false,false,true,true,true,false,true,16273.5,16210.5,16268.75,true,true,true
2021-11-10T08:37:00.000000,2021-11-10T08:38:00.000000,2021-11-10,2021,2021-11,3,8,38,short,16101.81,16110.25,16084.94,8.44,16.88,2.0,target,1,1,18.56,-2.44,0.0970873786407767,0.8058252427184466,1.5535444947209653,1.3609436707545208,21.303571428571427,10.8,-48.63465220815851,-48.63465220815851,-9.613746387234642,-18.778493471707407,-116.25,-306.75,-75.0,-94.25,43.25,137.5,81.0,231.75,2,false,false,false,false,false,false,false,false,1350768,2021-11-10T14:38:00.000000,NQZ1,16085.0,16104.25,16083.25,16095.25,2498,2021-11-10,14,38,3,16132.99443813848,-37.74443813847938,0.0006372396642835287,0.0023353209509426875,-0.0014579294300116619,16089.640201577962,16094.674341969403,16103.444042747327,5.609798422037784,0.5756580305969692,-8.19404274732733,21.0,22.125,11.13,2033.6,1044.92,1.2283634933123526,2.3906136354936263,21.0,10.25,10.25,0.4880952380952381,9.0,1.75,0.0013513303614420824,0.0025007377953123466,0.0061508830244947355,0.004954877991954154,2021-11-10,5,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,2021-11-10,8,38,2,518,true,true,false,true,false,false,0.42857142857142855,0.08333333333333333,bull,17.2,9.0625,1.2209302325581395,1.1310344827586207,false,false,false,false,false,,,,,,,false,false,16108.25,16082.5,16105.75,16085.0,-20.75,0.8058252427184466,false,false,false,false,16391.75,16160.0,16214.75,16162.5,16081.5,16179.25,16041.75,137.5,81.0,231.75,false,true,false,false,false,false,false,false,-296.5,-64.75,-67.25,13.75,-84.0,53.5,21.75,40.25,99.0,79.75,47.25,16197.75,16083.25,16221.0,16083.25,102.5,12.0,125.75,12.0,2021-11-10,false,false,true,16201.25,16243.0,16041.75,16391.75,16160.0,16197.25,16275.875,231.75,16201.25,16132.5,16243.0,16112.25,16201.25,16132.99443813848,-106.0,-296.5,-64.75,-180.625,-106.0,-37.25,-147.75,-17.0,-106.0,-37.74443813847938,false,true,false,true,-0.27939590075512405,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,true,2,false,false,false,false,false,false,false,false,true,true,true,false,true,16113.5,16041.75,16100.25,true,false,true
2021-12-01T08:32:00.000000,2021-12-01T08:33:00.000000,2021-12-01,2021,2021-12,3,8,33,short,16313.44,16320.0,16300.31,6.56,13.12,2.0,target,1,1,14.44,-2.56,0.0958904109589041,0.821917808219178,2.085714285714286,3.6979192906443648,10.178571428571429,6.88,-32.97582094374047,-32.97582094374047,-36.89587914774529,-47.61934327769268,62.75,-154.75,232.75,-52.25,31.0,83.25,41.5,387.5,1,true,false,true,true,false,true,false,true,1370998,2021-12-01T14:33:00.000000,NQZ1,16301.5,16316.0,16299.0,16306.5,2999,2021-12-01,14,33,3,16333.922313924184,-27.42231392418398,0.0003067202404687386,-0.0020654518749713136,-0.0029806942724812657,16323.721650462543,16335.35817637177,16347.44799648249,-17.22165046254304,-28.85817637177024,-40.94799648248954,17.0,10.535714285714286,7.165,1126.55,630.1,2.6621099818028493,4.759561974289795,17.0,5.0,5.0,0.29411764705882354,9.5,2.5,0.0003219575016097931,-0.00033728881121020127,0.0028669548952870993,0.001809094532855049,2021-12-01,9,2,0,3,1,0,1,0,1,true,false,true,true,false,true,false,true,2021-12-01,8,33,2,513,true,true,false,true,false,false,0.5588235294117647,0.14705882352941177,bull,9.3375,4.2375,1.820615796519411,1.1799410029498525,false,false,false,false,false,,,,,,,false,false,16318.0,16299.75,16316.5,16301.5,-15.0,0.821917808219178,false,true,false,true,16456.25,16068.75,16186.5,16379.0,16337.5,16353.75,16270.5,83.25,41.5,387.5,false,false,false,false,false,false,false,false,-149.75,237.75,-72.5,-31.0,-47.25,36.0,5.25,-5.5,46.75,29.5,91.0,16367.5,16270.5,16377.5,16270.5,61.0,36.0,71.0,36.0,2021-12-01,false,false,true,16238.75,16403.5,16182.5,16456.25,16068.75,16238.25,16262.5,387.5,16378.75,16182.5,16403.5,16301.0,16238.75,16333.922313924184,67.75,-149.75,237.75,44.0,-72.25,124.0,-97.0,5.5,67.75,-27.42231392418398,true,false,false,true,0.6135483870967742,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,1,false,false,false,false,false,false,false,false,true,true,true,false,true,16353.75,16299.0,16344.5,false,true,true
2021-12-30T08:42:00.000000,2021-12-30T08:43:00.000000,2021-12-30,2021,2021-12,4,8,43,short,16467.44,16474.75,16452.81,7.31,14.62,2.0,target,1,1,18.19,-1.31,0.023529411764705882,0.8823529411764706,1.5426497277676952,1.5547175181443005,16.428571428571427,8.1,-45.02103028942656,-45.02103028942656,-39.81647781375432,-47.143251946487,-32.5,-112.25,64.5,-66.0,2.75,68.75,55.75,162.0,3,false,false,false,false,false,true,true,false,1398606,2021-12-30T14:43:00.000000,NQH2,16451.75,16468.75,16449.25,16466.75,1873,2021-12-30,14,43,4,16496.29047533147,-29.54047533146877,0.0008965475322149086,-0.001984908633594906,-0.0008646320004853658,16481.0485739125,16489.429194212444,16497.87292834074,-14.298573912499705,-22.67919421244369,-31.122928340741055,19.5,16.910714285714285,8.385,1497.0,681.4,1.2511690046760187,2.748752568241855,19.5,15.0,15.0,0.7692307692307693,2.0,2.5,0.000561738047884397,0.0018370352376759769,0.004539450711281923,0.005040460321557028,2021-12-30,3,0,0,0,0,0,1,1,0,false,false,false,false,false,true,true,false,2021-12-30,8,43,3,523,true,true,false,true,false,false,0.10256410256410256,0.1282051282051282,bull,14.6375,6.8875,1.3321947053800172,2.1778584392014517,false,false,false,false,true,,,16468.75,16469.25,,0.5,false,false,16472.75,16451.5,16470.75,16452.0,-18.75,0.8823529411764706,false,true,false,true,16549.5,16387.5,16490.5,16530.75,16475.0,16518.0,16449.25,68.75,55.75,162.0,false,false,false,false,false,false,false,false,-82.75,79.25,-64.0,-8.25,-51.25,17.5,9.25,30.25,74.75,83.0,67.0,16541.25,16449.25,16567.5,16449.25,74.5,17.5,100.75,17.5,2021-12-30,false,false,true,16484.5,16542.5,16442.0,16564.25,16387.5,16481.5,16475.875,176.75,16493.0,16442.0,16542.5,16468.75,16484.5,16496.29047533147,-17.75,-97.5,79.25,-9.125,-26.25,24.75,-75.75,-2.0,-17.75,-29.54047533146877,false,true,false,true,0.44837340876944837,false,true,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,true,true,3,false,false,false,true,false,true,false,false,true,true,true,false,true,16518.0,16449.25,16501.25,true,true,true
2022-09-06T10:40:00.000000,2022-09-06T10:41:00.000000,2022-09-06,2022,2022-09,2,10,41,short,12041.75,12049.25,12026.75,7.5,15.0,2.0,target,1,1,16.25,-6.75,0.07954545454545454,0.7159090909090909,1.8106995884773662,1.1487444731792775,11.892857142857142,13.64,-61.61800837391638,-61.61800837391638,-19.160234116379797,-35.98487387273417,-142.5,-155.5,-27.0,-97.5,58.5,156.0,258.75,38.75,1,true,false,true,false,false,true,false,false,1641595,2022-09-06T16:41:00.000000,NQU2,12026.75,12048.5,12025.5,12047.25,1080,2022-09-06,16,41,2,12088.529751392674,-41.27975139267437,0.0016837116487902204,0.00016604055540558882,0.0018919705601063708,12042.244115531488,12046.264021343392,12062.367819995372,5.005884468511795,0.9859786566084949,-15.117819995371974,23.0,12.428571428571429,13.84,1202.15,1262.32,0.8983903838955205,0.855567526459218,23.0,20.5,20.5,0.8913043478260869,1.25,1.25,0.0013488555479466147,0.001411110419390349,-0.004399344248687487,-0.005001141339309845,2022-09-06,5,1,0,2,0,0,2,0,0,true,false,true,false,false,true,false,false,2022-09-06,10,41,1,641,true,false,false,true,false,false,0.05434782608695652,0.05434782608695652,bull,12.5625,6.5625,1.8308457711442787,3.123809523809524,true,true,false,false,false,,,,,,,false,false,12047.25,12025.25,12042.75,12027.0,-15.75,0.7159090909090909,true,false,false,false,12167.5,12128.75,12136.0,12188.75,11930.0,12124.5,11968.5,156.0,258.75,38.75,false,true,false,false,false,false,false,false,-120.25,-81.5,-141.5,117.25,-77.25,78.75,16.25,17.0,-53.0,-60.25,-19.0,12076.5,11989.0,12076.5,11972.5,29.25,58.25,29.25,74.75,2022-09-06,false,false,true,12169.5,12244.5,11930.0,12182.5,12054.0,12169.75,12118.25,128.5,12234.0,12132.0,12244.5,12117.0,12169.5,12088.529751392674,-122.25,-135.25,-6.75,-71.0,-186.75,-84.75,-197.25,-69.75,-122.25,-41.27975139267437,false,true,false,true,-0.05252918287937743,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,1,false,false,false,false,false,false,false,false,true,true,true,false,true,12054.25,12025.25,12041.5,true,false,true
2023-11-16T08:32:00.000000,2023-11-16T08:33:00.000000,2023-11-16,2023,2023-11,4,8,33,short,15843.88,15851.25,15829.12,7.38,14.75,2.0,target,1,1,17.62,-0.12,0.03488372093023256,0.9418604651162791,2.760834670947031,2.5333660853189226,8.982142857142858,6.27,-24.8166323520054,-24.8166323520054,-21.20570170452629,-26.440565042847084,-18.25,-221.0,-3.75,-69.5,3.25,72.75,61.25,144.75,2,true,false,true,false,false,false,true,false,2066563,2023-11-16T14:33:00.000000,NQZ3,15828.25,15844.0,15826.25,15841.5,2994,2023-11-16,14,33,4,15853.071511712498,-11.57151171249825,0.0008213033452317831,-0.00045744932565661145,-0.001087727595176169,15843.843076510277,15848.924206304095,15854.413484060775,-2.34307651027666,-7.424206304094696,-12.913484060774863,17.75,9.571428571428571,6.54,1350.6,860.1,2.216792536650378,3.480990582490408,17.75,13.25,13.25,0.7464788732394366,2.5,2.0,0.0007732853580784127,0.002098917400498612,0.002777514755547106,0.0018779787267619863,2023-11-16,11,1,0,5,0,0,0,1,0,true,false,true,false,false,false,true,false,2023-11-16,8,33,3,513,true,true,false,true,false,false,0.14084507042253522,0.11267605633802817,bull,8.3375,4.3125,2.128935532233883,3.072463768115942,true,true,false,false,false,,,,,,,false,false,15849.25,15827.75,15848.75,15828.5,-20.25,0.9418604651162791,false,true,false,true,15977.25,15832.5,15887.0,15883.25,15822.0,15898.0,15825.25,72.75,61.25,144.75,false,true,false,true,false,false,false,false,-135.75,9.0,-41.75,19.5,-56.5,16.25,12.25,33.25,44.0,29.75,-25.5,15899.5,15826.25,15905.75,15826.25,58.0,15.25,64.25,15.25,2023-11-16,false,false,true,15846.75,15883.25,15822.0,16049.5,15832.25,15845.25,15940.875,217.25,15881.0,15824.0,15873.5,15822.0,15846.75,15853.071511712498,-5.25,-208.0,9.25,-99.375,-39.5,17.5,-32.0,19.5,-5.25,-11.57151171249825,false,true,false,true,0.04257767548906789,false,true,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,true,1,false,false,false,true,true,true,false,false,true,true,true,false,true,15855.25,15825.25,15847.5,true,true,true
