idx,ts_event,symbol,open,high,low,close,volume,trade_date_utc,hour_utc,minute_utc,weekday,vwap_day,dist_vwap_day,return_1m,return_5m,return_15m,ema_9,ema_20,ema_50,dist_ema_9,dist_ema_20,dist_ema_50,true_range,atr_14,atr_50,vol_avg_20,vol_avg_50,rel_vol_20,rel_vol_50,bar_range,body,body_abs,body_pct,upper_wick,lower_wick,fwd_return_5m,fwd_return_15m,fwd_return_30m,fwd_return_60m,event_date_utc,usd_event_count,high_impact_event_count,cpi_event_count,fomc_event_count,nfp_event_count,ppi_event_count,pmi_ism_event_count,jobs_event_count,fed_speech_event_count,has_high_impact_usd_event,has_cpi,has_fomc,has_nfp,has_ppi,has_pmi_ism,has_jobs,has_fed_speech,ts_ct,trade_date_ct,hour_ct,minute_ct,weekday_ct,minute_of_day_ct,is_rth,is_opening_30m,is_premarket_window,is_morning_trade_window,is_lunch_window,is_pm_window,upper_wick_pct,lower_wick_pct,candle_direction,avg_range_20,avg_body_20,range_expansion_20,body_expansion_20,is_displacement_candle,bull_displacement,bear_displacement,bull_fvg,bear_fvg,bull_fvg_low,bull_fvg_high,bear_fvg_low,bear_fvg_high,bull_fvg_size,bear_fvg_size,bull_fvg_min_2pt,bear_fvg_min_2pt,prior_high,prior_low,prior_open,prior_close,prior_body,prior_body_pct,swept_prior_bar_high,swept_prior_bar_low,prior_high_sweep_close_back_below,prior_low_sweep_close_back_above,prior_rth_high,prior_rth_low,prior_rth_close,premarket_high,premarket_low,or_high_30m,or_low_30m,or_range_30m,premarket_range,prior_day_range,swept_prior_rth_high,swept_prior_rth_low,pdh_sweep_close_back_below,pdl_sweep_close_back_above,pmh_sweep_close_back_below,pml_sweep_close_back_above,above_or_high,below_or_low,dist_prior_rth_high,dist_prior_rth_low,dist_premarket_high,dist_premarket_low,dist_or_high_30m,dist_or_low_30m,fwd_points_5m,fwd_points_15m,fwd_points_30m,fwd_points_60m,fwd_points_120m,future_high_30m,future_low_30m,future_high_60m,future_low_60m,mfe_30m,mae_30m,mfe_60m,mae_60m,ict_session_date,is_asia_session,is_london_session,is_ny_rth_session,dol,session_high_so_far,session_low_so_far,pdh,pdl,pdc,prior_session_mid,prior_session_range,asia_high,asia_low,london_high,london_low,ny_open,vwap,dist_dol,dist_pdh,dist_pdl,dist_prior_session_mid,dist_asia_high,dist_asia_low,dist_london_high,dist_london_low,dist_ny_open,dist_vwap,above_dol,below_dol,above_vwap,below_vwap,prior_range_position,premium_vs_prior_range,discount_vs_prior_range,pdh_sweep_reclaim_now,pdh_sweep_reclaim_last_30m,pdl_sweep_reclaim_now,pdl_sweep_reclaim_last_30m,pmh_sweep_reclaim_now,pmh_sweep_reclaim_last_30m,pml_sweep_reclaim_now,pml_sweep_reclaim_last_30m,asia_high_sweep_reclaim_now,asia_high_sweep_reclaim_last_30m,asia_low_sweep_reclaim_now,asia_low_sweep_reclaim_last_30m,london_high_sweep_reclaim_now,london_high_sweep_reclaim_last_30m,london_low_sweep_reclaim_now,london_low_sweep_reclaim_last_30m,any_liquidity_sweep_reclaim_last_30m,liquidity_sweep_reclaim_count_last_30m,dol_cross_now,bull_dol_reclaim_now,bear_dol_reclaim_now,dol_cross_last_10m,bull_dol_reclaim_last_10m,bear_dol_reclaim_last_10m,inside_bull_fvg_current_bar,inside_bear_fvg_current_bar,recent_bull_fvg_last_120m,recent_bear_fvg_last_120m,bull_ifvg_proxy_fast,bear_ifvg_proxy_fast,any_ifvg_proxy_fast,prior_10m_high,prior_10m_low,prior_10m_open,bull_v_reversal_proxy,bear_v_reversal_proxy,any_v_reversal_proxy,year,month
32067,2018-02-02T16:24:00.000000,NQH8,6847.5,6847.75,6840.5,6841.0,1093,2018-02-02,16,24,5,6864.33517994391,-23.33517994390968,-0.000985725238216939,-0.0005478651521239053,-0.001787473096705905,6846.710255314474,6849.652367523134,6851.0417075586865,-5.710255314474125,-8.652367523133762,-10.04170755868654,7.25,5.482142857142857,5.04,1019.6,1074.16,1.0719890153001177,1.0175392865122515,7.25,-6.5,6.5,0.896551724137931,0.25,0.5,0.0004019880134482623,0.000036544364858892564,0.001023242216050324,0.000767431662037632,2018-02-02,3,1,0,1,0,0,0,0,0,true,false,true,false,false,false,false,false,2018-02-02T10:24:00.000000,2018-02-02,10,24,4,624,true,false,false,true,false,false,0.034482758620689655,0.06896551724137931,bear,5.25,3.125,1.380952380952381,2.08,false,false,false,false,false,,,,,,,false,false,6847.75,6842.5,6844.25,6847.75,3.5,0.6666666666666666,false,true,false,false,6979.5,6884.75,6912.25,6893.25,6855.5,6895.75,6835.5,60.25,37.75,94.75,false,true,false,false,false,false,false,false,-138.5,-43.75,-52.25,-14.5,-54.75,5.5,2.75,0.25,7.0,5.25,-24.75,6851.5,6832.5,6851.5,6820.0,10.5,8.5,10.5,21.0,2018-02-02,false,false,true,6954.0,6963.5,6803.0,6987.75,6884.75,6935.75,6936.25,103.0,6963.5,6912.5,6939.75,6844.5,6954.0,6864.33517994391,-113.0,-146.75,-43.75,-95.25,-122.5,-71.5,-98.75,-3.5,-113.0,-23.33517994390968,false,true,false,true,-0.42475728155339804,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,true,2,false,false,false,false,false,false,false,false,true,true,false,true,true,6863.75,6840.5,6862.5,false,true,true,2018,2018-02
32086,2018-02-02T16:43:00.000000,NQH8,6845.0,6846.5,6838.75,6838.75,760,2018-02-02,16,43,5,6862.979734047225,-24.229734047225065,-0.0009130752373995854,0.000036557724647279244,-0.0009130752373995854,6841.380566154771,6842.479057716997,6845.900288765393,-2.630566154771259,-3.7290577169969765,-7.15028876539327,7.75,4.946428571428571,5.22,1036.65,1004.62,0.7331307577292239,0.7565049471441938,7.75,-6.25,6.25,0.8064516129032258,1.5,0.0,0.000840796929263421,-0.00040212027051722554,-0.0006580149881191266,0.0025955035642477586,2018-02-02,3,1,0,1,0,0,0,0,0,true,false,true,false,false,false,false,false,2018-02-02T10:43:00.000000,2018-02-02,10,43,4,643,true,false,false,true,false,false,0.1935483870967742,0.0,bear,5.475,2.425,1.4155251141552512,2.577319587628866,false,false,false,false,false,,,,,,,false,false,6847.25,6842.75,6845.0,6845.0,0.0,0.0,false,true,false,false,6979.5,6884.75,6912.25,6893.25,6855.5,6895.75,6835.5,60.25,37.75,94.75,false,true,false,false,false,false,false,false,-140.75,-46.0,-54.5,-16.75,-57.0,3.25,5.75,-2.75,-4.5,17.75,-20.75,6848.0,6820.0,6859.0,6820.0,9.25,18.75,20.25,18.75,2018-02-02,false,false,true,6954.0,6963.5,6803.0,6987.75,6884.75,6935.75,6936.25,103.0,6963.5,6912.5,6939.75,6844.5,6954.0,6862.979734047225,-115.25,-149.0,-46.0,-97.5,-124.75,-73.75,-101.0,-5.75,-115.25,-24.229734047225065,false,true,false,true,-0.44660194174757284,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,1,false,false,false,false,false,false,false,false,true,true,false,true,true,6847.25,6832.5,6840.75,true,true,true,2018,2018-02
37430,2018-02-08T14:47:00.000000,NQH8,6560.0,6561.5,6553.0,6553.0,1646,2018-02-08,14,47,4,6573.93705709454,-20.93705709454025,-0.0010290026296734256,-0.003004830550378479,-0.006744979158772257,6567.708072611737,6578.8852619266845,6590.399713129843,-14.708072611737407,-25.885261926684507,-37.399713129842894,8.5,10.785714285714286,6.345,1824.2,867.8,0.9023133428352154,1.8967504033187372,8.5,-7.0,7.0,0.8235294117647058,1.5,0.0,0.0023271783915763677,0.001640470013734241,0.004120250267053205,-0.004158400732488965,2018-02-08,3,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,2018-02-08T08:47:00.000000,2018-02-08,8,47,3,527,true,true,false,true,false,false,0.17647058823529413,0.0,bear,10.65,5.075,0.7981220657276995,1.379310344827586,false,false,false,false,false,,,,,,,false,false,6565.0,6555.75,6559.75,6559.75,0.0,0.0,false,true,false,false,6717.75,6578.25,6583.25,6618.5,6574.5,6604.25,6545.75,58.5,44.0,139.5,false,true,false,false,false,false,false,false,-164.75,-25.25,-65.5,-21.5,-51.25,7.25,15.25,10.75,27.0,-27.25,-69.5,6589.5,6545.75,6589.5,6519.5,36.5,7.25,36.5,33.5,2018-02-08,false,false,true,6542.0,6618.5,6490.25,6717.75,6532.0,6545.25,6624.875,185.75,6583.25,6490.25,6612.0,6540.0,6542.0,6573.93705709454,11.0,-164.75,21.0,-71.875,-30.25,62.75,-59.0,13.0,11.0,-20.93705709454025,true,false,false,true,0.11305518169582772,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,1,false,false,false,false,false,false,false,false,true,true,false,true,true,6597.5,6553.0,6585.5,false,true,true,2018,2018-02
37513,2018-02-08T16:10:00.000000,NQH8,6505.25,6505.75,6494.0,6494.5,1107,2018-02-08,16,10,4,6558.388626520889,-63.888626520889375,-0.0016908769502728127,-0.0036818286415586376,0.0018125024102426668,6505.778955217198,6508.787997495291,6524.415601559141,-11.278955217198018,-14.287997495291165,-29.91560155914067,11.75,9.089285714285714,9.85,1519.35,1342.34,0.7286010465001481,0.824679291386683,11.75,-10.75,10.75,0.9148936170212766,0.5,0.5,-0.001308799753637735,-0.004234352144121933,-0.0011163292016321824,-0.001424282084841022,2018-02-08,3,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,2018-02-08T10:10:00.000000,2018-02-08,10,10,3,610,true,false,false,true,false,false,0.0425531914893617,0.0425531914893617,bear,10.1125,5.075,1.1619283065512978,2.1182266009852215,false,false,false,false,true,,,6505.75,6508.25,,2.5,false,true,6511.5,6503.5,6511.0,6505.5,-5.5,0.6875,false,true,false,false,6717.75,6578.25,6583.25,6618.5,6574.5,6604.25,6545.75,58.5,44.0,139.5,false,true,false,false,false,false,false,true,-223.25,-83.75,-124.0,-80.0,-109.75,-51.25,-8.5,-27.5,-7.25,-9.25,-50.5,6511.75,6457.75,6515.0,6457.75,17.25,36.75,20.5,36.75,2018-02-08,false,false,true,6542.0,6618.5,6473.25,6717.75,6532.0,6545.25,6624.875,185.75,6583.25,6490.25,6612.0,6540.0,6542.0,6558.388626520889,-47.5,-223.25,-37.5,-130.375,-88.75,4.25,-117.5,-45.5,-47.5,-63.888626520889375,false,true,false,true,-0.2018842530282638,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,1,false,false,false,false,false,false,false,false,true,true,false,true,true,6522.75,6494.0,6495.5,false,true,true,2018,2018-02
37519,2018-02-08T16:16:00.000000,NQH8,6485.75,6487.25,6475.0,6475.25,1662,2018-02-08,16,16,4,6555.981539417985,-80.731539417985,-0.0016574159728646176,-0.004114118732697625,-0.004267261264031985,6491.7756704364565,6499.703830378336,6516.988993404294,-16.525670436456494,-24.453830378335624,-41.73899340429398,12.25,10.196428571428571,10.24,1238.8,1401.46,1.3416209234743302,1.1859061264681119,12.25,-10.5,10.5,0.8571428571428571,1.5,0.25,-0.0010038222462452895,-0.0022006872321531645,0.0010424307941778732,0.0010424307941778732,2018-02-08,3,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,2018-02-08T10:16:00.000000,2018-02-08,10,16,3,616,true,false,false,true,false,false,0.12244897959183673,0.02040816326530612,bear,10.1,5.325,1.2128712871287128,1.971830985915493,false,false,false,false,false,,,,,,,false,false,6495.5,6484.25,6485.0,6486.0,1.0,0.08888888888888889,false,true,false,false,6717.75,6578.25,6583.25,6618.5,6574.5,6604.25,6545.75,58.5,44.0,139.5,false,true,false,false,false,false,false,true,-242.5,-103.0,-143.25,-99.25,-129.0,-70.5,-6.5,-14.25,6.75,6.75,-21.0,6503.5,6457.75,6515.0,6457.75,28.25,17.5,39.75,17.5,2018-02-08,false,false,true,6542.0,6618.5,6473.25,6717.75,6532.0,6545.25,6624.875,185.75,6583.25,6490.25,6612.0,6540.0,6542.0,6555.981539417985,-66.75,-242.5,-56.75,-149.625,-108.0,-15.0,-136.75,-64.75,-66.75,-80.731539417985,false,true,false,true,-0.30551816958277256,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,1,false,false,false,false,false,false,false,false,true,true,false,true,true,6517.5,6475.0,6509.0,false,true,true,2018,2018-02
37520,2018-02-08T16:17:00.000000,NQH8,6475.0,6487.75,6475.0,6484.0,1886,2018-02-08,16,17,4,6555.439382472983,-71.4393824729832,0.0013512991776378769,-0.0030750307503074614,-0.004146828444171358,6490.220536349165,6498.208227485161,6515.69530738844,-6.220536349164831,-14.208227485160933,-31.695307388439687,12.75,10.642857142857142,10.215,1234.7,1418.16,1.527496557868308,1.329892254752637,12.75,9.0,9.0,0.7058823529411765,3.75,0.0,-0.0026989512646514724,-0.0020820481184453676,-0.00007711289327572146,-0.0013880320789636524,2018-02-08,3,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,2018-02-08T10:17:00.000000,2018-02-08,10,17,3,617,true,false,false,true,false,false,0.29411764705882354,0.0,bull,10.175,5.3625,1.2530712530712529,1.6783216783216783,false,false,false,false,false,,,,,,,false,false,6487.25,6475.0,6485.75,6475.25,-10.5,0.8571428571428571,true,false,true,false,6717.75,6578.25,6583.25,6618.5,6574.5,6604.25,6545.75,58.5,44.0,139.5,false,true,false,false,false,false,false,true,-233.75,-94.25,-134.5,-90.5,-120.25,-61.75,-17.5,-13.5,-0.5,-9.0,-25.0,6503.5,6457.75,6515.0,6457.75,19.5,26.25,31.0,26.25,2018-02-08,false,false,true,6542.0,6618.5,6473.25,6717.75,6532.0,6545.25,6624.875,185.75,6583.25,6490.25,6612.0,6540.0,6542.0,6555.439382472983,-58.0,-233.75,-48.0,-140.875,-99.25,-6.25,-128.0,-56.0,-58.0,-71.4393824729832,false,true,false,true,-0.25841184387617766,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,1,false,false,false,false,false,false,false,false,true,true,true,false,true,6517.5,6475.0,6508.5,false,true,true,2018,2018-02
37531,2018-02-08T16:28:00.000000,NQH8,6462.0,6477.0,6461.5,6474.75,1214,2018-02-08,16,28,4,6551.219890704987,-76.46989070498694,0.0019730733519034427,0.002050607444092023,-0.0021575804276632304,6469.486778639185,6478.088349482628,6498.915751144086,5.263221360814896,-3.3383494826275637,-24.165751144086244,15.5,10.464285714285714,10.19,1265.65,1380.54,0.9591909295618851,0.8793660451707304,15.5,12.75,12.75,0.8225806451612904,2.25,0.5,0.000038611529402654554,0.00023166917641614937,0.0037067068226572797,-0.0031275338816170173,2018-02-08,3,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,2018-02-08T10:28:00.000000,2018-02-08,10,28,3,628,true,false,false,true,false,false,0.14516129032258066,0.03225806451612903,bull,10.875,5.5375,1.4252873563218391,2.3024830699774266,false,false,false,false,false,,,,,,,false,false,6467.0,6460.25,6461.75,6462.0,0.25,0.037037037037037035,true,false,false,false,6717.75,6578.25,6583.25,6618.5,6574.5,6604.25,6545.75,58.5,44.0,139.5,false,true,false,false,false,false,false,true,-243.0,-103.5,-143.75,-99.75,-129.5,-71.0,0.25,1.5,24.0,-20.25,-43.5,6515.0,6459.5,6515.0,6435.5,40.25,15.25,40.25,39.25,2018-02-08,false,false,true,6542.0,6618.5,6457.75,6717.75,6532.0,6545.25,6624.875,185.75,6583.25,6490.25,6612.0,6540.0,6542.0,6551.219890704987,-67.25,-243.0,-57.25,-150.125,-108.5,-15.5,-137.25,-65.25,-67.25,-76.46989070498694,false,true,false,true,-0.3082099596231494,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,1,false,false,false,false,false,false,false,false,true,true,true,false,true,6482.0,6457.75,6480.0,true,false,true,2018,2018-02
37532,2018-02-08T16:29:00.000000,NQH8,6475.5,6476.75,6467.0,6467.0,1060,2018-02-08,16,29,4,6550.882226231542,-83.88222623154161,-0.0011969574114830683,0.0002706778546845978,-0.0028525171536504246,6468.989422911348,6477.032316198568,6497.6641530600045,-1.9894229113479014,-10.032316198567969,-30.664153060004537,9.75,10.357142857142858,10.16,1279.1,1379.36,0.8287076850910797,0.7684723349959403,9.75,-8.5,8.5,0.8717948717948718,1.25,0.0,0.002590072676666111,0.002512757074377703,0.004638936137312477,-0.001894232256069328,2018-02-08,3,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,2018-02-08T10:29:00.000000,2018-02-08,10,29,3,629,true,false,false,true,false,false,0.1282051282051282,0.0,bear,10.9625,5.6875,0.8893956670467502,1.4945054945054945,false,false,false,false,false,,,,,,,false,false,6477.0,6461.5,6462.0,6474.75,12.75,0.8225806451612904,false,false,false,false,6717.75,6578.25,6583.25,6618.5,6574.5,6604.25,6545.75,58.5,44.0,139.5,false,true,false,false,false,false,false,true,-250.75,-111.25,-151.5,-107.5,-137.25,-78.75,16.75,16.25,30.0,-12.25,-42.5,6515.0,6459.5,6515.0,6435.5,48.0,7.5,48.0,31.5,2018-02-08,false,false,true,6542.0,6618.5,6457.75,6717.75,6532.0,6545.25,6624.875,185.75,6583.25,6490.25,6612.0,6540.0,6542.0,6550.882226231542,-75.0,-250.75,-65.0,-157.875,-116.25,-23.25,-145.0,-73.0,-75.0,-83.88222623154161,false,true,false,true,-0.34993270524899056,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,1,false,false,false,false,false,false,false,false,true,true,false,true,true,6482.0,6457.75,6477.0,false,true,true,2018,2018-02
37539,2018-02-08T16:36:00.000000,NQH8,6491.5,6492.25,6482.25,6483.0,1765,2018-02-08,16,36,4,6548.478962971904,-65.47896297190437,-0.0013094046060232456,0.0034050456585668076,0.0022028985507245302,6477.813346623738,6477.778909875987,6492.780858097885,5.186653376262257,5.221090124013244,-9.780858097885357,10.0,10.75,10.645,1243.55,1395.16,1.4193237103453822,1.2650878752257806,10.0,-8.5,8.5,0.85,0.75,0.75,0.00003856239395338967,0.0023523060311583244,0.001812432515810647,-0.004087613759062192,2018-02-08,3,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,2018-02-08T10:36:00.000000,2018-02-08,10,36,3,636,true,false,false,true,false,false,0.075,0.075,bear,10.7875,6.225,0.9269988412514485,1.3654618473895583,false,false,false,false,false,,,,,,,false,false,6492.0,6480.75,6483.5,6491.5,8.0,0.7111111111111111,true,false,true,false,6717.75,6578.25,6583.25,6618.5,6574.5,6604.25,6545.75,58.5,44.0,139.5,false,true,false,false,false,false,false,true,-234.75,-95.25,-135.5,-91.5,-121.25,-62.75,0.25,15.25,11.75,-26.5,-34.25,6515.0,6473.0,6515.0,6435.5,32.0,10.0,32.0,47.5,2018-02-08,false,false,true,6542.0,6618.5,6457.75,6717.75,6532.0,6545.25,6624.875,185.75,6583.25,6490.25,6612.0,6540.0,6542.0,6548.478962971904,-59.0,-234.75,-49.0,-141.875,-100.25,-7.25,-129.0,-57.0,-59.0,-65.47896297190437,false,true,false,true,-0.26379542395693134,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,1,false,false,false,false,false,false,false,false,true,true,false,true,true,6492.25,6459.5,6461.75,true,false,true,2018,2018-02
37543,2018-02-08T16:40:00.000000,NQH8,6495.0,6497.0,6487.25,6487.25,1178,2018-02-08,16,40,4,6547.501722439175,-60.251722439174955,-0.0011932255581216245,-0.0006547023030116783,0.0031312818926858554,6484.560746777082,6481.491440366661,6492.20778658957,2.689253222917614,5.758559633339246,-4.957786589569878,9.75,11.535714285714286,10.79,1196.35,1371.44,0.9846616792744599,0.8589511754068716,9.75,-7.75,7.75,0.7948717948717948,2.0,0.0,0.0004239084357777756,0.0033527303556977195,-0.00030829704420209936,-0.003583953138849294,2018-02-08,3,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,2018-02-08T10:40:00.000000,2018-02-08,10,40,3,640,true,false,false,true,false,false,0.20512820512820512,0.0,bear,10.6375,6.3375,0.9165687426556992,1.222879684418146,false,false,false,false,false,,,,,,,false,false,6503.5,6488.75,6491.25,6495.0,3.75,0.2542372881355932,false,true,false,false,6717.75,6578.25,6583.25,6618.5,6574.5,6604.25,6545.75,58.5,44.0,139.5,false,true,false,false,false,false,false,true,-230.5,-91.0,-131.25,-87.25,-117.0,-58.5,2.75,21.75,-2.0,-23.25,-23.0,6515.0,6473.0,6515.0,6435.5,27.75,14.25,27.75,51.75,2018-02-08,false,false,true,6542.0,6618.5,6457.75,6717.75,6532.0,6545.25,6624.875,185.75,6583.25,6490.25,6612.0,6540.0,6542.0,6547.501722439175,-54.75,-230.5,-44.75,-137.625,-96.0,-3.0,-124.75,-52.75,-54.75,-60.251722439174955,false,true,false,true,-0.24091520861372812,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,1,false,false,false,false,false,false,false,false,true,true,false,true,true,6503.5,6459.5,6475.0,true,true,true,2018,2018-02
