signal_time,entry_time,trade_date,year,month,day_of_week,hour,minute,side,entry_price,stop_price,target_price,risk_points,result_points,result_rr,exit_reason,bars_held,fill_bars,mfe_points,mae_points,lower_wick_pct,body_pct,range_expansion_20,rel_vol_20,in_original,subset
2018-10-12T10:08:00.000000,2018-10-12T10:09:00.000000,2018-10-12,2018,2018-10,5,10,9,short,7093.44,7100.25,7079.81,6.81,13.62,2.0,target,1,1,13.69,-3.06,0.05194805194805195,0.9090909090909091,1.9395465994962215,1.5825852069595614,0,EXTRA
2018-12-06T08:33:00.000000,2018-12-06T08:34:00.000000,2018-12-06,2018,2018-12,4,8,34,short,6657.81,6664.5,6644.44,6.69,-6.69,-1.0,stop,1,1,12.56,-21.19,0.13333333333333333,0.6666666666666666,2.245508982035928,2.897962252800962,0,EXTRA
2018-12-21T08:31:00.000000,2018-12-21T08:32:00.000000,2018-12-21,2018,2018-12,5,8,32,short,6293.38,6300.0,6280.12,6.62,-6.62,-1.0,stop_same_bar,1,1,14.88,-9.62,0.12162162162162163,0.6756756756756757,1.9096774193548387,2.5951693357836705,0,EXTRA
2018-12-27T08:35:00.000000,2018-12-27T08:36:00.000000,2018-12-27,2018,2018-12,4,8,36,short,6194.81,6202.0,6180.44,7.19,-7.19,-1.0,stop,1,1,12.56,-7.44,0.1566265060240964,0.6506024096385542,1.9506462984723856,2.7180159290251034,0,EXTRA
2020-02-27T08:32:00.000000,2020-02-27T08:33:00.000000,2020-02-27,2020,2020-02,4,8,33,short,8654.12,8662.0,8638.38,7.88,-7.88,-1.0,stop_same_bar,1,1,18.38,-15.62,0.14893617021276595,0.8404255319148937,1.5918712955122778,3.008181578252837,0,EXTRA
2020-04-03T10:32:00.000000,2020-04-03T10:33:00.000000,2020-04-03,2020,2020-04,5,10,33,short,7486.0,7492.0,7474.0,6.0,-6.0,-1.0,stop,3,1,10.25,-8.0,0.1875,0.71875,1.7728531855955678,1.3129221071589374,0,EXTRA
2020-04-16T10:17:00.000000,2020-04-16T10:18:00.000000,2020-04-16,2020,2020-04,4,10,18,short,8694.69,8701.0,8682.06,6.31,12.62,2.0,target,2,1,15.94,-2.56,0.2898550724637681,0.6811594202898551,1.547085201793722,2.379083634880995,0,EXTRA
2020-04-17T08:38:00.000000,2020-04-17T08:39:00.000000,2020-04-17,2020,2020-04,5,8,39,short,8773.06,8779.5,8760.19,6.44,12.88,2.0,target,1,1,13.06,-0.69,0.19718309859154928,0.7605633802816901,1.5901455767077268,1.1046061127851916,0,EXTRA
2020-06-16T08:41:00.000000,2020-06-16T08:42:00.000000,2020-06-16,2020,2020-06,2,8,42,short,9951.25,9958.25,9937.25,7.0,14.0,2.0,target,1,1,17.0,-0.5,0.125,0.7875,1.5252621544327931,1.4723697001420775,0,EXTRA
2020-06-26T08:50:00.000000,2020-06-26T08:51:00.000000,2020-06-26,2020,2020-06,5,8,51,short,9869.56,9877.75,9853.19,8.19,-8.19,-1.0,stop_same_bar,1,1,16.81,-14.44,0.06060606060606061,0.8080808080808081,1.5068493150684932,1.6703399279176498,0,EXTRA
