feature,orig_mean,extra_mean,extra_win_mean,extra_loss_mean,extra_minus_orig,abs_extra_minus_orig
stop_price,17873.81771,17255.36446,16563.40972,17785.37234,-618.45325,618.45325
entry_price,17863.11917,17247.14265,16555.79972,17776.68191,-615.97652,615.97652
target_price,17841.72458,17230.69771,16540.57528,17759.30213,-611.02687,611.02687
result_points,19.16979,1.68084,15.22111,-8.69043,-17.48895,17.48895
mfe_points,27.50417,18.27795,19.40333,17.41596,-9.22621,9.22621
mae_points,-4.15646,-9.6612,-3.20028,-14.61,-5.50475,5.50475
risk_points,10.69896,8.22205,7.61056,8.69043,-2.47691,2.47691
minute,35.70833,33.71084,33.11111,34.17021,-1.99749,1.99749
result_rr,1.75,0.3012,2.0,-1.0,-1.4488,1.4488
bars_held,1.125,1.79518,1.88889,1.7234,0.67018,0.67018
rel_vol_20,2.38817,2.53995,2.55374,2.5294,0.15178,0.15178
range_expansion_20,2.14288,2.02343,2.01197,2.03222,-0.11945,0.11945
year,2023.14583,2023.03614,2022.91667,2023.12766,-0.10969,0.10969
day_of_week,3.25,3.3253,3.47222,3.21277,0.0753,0.0753
hour,8.83333,8.77108,8.77778,8.76596,-0.06225,0.06225
lower_wick_pct,0.1314,0.16124,0.13961,0.17781,0.02984,0.02984
body_pct,0.79487,0.7654,0.77268,0.75983,-0.02947,0.02947
fill_bars,1.0,1.0,1.0,1.0,0.0,0.0
