label,trades,wins,losses,winrate,net_points,avg_trade,profit_factor,max_dd,first_trade,last_trade
mae_points_gt_q50_-6.62,65,65,0,100.0,1123.87,17.29,,0.0,2018-10-12 10:09:00,2026-03-18 10:36:00
mae_points_gt_q60_-4.0,51,51,0,100.0,876.5,17.19,,0.0,2018-10-12 10:09:00,2026-03-18 10:36:00
mae_points_gt_q75_-2.0,31,31,0,100.0,555.51,17.92,,0.0,2020-03-04 08:38:00,2026-03-18 10:36:00
mae_points_gt_q40_-8.38,77,74,3,96.1,1307.01,16.97,66.35,-7.19,2018-10-12 10:09:00,2026-03-18 10:36:00
lower_wick_pct_lt_q25_0.07921,33,29,4,87.88,496.31,15.04,15.57,-10.38,2018-10-12 10:09:00,2026-03-18 10:36:00
mae_points_gt_q30_-10.12,91,77,14,84.62,1306.55,14.36,13.61,-15.25,2018-10-12 10:09:00,2026-05-05 10:32:00
lower_wick_pct_lt_q30_0.09091,39,33,6,84.62,559.88,14.36,12.11,-14.69,2018-10-12 10:09:00,2026-03-18 10:36:00
mfe_points_gt_q75_25.62,32,27,5,84.38,598.06,18.69,11.08,-14.94,2019-08-29 08:38:00,2026-02-26 08:46:00
mae_points_gt_q25_-11.06,97,78,19,80.41,1293.67,13.34,9.96,-15.25,2018-10-12 10:09:00,2026-05-05 10:32:00
mae_points_gt_q20_-11.94,104,80,24,76.92,1315.73,12.65,8.0,-18.5,2018-10-12 10:09:00,2026-05-05 10:32:00
lower_wick_pct_lt_q40_0.11628,52,39,13,75.0,612.5,11.78,6.71,-23.94,2018-10-12 10:09:00,2026-03-18 10:36:00
rel_vol_20_lt_q30_1.55776,39,29,10,74.36,441.45,11.32,6.31,-14.19,2020-04-03 10:33:00,2026-05-05 10:32:00
mfe_points_gt_q60_21.94,52,38,14,73.08,725.08,13.94,5.69,-45.94,2019-08-29 08:38:00,2026-03-16 08:48:00
body_pct_gt_q75_0.84043,32,23,9,71.88,360.6,11.27,5.69,-28.44,2018-10-12 10:09:00,2026-03-18 10:36:00
range_expansion_20_lt_q25_1.61596,33,23,10,69.7,341.25,10.34,5.57,-15.19,2020-02-27 08:33:00,2026-02-26 08:46:00
lower_wick_pct_lt_q50_0.13757,65,46,19,70.77,675.12,10.39,5.36,-33.25,2018-10-12 10:09:00,2026-03-18 10:36:00
mae_points_gt_q10_-15.69,117,80,37,68.38,1207.65,10.32,5.08,-23.94,2018-10-12 10:09:00,2026-05-05 10:32:00
rel_vol_20_lt_q25_1.47237,33,23,10,69.7,338.94,10.27,5.08,-14.19,2020-04-03 10:33:00,2026-05-05 10:32:00
