year,trades,wins,losses,net_points,avg_trade,tier,winrate
2025,1675,656,1019,100.5,0.06,SNIPER,39.16
2022,1892,722,1170,959.75,0.51,SNIPER,38.16
2019,440,169,271,472.5,1.07,SNIPER,38.41
2020,1247,491,756,295.0,0.24,SNIPER,39.37
2023,1212,415,797,-749.5,-0.62,SNIPER,34.24
2026,674,284,390,904.0,1.34,SNIPER,42.14
2024,1319,506,813,526.5,0.4,SNIPER,38.36
2018,660,258,402,139.5,0.21,SNIPER,39.09
2021,1291,494,797,-15.0,-0.01,SNIPER,38.26
2025,1796,710,1086,273.0,0.15,ELITE,39.53
2019,478,188,290,542.5,1.13,ELITE,39.33
2022,2001,774,1227,1092.5,0.55,ELITE,38.68
2026,708,304,404,1010.75,1.43,ELITE,42.94
2023,1290,443,847,-772.0,-0.6,ELITE,34.34
2020,1347,536,811,506.0,0.38,ELITE,39.79
2018,695,275,420,179.25,0.26,ELITE,39.57
2024,1427,551,876,561.0,0.39,ELITE,38.61
2021,1373,523,850,-133.75,-0.1,ELITE,38.09
2022,2011,779,1232,1132.25,0.56,A,38.74
2019,480,190,290,554.5,1.16,A,39.58
2025,1814,718,1096,332.75,0.18,A,39.58
2023,1297,446,851,-790.5,-0.61,A,34.39
2020,1355,537,818,435.75,0.32,A,39.63
2026,718,309,409,1025.0,1.43,A,43.04
2024,1439,559,880,617.5,0.43,A,38.85
2018,701,276,425,149.5,0.21,A,39.37
2021,1382,526,856,-175.5,-0.13,A,38.06
2025,1824,722,1102,356.75,0.2,B,39.58
2022,2022,789,1233,1311.0,0.65,B,39.02
2019,483,191,292,548.5,1.14,B,39.54
2023,1302,446,856,-830.5,-0.64,B,34.25
2020,1357,538,819,442.0,0.33,B,39.65
2026,722,310,412,979.75,1.36,B,42.94
2024,1450,566,884,672.5,0.46,B,39.03
2018,707,279,428,158.25,0.22,B,39.46
2021,1389,532,857,-90.5,-0.07,B,38.3
