conditions,trades,expectancy_score,win_10,win_20,win_30,win_40,avg_15m,avg_30m,avg_60m,med_30m,std_30m
large_or,732,64.72710382513661,0.523224043715847,0.476775956284153,0.4603825136612022,0.453551912568306,13.5823087431694,18.546448087431695,26.8025956284153,16.875,155.56436484116045
expansion_bar,888,55.00179617117117,0.5101351351351351,0.42117117117117114,0.40878378378378377,0.4189189189189189,12.37134009009009,14.706362612612613,18.18975225225225,13.5,126.08493818245161
tight_spread & large_or,679,53.690375552282774,0.5272459499263623,0.4801178203240059,0.44477172312223856,0.4491899852724595,14.029086892488955,16.46944035346097,28.695508100147276,12.0,154.61322141099242
tight_spread,1538,51.82910110533161,0.5045513654096229,0.41677503250975295,0.38491547464239273,0.39986996098829647,6.969765929778934,8.085663198959688,15.443595578673602,12.0,151.27809164781516
tight_spread & expansion_bar,855,50.59065789473685,0.5076023391812865,0.41754385964912283,0.4,0.41754385964912283,12.07514619883041,14.171052631578947,19.288011695906434,12.5,123.64009287296497
green_bar & large_or,525,47.874066666666664,0.518095238095238,0.4780952380952381,0.46476190476190476,0.44952380952380955,12.861428571428572,19.073333333333334,22.180476190476192,16.75,158.4093880147131
green_bar & expansion_bar,687,42.804956331877726,0.5080058224163028,0.42358078602620086,0.4119359534206696,0.4119359534206696,12.485807860262009,14.709606986899564,13.753639010189229,14.75,128.34235228512273
large_or & strong_body,307,42.14745928338762,0.5374592833876222,0.4820846905537459,0.495114006514658,0.46579804560260585,19.746742671009773,28.47801302931596,30.122149837133552,25.25,160.8847516516494
large_or & expansion_bar,414,41.0545652173913,0.5362318840579711,0.4806763285024155,0.463768115942029,0.4492753623188406,17.339975845410628,20.630434782608695,24.82669082125604,14.75,163.17132762421306
tight_spread & green_bar & large_or,480,40.681250000000006,0.5229166666666667,0.4791666666666667,0.45,0.4479166666666667,13.785416666666666,17.6875,25.3984375,11.875,157.49626366645504
