conditions,trades,expectancy_score,robustness_score,win_10,win_20,win_30,win_40,avg_15m,avg_30m,avg_60m,med_30m,std_30m
back_inside_or & large_or,527,50.52656546489563,117.17267552182162,0.5180265654648957,0.47438330170777987,0.4686907020872865,0.46110056925996207,15.939278937381404,20.210626185958255,23.5853889943074,19.0,159.4465780620293
back_inside_or & large_or & green_bar,389,46.1640616966581,92.30848329048844,0.5295629820051414,0.4910025706940874,0.4832904884318766,0.4704370179948586,18.66388174807198,24.169665809768638,24.25835475578406,23.5,159.88951808980826
back_inside_or & large_or & tight_spread,484,44.139375,104.04545454545455,0.5227272727272727,0.4772727272727273,0.45041322314049587,0.45661157024793386,15.292871900826446,19.107954545454547,25.945247933884296,13.5,159.99804312257643
below_vwap & back_inside_or & large_or & tight_spread,344,42.499491279069765,74.82558139534883,0.5319767441860465,0.4796511627906977,0.45348837209302323,0.46511627906976744,20.874273255813954,25.757267441860463,33.625726744186046,12.75,162.8777979367751
back_inside_or & large_or & green_bar & tight_spread,352,41.57957386363636,81.06818181818181,0.5369318181818182,0.4943181818181818,0.4659090909090909,0.4715909090909091,18.632102272727273,23.896306818181817,28.050426136363637,16.875,160.00474610303078
large_or & tight_spread,513,40.94540935672514,107.55555555555554,0.5146198830409356,0.47173489278752434,0.4444444444444444,0.4522417153996101,10.548732943469785,16.919590643274855,24.946393762183234,10.5,158.8452784982899
expansion_bar & tight_spread,681,40.711897944199706,114.28046989720998,0.49926578560939794,0.4155653450807636,0.40381791483113066,0.41262848751835535,10.552863436123348,14.385829662261381,15.272393538913363,13.25,126.82116250241937
below_vwap & expansion_bar & tight_spread,451,40.43996674057649,82.58980044345898,0.5254988913525499,0.43015521064301554,0.42572062084257206,0.44789356984478934,13.957317073170731,20.845343680709533,23.788248337028826,15.0,134.93102888530973
large_or & green_bar,405,40.29212345679012,91.97037037037038,0.5160493827160494,0.47901234567901235,0.4740740740740741,0.4641975308641975,13.482716049382717,20.769135802469137,21.940123456790122,19.0,158.78024222111475
back_inside_or & expansion_bar,673,39.42238484398217,115.64933135215453,0.5037147102526003,0.41901931649331353,0.4101040118870728,0.4101040118870728,13.285289747399704,13.979569093610698,11.234398216939079,13.5,129.30923194088436
below_vwap & large_or & tight_spread,373,39.1257908847185,78.32707774798928,0.5201072386058981,0.4718498659517426,0.4450402144772118,0.4584450402144772,13.915549597855227,22.230563002680967,31.654825737265416,9.75,161.2095779257695
back_inside_or & tight_spread,1105,38.0829886877828,178.66425339366515,0.4968325791855204,0.41357466063348414,0.3909502262443439,0.3990950226244344,5.997285067873303,8.333257918552036,12.049321266968326,12.75,164.03233995456677
below_vwap & back_inside_or & large_or,360,37.92063888888889,78.33055555555555,0.5305555555555556,0.48055555555555557,0.4527777777777778,0.46111111111111114,19.02777777777778,21.919444444444444,25.51597222222222,12.0,164.65937271219823
below_vwap & expansion_bar,463,37.54315334773218,85.95680345572354,0.5269978401727862,0.43412526997840173,0.42764578833693306,0.4449244060475162,13.907127429805616,18.67818574514039,19.094492440604753,15.0,137.59932205514198
green_bar & expansion_bar,552,37.164864130434786,100.46014492753623,0.5054347826086957,0.4311594202898551,0.4221014492753623,0.40942028985507245,13.360960144927537,15.615489130434783,9.888134057971014,16.625,128.81843202837993
back_inside_or & expansion_bar & tight_spread,645,36.68766279069768,106.8,0.5007751937984496,0.413953488372093,0.4,0.4077519379844961,11.814728682170543,13.740697674418605,12.97248062015504,12.0,127.58805763923301
below_vwap & back_inside_or & expansion_bar & tight_spread,415,36.317361445783135,75.06024096385543,0.5301204819277109,0.42891566265060244,0.42168674698795183,0.4433734939759036,16.21385542168675,20.40301204819277,20.952409638554215,13.75,136.76358271605335
green_bar & expansion_bar & tight_spread,527,36.10033206831119,93.07400379506642,0.5047438330170778,0.4269449715370019,0.41366223908918404,0.4079696394686907,12.23908918406072,16.04459203036053,12.086337760910816,15.0,126.67231311107882
large_or & green_bar & tight_spread,368,35.69339673913044,80.80434782608695,0.5217391304347826,0.48097826086956524,0.45652173913043476,0.46467391304347827,12.931385869565217,20.16576086956522,25.33423913043478,12.75,158.76882100954236
below_vwap & large_or,389,34.63598971722365,81.83033419023137,0.519280205655527,0.4730077120822622,0.44473007712082263,0.455012853470437,12.49293059125964,18.823907455012854,24.230719794344473,9.5,162.874699346675
back_inside_or & green_bar & expansion_bar,533,34.53904315196998,95.81050656660412,0.5065666041275797,0.42964352720450283,0.41838649155722324,0.4052532833020638,14.332082551594747,15.082551594746716,8.356941838649156,15.0,129.11968327298018
below_vwap & tight_spread,799,34.13443053817272,136.23404255319147,0.5106382978723404,0.42177722152690866,0.40425531914893614,0.425531914893617,4.7052565707133915,10.128911138923655,15.182102628285357,13.5,181.2731619360311
back_inside_or & green_bar & expansion_bar & tight_spread,508,33.48318897637795,88.44094488188978,0.5059055118110236,0.4251968503937008,0.4094488188976378,0.4035433070866142,13.216043307086615,15.501476377952756,10.562007874015748,14.75,126.91469328483312
below_vwap & back_inside_or & expansion_bar,427,33.42131147540983,78.4192037470726,0.531615925058548,0.4332552693208431,0.4238875878220141,0.44028103044496486,16.096018735362996,18.065573770491802,15.942622950819672,13.75,139.55803741582858
below_vwap & back_inside_or & large_or & green_bar & tight_spread,234,32.97448717948718,54.034188034188034,0.5470085470085471,0.49572649572649574,0.4658119658119658,0.48717948717948717,24.974358974358974,28.42628205128205,35.79059829059829,14.25,164.81398235749944
below_vwap & green_bar & expansion_bar & tight_spread,329,32.32720364741642,65.22796352583586,0.5379939209726444,0.44984802431610943,0.44072948328267475,0.45288753799392095,17.529635258358663,21.842705167173253,20.843465045592705,18.25,135.9820835635405
below_vwap & back_inside_or & tight_spread,731,32.1285123119015,125.93160054719561,0.5170998632010944,0.42544459644322846,0.4049247606019152,0.4240766073871409,7.613543091655266,10.330711354309166,13.90595075239398,13.75,185.79074706758578
large_or & expansion_bar,327,31.3015749235474,72.97859327217125,0.5290519877675841,0.4801223241590214,0.4648318042813456,0.44036697247706424,17.095565749235472,19.93730886850153,17.1934250764526,13.5,166.4638180793214
below_vwap & large_or & expansion_bar & tight_spread,205,30.79382926829268,46.3609756097561,0.5414634146341464,0.48292682926829267,0.4682926829268293,0.47804878048780486,19.96707317073171,31.10487804878049,39.46463414634146,9.75,175.33328200889176
back_inside_or & large_or & expansion_bar,317,29.823690851735016,70.02208201892743,0.526813880126183,0.47634069400630913,0.4637223974763407,0.4353312302839117,18.783123028391167,19.750788643533124,14.727129337539433,13.5,168.45810960245214
below_vwap & back_inside_or & green_bar & expansion_bar & tight_spread,310,29.618209677419355,60.53225806451612,0.5419354838709678,0.4483870967741935,0.43548387096774194,0.4483870967741935,19.454838709677418,21.308064516129033,18.88225806451613,17.375,136.93362262771882
below_vwap & back_inside_or & large_or & expansion_bar & tight_spread,195,29.178153846153847,43.400000000000006,0.5384615384615384,0.47692307692307695,0.4666666666666667,0.4717948717948718,22.857692307692307,31.374358974358973,36.5974358974359,9.75,178.8473085547925
back_inside_or & green_bar,863,28.92097334878332,143.0822711471611,0.4959443800695249,0.4171494785631518,0.39745075318655854,0.39976825028968715,5.925840092699884,8.033603707995365,7.596465816917729,13.0,175.28096239419014
back_inside_or & large_or & high_volatility,322,28.773796583850938,85.06211180124222,0.5372670807453416,0.5124223602484472,0.515527950310559,0.4658385093167702,16.26552795031056,17.43866459627329,10.370341614906833,37.375,168.09853285515428
large_or & expansion_bar & tight_spread,299,28.37150501672241,63.63879598662207,0.5250836120401338,0.47491638795986624,0.44816053511705684,0.43812709030100333,14.28010033444816,19.97993311036789,21.50083612040134,8.5,166.70378729949573
below_vwap & back_inside_or,747,28.1089390896921,129.39357429718874,0.5167336010709505,0.42704149933065594,0.40562248995983935,0.42302543507362783,7.007697456492637,8.811579651941098,10.420013386880857,13.5,185.95814139654345
