year,month,trades,winrate,net_points,avg_trade
2018,3,2,0.0,-40.0,-20.0
2020,3,1,1.0,20.0,20.0
2020,4,1,0.0,-20.0,-20.0
2020,5,4,1.0,257.75,64.4375
2020,7,2,0.0,-20.0,-10.0
2020,9,5,0.8,393.0,78.6
2021,1,1,1.0,100.75,100.75
2021,3,3,0.6666666666666666,32.25,10.75
2021,6,3,0.0,-60.0,-20.0
2021,10,2,0.0,-40.0,-20.0
2022,1,2,0.5,20.0,10.0
2022,2,2,0.0,-20.0,-10.0
2022,3,2,1.0,222.25,111.125
2022,5,12,0.5833333333333334,100.0,8.333333333333334
2022,6,9,0.2222222222222222,0.0,0.0
2022,7,7,0.5714285714285714,78.0,11.142857142857142
2022,8,6,0.6666666666666666,275.25,45.875
2022,9,1,0.0,0.0,0.0
2022,10,4,0.25,-40.0,-10.0
2022,11,11,0.5454545454545454,40.0,3.6363636363636362
2023,2,1,0.0,-20.0,-20.0
2023,3,4,0.5,103.25,25.8125
2023,8,3,0.0,-60.0,-20.0
2023,9,11,0.2727272727272727,-60.0,-5.454545454545454
2023,10,6,0.16666666666666666,0.0,0.0
2024,4,8,0.375,110.0,13.75
2024,7,11,0.09090909090909091,-40.0,-3.6363636363636362
2024,8,9,0.2222222222222222,0.0,0.0
2024,9,4,0.75,379.0,94.75
2024,10,5,0.6,98.0,19.6
2024,11,3,0.6666666666666666,180.75,60.25
2025,1,1,0.0,-20.0,-20.0
2025,3,5,0.6,263.0,52.6
2025,4,2,1.0,40.0,20.0
2025,6,1,1.0,20.0,20.0
2025,9,7,0.14285714285714285,-40.0,-5.714285714285714
2025,10,9,0.2222222222222222,-40.0,-4.444444444444445
2025,11,1,1.0,20.0,20.0
2025,12,1,1.0,20.0,20.0
2026,4,1,0.0,-20.0,-20.0
