conditions,trades,expectancy_score,sequence_score,win_15m,win_30m,win_60m,avg_15m,avg_30m,avg_60m,med_30m,std_30m
large_or -> tight_spread -> next_tight_spread -> two_bar_followthrough,255,50.44490196078431,31.459100346020758,0.5529411764705883,0.48627450980392156,0.4588235294117647,28.05294117647059,40.681372549019606,46.1078431372549,25.75,145.70286205798504
back_inside_or -> large_or -> two_bar_followthrough,265,50.424,33.52395870416518,0.5471698113207547,0.4981132075471698,0.4641509433962264,32.01698113207547,38.2,38.054716981132074,28.5,148.10251427591794
large_or -> tight_spread -> two_bar_followthrough,259,50.237027027027025,31.694876343524992,0.5521235521235521,0.4864864864864865,0.4555984555984556,27.255791505791507,39.87065637065637,44.004826254826256,25.75,145.318282619638
large_or -> next_tight_spread -> two_bar_followthrough,257,48.949416342412455,31.71130524307711,0.5525291828793775,0.48638132295719844,0.4591439688715953,28.15661478599222,39.159533073929964,44.76945525291829,25.75,149.28640101464745
tight_spread -> next_tight_spread -> two_bar_followthrough,561,48.27807486631017,40.29168692270297,0.45454545454545453,0.39572192513368987,0.39928698752228164,15.383689839572192,21.74688057040998,27.102941176470587,12.75,116.31668829905243
back_inside_or -> large_or -> tight_spread -> two_bar_followthrough,245,45.56672448979593,29.20857975843398,0.5510204081632653,0.4775510204081633,0.4530612244897959,30.071428571428573,38.94591836734694,42.731632653061226,23.5,145.5099669973403
large_or -> green_bar -> two_bar_followthrough,200,45.4783625,29.388474999999996,0.565,0.515,0.505,33.09375,44.15375,46.78,38.0,154.32212500079598
back_inside_or -> large_or -> green_bar,389,45.43897172236504,43.42532761480561,0.4910025706940874,0.4832904884318766,0.4704370179948586,18.66388174807198,24.169665809768638,24.25835475578406,23.5,159.88951808980823
back_inside_or -> large_or -> green_bar -> two_bar_followthrough,193,45.2219689119171,28.358613654057834,0.5699481865284974,0.5129533678756477,0.5025906735751295,37.10621761658031,45.67875647668394,47.34974093264249,37.0,155.50707895029709
back_inside_or -> large_or -> tight_spread -> next_tight_spread -> two_bar_followthrough,242,44.99137396694215,28.72839969947408,0.5495867768595041,0.47520661157024796,0.45454545454545453,29.91322314049587,39.122933884297524,44.59400826446281,23.25,145.9893796969583
back_inside_or -> tight_spread -> two_bar_followthrough,532,43.57736842105263,37.170784103114926,0.4548872180451128,0.39097744360902253,0.39285714285714285,16.679981203007518,20.950657894736842,25.06484962406015,12.25,116.16490277636709
back_inside_or -> large_or -> next_tight_spread -> two_bar_followthrough,244,43.538032786885246,28.98051599032518,0.5491803278688525,0.47540983606557374,0.45491803278688525,30.00717213114754,37.532786885245905,43.19672131147541,23.25,149.73571179119878
large_or -> tight_spread -> green_bar -> two_bar_followthrough,184,43.502500000000005,26.25,0.5706521739130435,0.5,0.5,32.01358695652174,47.28532608695652,53.78260869565217,30.75,150.47444812192535
