signal_time,entry_time,year,entry,stop,target,risk,result_points,bars_held,exit_reason,stage1_lower_wick_pct,stage1_range_expansion,stage2_body_pct,stage2_lower_wick_pct,dist_pdh,dist_vwap,hour,minute,is_sniper,idx,ts_event,symbol,open,high,low,close,volume,trade_date_utc,hour_utc,minute_utc,weekday,vwap_day,dist_vwap_day,return_1m,return_5m,return_15m,ema_9,ema_20,ema_50,dist_ema_9,dist_ema_20,dist_ema_50,true_range,atr_14,atr_50,vol_avg_20,vol_avg_50,rel_vol_20,rel_vol_50,bar_range,body,body_abs,body_pct,upper_wick,lower_wick,fwd_return_5m,fwd_return_15m,fwd_return_30m,fwd_return_60m,event_date_utc,usd_event_count,high_impact_event_count,cpi_event_count,fomc_event_count,nfp_event_count,ppi_event_count,pmi_ism_event_count,jobs_event_count,fed_speech_event_count,has_high_impact_usd_event,has_cpi,has_fomc,has_nfp,has_ppi,has_pmi_ism,has_jobs,has_fed_speech,trade_date_ct,hour_ct,minute_ct,weekday_ct,minute_of_day_ct,is_rth,is_opening_30m,is_premarket_window,is_morning_trade_window,is_lunch_window,is_pm_window,upper_wick_pct,lower_wick_pct,candle_direction,avg_range_20,avg_body_20,range_expansion_20,body_expansion_20,is_displacement_candle,bull_displacement,bear_displacement,bull_fvg,bear_fvg,bull_fvg_low,bull_fvg_high,bear_fvg_low,bear_fvg_high,bull_fvg_size,bear_fvg_size,bull_fvg_min_2pt,bear_fvg_min_2pt,prior_high,prior_low,prior_open,prior_close,prior_body,prior_body_pct,swept_prior_bar_high,swept_prior_bar_low,prior_high_sweep_close_back_below,prior_low_sweep_close_back_above,prior_rth_high,prior_rth_low,prior_rth_close,premarket_high,premarket_low,or_high_30m,or_low_30m,or_range_30m,premarket_range,prior_day_range,swept_prior_rth_high,swept_prior_rth_low,pdh_sweep_close_back_below,pdl_sweep_close_back_above,pmh_sweep_close_back_below,pml_sweep_close_back_above,above_or_high,below_or_low,dist_prior_rth_high,dist_prior_rth_low,dist_premarket_high,dist_premarket_low,dist_or_high_30m,dist_or_low_30m,fwd_points_5m,fwd_points_15m,fwd_points_30m,fwd_points_60m,fwd_points_120m,future_high_30m,future_low_30m,future_high_60m,future_low_60m,mfe_30m,mae_30m,mfe_60m,mae_60m,ict_session_date,is_asia_session,is_london_session,is_ny_rth_session,dol,session_high_so_far,session_low_so_far,pdh,pdl,pdc,prior_session_mid,prior_session_range,asia_high,asia_low,london_high,london_low,ny_open,vwap,dist_dol,dist_pdh_right,dist_pdl,dist_prior_session_mid,dist_asia_high,dist_asia_low,dist_london_high,dist_london_low,dist_ny_open,dist_vwap_right,above_dol,below_dol,above_vwap,below_vwap,prior_range_position,premium_vs_prior_range,discount_vs_prior_range,pdh_sweep_reclaim_now,pdh_sweep_reclaim_last_30m,pdl_sweep_reclaim_now,pdl_sweep_reclaim_last_30m,pmh_sweep_reclaim_now,pmh_sweep_reclaim_last_30m,pml_sweep_reclaim_now,pml_sweep_reclaim_last_30m,asia_high_sweep_reclaim_now,asia_high_sweep_reclaim_last_30m,asia_low_sweep_reclaim_now,asia_low_sweep_reclaim_last_30m,london_high_sweep_reclaim_now,london_high_sweep_reclaim_last_30m,london_low_sweep_reclaim_now,london_low_sweep_reclaim_last_30m,any_liquidity_sweep_reclaim_last_30m,liquidity_sweep_reclaim_count_last_30m,dol_cross_now,bull_dol_reclaim_now,bear_dol_reclaim_now,dol_cross_last_10m,bull_dol_reclaim_last_10m,bear_dol_reclaim_last_10m,inside_bull_fvg_current_bar,inside_bear_fvg_current_bar,recent_bull_fvg_last_120m,recent_bear_fvg_last_120m,bull_ifvg_proxy_fast,bear_ifvg_proxy_fast,any_ifvg_proxy_fast,prior_10m_high,prior_10m_low,prior_10m_open,bull_v_reversal_proxy,bear_v_reversal_proxy,any_v_reversal_proxy
2018-01-25T13:49:00.000000,2018-01-25T13:50:00.000000,2018,6922.0,6925.75,6914.5,3.75,7.5,2,target,0.5161290322580645,1.901840490797546,0.8275862068965517,0.034482758620689655,-82.25,-25.027417917806815,13,50,0,24090,2018-01-25T19:50:00.000000,NQH8,6922.0,6923.75,6919.25,6920.5,914,2018-01-25,19,50,4,6946.957691433896,-26.45769143389589,-0.00021670037561394295,-0.0003972122919149168,-0.0021987528385538635,6921.246861470208,6925.504615987867,6933.431353530907,-0.7468614702083869,-5.0046159878666,-12.931353530906563,4.5,4.839285714285714,3.975,924.05,836.64,0.9891239651534008,1.0924650984891948,4.5,-1.5,1.5,0.3333333333333333,1.75,1.25,0.00007224911494829733,-0.0005779929195867117,0.00018062278737085435,0.00010837367242255702,2018-01-25,8,2,0,0,0,0,0,0,0,true,false,false,false,false,false,false,false,2018-01-25,13,50,3,830,true,false,false,false,false,true,0.3888888888888889,0.2777777777777778,bear,4.3875,2.275,1.0256410256410255,0.6593406593406593,false,false,false,false,false,,,,,,,false,false,6923.0,6915.75,6916.0,6922.0,6.0,0.8275862068965517,true,false,true,false,7004.25,6888.25,6927.75,6987.25,6967.0,6977.75,6916.25,61.5,20.25,116.0,false,false,false,false,false,false,false,false,-83.75,32.25,-66.75,-46.5,-57.25,4.25,0.5,-4.0,1.25,0.75,14.75,6925.5,6902.0,6927.5,6902.0,5.0,18.5,7.0,18.5,2018-01-25,false,false,true,6933.5,6987.25,6912.0,7004.25,6888.25,6935.75,6946.25,116.0,6945.0,6921.5,6978.25,6924.5,6933.5,6946.957691433896,-13.0,-83.75,32.25,-25.75,-24.5,-1.0,-57.75,-4.0,-13.0,-26.45769143389589,false,true,false,true,0.27801724137931033,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,1,false,false,false,false,false,false,false,false,true,true,false,true,true,6927.5,6912.0,6922.25,true,true,true
2018-01-25T13:53:00.000000,2018-01-25T13:54:00.000000,2018,6910.5,6920.0,6891.5,9.5,-9.5,2,stop,0.32142857142857145,1.4177215189873418,0.46153846153846156,0.07692307692307693,-93.5,-35.84846788852519,13,54,0,24094,2018-01-25T19:54:00.000000,NQH8,6910.5,6918.0,6910.5,6917.5,728,2018-01-25,19,54,4,6946.538332921716,-29.038332921715664,0.0009767391382990986,-0.0006501011268419399,-0.0009026900162484308,6917.1035144581965,6921.74949511857,6930.570271565667,0.39648554180348583,-4.249495118569939,-13.070271565667099,7.5,5.428571428571429,4.255,1095.45,885.32,0.6645670728924186,0.8223015406858537,7.5,7.0,7.0,0.9333333333333333,0.5,0.0,-0.0002891217925551359,-0.0008312251535959048,0.0006866642573184478,0.0003614022406939199,2018-01-25,8,2,0,0,0,0,0,0,0,true,false,false,false,false,false,false,false,2018-01-25,13,54,3,834,true,false,false,false,false,true,0.06666666666666667,0.0,bull,5.175,2.8125,1.4492753623188406,2.488888888888889,false,false,false,false,false,,,,,,,false,false,6913.75,6910.5,6912.25,6910.75,-1.5,0.46153846153846156,true,false,false,false,7004.25,6888.25,6927.75,6987.25,6967.0,6977.75,6916.25,61.5,20.25,116.0,false,false,false,false,false,false,false,false,-86.75,29.25,-69.75,-49.5,-60.25,1.25,-2.0,-5.75,4.75,2.5,19.0,6925.5,6902.0,6927.5,6902.0,8.0,15.5,10.0,15.5,2018-01-25,false,false,true,6933.5,6987.25,6910.0,7004.25,6888.25,6935.75,6946.25,116.0,6945.0,6921.5,6978.25,6924.5,6933.5,6946.538332921716,-16.0,-86.75,29.25,-28.75,-27.5,-4.0,-60.75,-7.0,-16.0,-29.038332921715664,false,true,false,true,0.2521551724137931,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,1,false,false,false,false,false,false,false,false,true,true,true,false,true,6927.5,6910.0,6924.5,true,true,true
2018-01-29T21:59:00.000000,2018-01-29T22:00:00.000000,2018,6957.0,6964.5,6942.0,7.5,-7.5,3,stop,0.5666666666666667,2.0202020202020203,0.8125,0.125,-90.75,-26.56385233455694,22,0,0,27231,2018-01-30T04:00:00.000000,NQH8,6957.0,6961.5,6956.5,6961.5,262,2018-01-30,4,0,2,6982.712238610904,-21.212238610904024,0.0007187522461007401,-0.00007181844297610152,-0.0010761945759792946,6960.4911453945315,6964.226196604785,6974.319688402474,1.008854605468514,-2.7261966047854003,-12.81968840247373,5.0,4.464285714285714,2.9,257.15,170.44,1.018860587205911,1.537197840882422,5.0,4.5,4.5,0.9,0.0,0.5,-0.00017955900308841422,-0.0028370322487969446,-0.0023701788407670676,-0.0016878546290310936,2018-01-30,4,2,0,1,0,0,0,0,0,true,false,true,false,false,false,false,false,2018-01-29,22,0,0,1320,false,false,false,false,false,false,0.0,0.1,bull,3.975,2.575,1.2578616352201257,1.7475728155339805,false,false,false,false,false,,,,,,,false,false,6960.0,6956.0,6959.75,6956.5,-3.25,0.8125,true,false,false,false,7030.75,6949.25,7030.75,7016.75,7003.5,7021.25,6992.5,28.75,13.25,81.5,false,false,false,false,false,false,false,true,-69.25,12.25,-55.25,-42.0,-59.75,-31.0,-1.25,-19.75,-16.5,-11.75,-12.0,6964.75,6925.75,6964.75,6925.75,3.25,35.75,3.25,35.75,2018-01-30,true,false,false,6991.5,7006.5,6951.0,7047.25,6980.0,6995.0,7013.625,67.25,7006.5,6925.75,6968.75,6944.25,6991.5,6982.712238610904,-30.0,-85.75,-18.5,-52.125,-45.0,35.75,-7.25,17.25,-30.0,-21.212238610904024,false,true,false,true,-0.275092936802974,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,1,false,false,false,false,false,false,false,false,true,true,true,false,true,6965.0,6951.0,6960.5,true,false,true
2018-01-29T22:16:00.000000,2018-01-29T22:17:00.000000,2018,6935.25,6945.5,6914.75,10.25,-10.25,2,stop,0.5454545454545454,1.981981981981982,0.7714285714285715,0.14285714285714285,-112.25,-37.779140886978894,22,17,0,27248,2018-01-30T04:17:00.000000,NQH8,6935.25,6941.5,6934.5,6940.0,222,2018-01-30,4,17,2,6972.439016125263,-32.43901612526315,0.0007209805335255393,-0.0018696965338702576,-0.0034105187578531426,6944.84964850436,6952.021247390522,6963.3714763013995,-4.84964850435972,-12.021247390522149,-23.371476301399525,7.0,6.928571428571429,4.49,312.4,257.16,0.7106274007682459,0.863275781614559,7.0,4.75,4.75,0.6785714285714286,1.5,0.75,0.0007925072046108816,0.0006484149855907617,0.0012968299711815234,0.0012247838616714635,2018-01-30,4,2,0,1,0,0,0,0,0,true,false,true,false,false,false,false,false,2018-01-29,22,17,0,1337,false,false,false,false,false,false,0.21428571428571427,0.10714285714285714,bull,6.0625,4.025,1.1546391752577319,1.1801242236024843,false,false,false,false,false,,,,,,,false,false,6942.5,6933.75,6941.75,6935.0,-6.75,0.7714285714285715,false,false,false,false,7030.75,6949.25,7030.75,7016.75,7003.5,7021.25,6992.5,28.75,13.25,81.5,false,true,false,false,false,false,false,true,-90.75,-9.25,-76.75,-63.5,-81.25,-52.5,5.5,4.5,9.0,8.5,9.5,6950.75,6934.5,6952.5,6934.5,10.75,5.5,12.5,5.5,2018-01-30,true,false,false,6991.5,7006.5,6925.75,7047.25,6980.0,6995.0,7013.625,67.25,7006.5,6925.75,6968.75,6944.25,6991.5,6972.439016125263,-51.5,-107.25,-40.0,-73.625,-66.5,14.25,-28.75,-4.25,-51.5,-32.43901612526315,false,true,false,true,-0.5947955390334573,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,false,false,false,false,false,false,false,false,true,true,true,false,true,6963.75,6925.75,6963.25,true,true,true
2018-01-29T23:38:00.000000,2018-01-29T23:39:00.000000,2018,6943.5,6948.0,6934.5,4.5,-4.5,22,stop,0.23076923076923078,1.8181818181818181,0.46153846153846156,0.0,-103.75,-21.99934392265186,23,39,0,27330,2018-01-30T05:39:00.000000,NQH8,6943.5,6946.0,6943.5,6945.25,43,2018-01-30,5,39,2,6965.469322139089,-20.219322139088945,0.0002520342766616501,-0.00003599452883162879,-0.00017994673576626763,6944.239574152414,6944.799263080546,6946.336422558071,1.0104258475857932,0.4507369194543571,-1.086422558070808,2.5,2.0714285714285716,2.22,49.85,77.9,0.8625877632898696,0.55198973042362,2.5,1.75,1.75,0.7,0.75,0.0,-0.00010798747345308612,-0.0003239624203592584,0.0005759331917498667,0.0010798747345308612,2018-01-30,4,2,0,1,0,0,0,0,0,true,false,true,false,false,false,false,false,2018-01-29,23,39,0,1419,false,false,false,false,false,false,0.3,0.0,bull,1.8875,1.0,1.3245033112582782,1.75,false,false,false,false,false,,,,,,,false,false,6945.25,6942.0,6942.0,6943.5,1.5,0.46153846153846156,true,false,false,false,7030.75,6949.25,7030.75,7016.75,7003.5,7021.25,6992.5,28.75,13.25,81.5,false,true,false,false,false,false,false,true,-85.5,-4.0,-71.5,-58.25,-76.0,-47.25,-0.75,-2.25,4.0,7.5,12.5,6951.5,6942.25,6954.0,6942.25,6.25,3.0,8.75,3.0,2018-01-30,true,false,false,6991.5,7006.5,6925.75,7047.25,6980.0,6995.0,7013.625,67.25,7006.5,6925.75,6968.75,6944.25,6991.5,6965.469322139089,-46.25,-102.0,-34.75,-68.375,-61.25,19.5,-23.5,1.0,-46.25,-20.219322139088945,false,true,false,true,-0.516728624535316,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,1,false,false,false,false,false,false,false,false,true,true,true,false,true,6946.5,6941.0,6943.75,true,false,true
2018-01-29T23:55:00.000000,2018-01-29T23:56:00.000000,2018,6943.5,6946.5,6937.5,3.0,-3.0,5,stop,0.25,1.3008130081300813,0.5,0.0,-104.25,-22.105758479314318,23,56,0,27347,2018-01-30T05:56:00.000000,NQH8,6943.5,6944.0,6943.25,6943.75,22,2018-01-30,5,56,2,6965.089851024209,-21.339851024208656,0.00010802246867358534,-0.000036002304147464415,-0.0003239274402533354,6943.683289595576,6944.077754177358,6945.231456016997,0.06671040442415688,-0.3277541773577468,-1.4814560169970719,1.0,1.1428571428571428,1.82,34.0,57.04,0.6470588235294118,0.3856942496493689,0.75,0.25,0.25,0.3333333333333333,0.25,0.25,0.000864086408640885,0.0007200720072007005,0.0009360936093609773,0.0020882088208820093,2018-01-30,4,2,0,1,0,0,0,0,0,true,false,true,false,false,false,false,false,2018-01-29,23,56,0,1436,false,false,false,false,false,false,0.3333333333333333,0.3333333333333333,bull,1.4375,0.6875,0.5217391304347826,0.36363636363636365,false,false,false,false,false,,,,,,,false,false,6943.5,6943.0,6943.25,6943.0,-0.25,0.5,true,false,false,false,7030.75,6949.25,7030.75,7016.75,7003.5,7021.25,6992.5,28.75,13.25,81.5,false,true,false,false,false,false,false,true,-87.0,-5.5,-73.0,-59.75,-77.5,-48.75,6.0,5.0,6.5,14.5,7.5,6951.5,6942.25,6957.25,6942.25,7.75,1.5,13.5,1.5,2018-01-30,true,false,false,6991.5,7006.5,6925.75,7047.25,6980.0,6995.0,7013.625,67.25,7006.5,6925.75,6968.75,6944.25,6991.5,6965.089851024209,-47.75,-103.5,-36.25,-69.875,-62.75,18.0,-25.0,-0.5,-47.75,-21.339851024208656,false,true,false,true,-0.5390334572490706,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,1,false,false,false,false,false,false,false,false,true,true,true,false,true,6944.75,6942.5,6944.25,true,false,true
2018-02-01T08:11:00.000000,2018-02-01T08:12:00.000000,2018,6908.0,6913.5,6897.0,5.5,-5.5,16,stop,0.5142857142857142,1.8766756032171583,0.5,0.0,-82.5,-39.2500802063978,8,12,0,30570,2018-02-01T14:12:00.000000,NQH8,6908.0,6908.25,6905.25,6908.25,479,2018-02-01,14,12,4,6947.49876471057,-39.24876471056996,-0.000036187305493262656,-0.0007232488337612919,-0.001084481075805277,6910.385809257544,6913.436436098292,6922.779391013555,-2.1358092575437695,-5.186436098291779,-14.529391013555141,3.25,4.25,4.445,542.5,624.78,0.8829493087557604,0.7666698677934634,3.0,0.25,0.25,0.08333333333333333,0.0,2.75,-0.0005790178409872393,0.0006875836861723883,0.0036912387362935117,0.006079687330365902,2018-02-01,11,3,0,0,2,0,2,1,0,true,false,false,true,false,true,true,false,2018-02-01,8,12,3,492,false,false,true,false,false,false,0.0,0.9166666666666666,bull,4.35,2.125,0.6896551724137931,0.11764705882352941,false,false,false,false,false,,,,,,,false,false,6911.5,6908.5,6910.0,6908.5,-1.5,0.5,false,true,false,false,6991.0,6922.5,6960.5,6958.0,6898.0,6955.0,6911.0,44.0,60.0,68.5,false,true,false,false,false,false,false,true,-82.75,-14.25,-49.75,10.25,-46.75,-2.75,-4.0,4.75,25.5,42.0,44.75,6946.0,6898.0,6960.0,6898.0,37.75,10.25,51.75,10.25,2018-02-01,false,false,false,6973.0,6987.75,6901.25,6991.0,6921.5,6928.5,6956.25,69.5,6987.75,6963.75,6983.5,6935.5,6973.0,6947.49876471057,-64.75,-82.75,-13.25,-48.0,-79.5,-55.5,-75.25,-27.25,-64.75,-39.24876471056996,false,true,false,true,-0.1906474820143885,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,false,false,false,false,false,false,false,false,true,true,true,false,true,6918.25,6901.25,6916.25,true,true,true
2018-02-01T15:06:00.000000,2018-02-01T15:07:00.000000,2018,6906.25,6918.0,6882.75,11.75,-11.75,11,stop,0.2191780821917808,2.3856209150326797,0.8,0.08888888888888889,-85.0,-34.27287191598316,15,7,0,30985,2018-02-01T21:07:00.000000,NQH8,6906.25,6916.0,6905.0,6912.25,958,2018-02-01,21,7,4,6940.2154047290815,-27.965404729081456,0.0009050101361134377,-0.0018771885491498663,-0.00036154597057014293,6910.230355412554,6909.968514120043,6912.729489539388,2.019644587446237,2.2814858799565627,-0.4794895393879415,11.0,9.089285714285714,6.79,1863.5,1606.56,0.5140863965656024,0.5963051488895529,11.0,6.0,6.0,0.5454545454545454,3.75,1.25,-0.001989222033346616,0.00010850302000076084,0.0010850302000071643,0.0062208398133747345,2018-02-01,11,3,0,0,2,0,2,1,0,true,false,false,true,false,true,true,false,2018-02-01,15,7,3,907,false,false,false,false,false,false,0.3409090909090909,0.11363636363636363,bull,8.3625,4.6875,1.3153961136023915,1.28,false,false,false,false,false,,,,,,,false,false,6907.25,6896.0,6897.0,6906.0,9.0,0.8,true,false,false,false,6991.0,6922.5,6960.5,6958.0,6898.0,6955.0,6911.0,44.0,60.0,68.5,false,true,false,false,false,false,false,false,-78.75,-10.25,-45.75,14.25,-42.75,1.25,-13.75,0.75,7.5,43.0,40.5,6927.75,6890.25,6963.5,6890.25,15.5,22.0,51.25,22.0,2018-02-01,false,false,false,6973.0,6987.75,6884.75,6991.0,6921.5,6928.5,6956.25,69.5,6987.75,6963.75,6983.5,6935.5,6973.0,6940.2154047290815,-60.75,-78.75,-9.25,-44.0,-75.5,-51.5,-71.25,-23.25,-60.75,-27.965404729081456,false,true,false,true,-0.13309352517985612,false,true,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,true,2,false,false,false,false,false,false,false,false,true,true,true,false,true,6929.5,6892.25,6910.5,true,true,true
2018-02-02T03:16:00.000000,2018-02-02T03:17:00.000000,2018,6891.0,6898.75,6875.5,7.75,15.5,5,target,0.21052631578947367,1.4022140221402213,0.6363636363636364,0.09090909090909091,-96.5,-33.0876570028131,3,17,0,31640,2018-02-02T09:17:00.000000,NQH8,6891.0,6894.0,6890.5,6892.0,167,2018-02-02,9,17,5,6924.187953928037,-32.18795392803713,0.00010883366588054777,-0.0004713389652296618,0.0,6893.080438610607,6895.247265825016,6902.768565200644,-1.0804386106074162,-3.2472658250162567,-10.768565200643934,3.5,3.107142857142857,2.51,256.75,161.68,0.6504381694255112,1.032904502721425,3.5,1.0,1.0,0.2857142857142857,2.0,0.5,-0.0019225188624492073,-0.0023940800928612394,-0.002176436448055763,-0.00359112013929197,2018-02-02,3,1,0,1,0,0,0,0,0,true,false,true,false,false,false,false,false,2018-02-02,3,17,4,197,false,false,false,false,false,false,0.5714285714285714,0.14285714285714285,bull,3.375,1.8125,1.037037037037037,0.5517241379310345,false,false,false,false,false,,,,,,,false,false,6893.75,6891.0,6893.0,6891.25,-1.75,0.6363636363636364,true,true,true,true,6979.5,6884.75,6912.25,6893.25,6855.5,6895.75,6835.5,60.25,37.75,94.75,false,false,false,false,true,false,false,false,-87.5,7.25,-1.25,36.5,-3.75,56.5,-13.25,-16.5,-15.0,-24.75,-24.75,6894.0,6871.0,6894.0,6857.75,2.0,21.0,2.0,34.25,2018-02-02,false,true,false,6954.0,6963.5,6888.0,6987.75,6884.75,6935.75,6936.25,103.0,6963.5,6912.5,6939.75,6844.5,6954.0,6924.187953928037,-62.0,-95.75,7.25,-44.25,-71.5,-20.5,-47.75,47.5,-62.0,-32.18795392803713,false,true,false,true,0.0703883495145631,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,true,1,false,false,false,false,false,false,false,false,true,true,true,false,true,6897.75,6888.5,6893.25,true,true,true
2018-02-02T03:46:00.000000,2018-02-02T03:47:00.000000,2018,6877.25,6881.0,6869.75,3.75,7.5,8,target,0.68,1.9455252918287937,0.6,0.0,-110.25,-41.03018566483479,3,47,0,31670,2018-02-02T09:47:00.000000,NQH8,6877.25,6878.5,6876.25,6877.0,29,2018-02-02,9,47,5,6918.501052249637,-41.501052249636814,-0.00007270083605959154,-0.0008717129158797299,0.0002181659515672063,6879.0457688197075,6880.473977484962,6886.89448959385,-2.0457688197075186,-3.4739774849622336,-9.894489593850267,2.25,3.482142857142857,3.63,129.9,208.02,0.22324865280985373,0.13940967214690894,2.25,-0.25,0.25,0.1111111111111111,1.25,0.75,-0.0008361204013378476,-0.0010905918278318882,-0.0014177693761814325,-0.0003998836702050479,2018-02-02,3,1,0,1,0,0,0,0,0,true,false,true,false,false,false,false,false,2018-02-02,3,47,4,227,false,false,false,false,false,false,0.5555555555555556,0.3333333333333333,bear,3.275,1.8,0.6870229007633588,0.1388888888888889,false,false,false,false,false,,,,,,,false,false,6879.0,6875.25,6875.25,6877.5,2.25,0.6,false,false,false,false,6979.5,6884.75,6912.25,6893.25,6855.5,6895.75,6835.5,60.25,37.75,94.75,false,true,false,false,false,false,false,false,-102.5,-7.75,-16.25,21.5,-18.75,41.5,-5.75,-7.5,-9.75,-2.75,-28.0,6879.0,6857.75,6879.0,6857.75,2.0,19.25,2.0,19.25,2018-02-02,false,true,false,6954.0,6963.5,6871.0,6987.75,6884.75,6935.75,6936.25,103.0,6963.5,6912.5,6939.75,6844.5,6954.0,6918.501052249637,-77.0,-110.75,-7.75,-59.25,-86.5,-35.5,-62.75,32.5,-77.0,-41.501052249636814,false,true,false,true,-0.07524271844660194,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0,false,false,false,false,false,false,false,false,true,true,false,true,true,6886.5,6871.0,6880.0,true,true,true
